Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,5/4/2020
Anza-Borrego Springs,,,5/4/2020
Carlsbad,61.97,49.409,5/4/2020
Central Region,866,167.249,5/4/2020
Central San Diego,333.32,159.35,5/4/2020
Chula Vista,300.52,244.137,5/4/2020
City of Carlsbad,57.86,50.477,5/4/2020
City of Chula Vista,587.48,219.616,5/4/2020
City of Coronado,11,50.731,5/4/2020
City of Del Mar,5.33,123.314,5/4/2020
City of El Cajon,200.46,189.904,5/4/2020
City of Encinitas,30.6,48.451,5/4/2020
City of Escondido,126.85,83.742,5/4/2020
City of Imperial Beach,34,120.726,5/4/2020
City of La Mesa,77.13,125.906,5/4/2020
City of Lemon Grove,44,163.971,5/4/2020
City of National City,170.36,273.645,5/4/2020
City of Oceanside,95.08,53.609,5/4/2020
City of Poway,32.93,65.587,5/4/2020
City of San Diego,1988.07,140.02,5/4/2020
City of San Marcos,36.52,38.133,5/4/2020
City of Santee,37.34,65.519,5/4/2020
City of Solana Beach,7.14,51.251,5/4/2020
City of Vista,60.74,58.756,5/4/2020
Coastal,58.94,68.577,5/4/2020
Coronado,11,50.731,5/4/2020
Del Mar-Mira Mesa,131.54,76.981,5/4/2020
East Region,654,134.705,5/4/2020
El Cajon,243.72,185.449,5/4/2020
Elliott-Navajo,74.22,78.473,5/4/2020
Escondido,142.01,81.958,5/4/2020
Fallbrook,13.13,27.03,5/4/2020
Harbison Crest,24.17,159.56,5/4/2020
Harbison Crest-El Cajon,267.89,182.774,5/4/2020
Jamul,30.54,155.895,5/4/2020
Kearny Mesa,149.46,87.524,5/4/2020
La Mesa,78.52,123.966,5/4/2020
Laguna-Pine Valley,,,5/4/2020
Lakeside,61.01,102.399,5/4/2020
Lemon Grove,52.29,169.806,5/4/2020
Mid-City,235.86,137.839,5/4/2020
Miramar,6.91,100.539,5/4/2020
Mountain Empire,5,60.847,5/4/2020
National City,169.5,274.557,5/4/2020
North Central Region,512,76.949,5/4/2020
North Coastal Region,294,52.288,5/4/2020
North County,686,58.639,5/4/2020
North Inland Region,392,64.515,5/4/2020
North San Diego,101.58,84.002,5/4/2020
Oceanside,93.38,55.124,5/4/2020
Palomar-Julian,,,5/4/2020
Pauma,,,5/4/2020
Pendleton,,,5/4/2020
Peninsula,72.01,102.971,5/4/2020
Poway,54.8,60.726,5/4/2020
Ramona,18.99,53.985,5/4/2020
San Diego County,4160,124.646,5/4/2020
San Dieguito,55.58,54.689,5/4/2020
San Marcos,40.83,40.436,5/4/2020
Santee,36.69,67.587,5/4/2020
South Bay,554.05,411.786,5/4/2020
South Region,1367,273.998,5/4/2020
Southeastern San Diego,315.45,216.691,5/4/2020
Spring Valley,130.18,154.909,5/4/2020
Supervisorial District 1,1614.44,257.098,5/4/2020
Supervisorial District 2,778.02,118.862,5/4/2020
Supervisorial District 3,488.45,72.957,5/4/2020
Supervisorial District 4,884.53,124.528,5/4/2020
Supervisorial District 5,319.56,47.332,5/4/2020
Sweetwater,302.89,202.1,5/4/2020
Unincorporated,482.1,93.954,5/4/2020
University,35.2,48.549,5/4/2020
Valley Center,9.46,41.53,5/4/2020
Vista,63.13,58.409,5/4/2020
