Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/19/2020
Anza-Borrego Springs,,,4/19/2020
Carlsbad,53.25,42.455,4/19/2020
Central Region,520,100.427,4/19/2020
Central San Diego,223.6,106.897,4/19/2020
Chula Vista,125.14,101.659,4/19/2020
City of Carlsbad,50.86,44.37,4/19/2020
City of Chula Vista,260.2,97.269,4/19/2020
City of Coronado,7,32.283,4/19/2020
City of Del Mar,5.02,116.06,4/19/2020
City of El Cajon,124.14,117.609,4/19/2020
City of Encinitas,31.6,50.034,4/19/2020
City of Escondido,73.11,48.262,4/19/2020
City of Imperial Beach,14,49.711,4/19/2020
City of La Mesa,47.06,76.826,4/19/2020
City of Lemon Grove,19,70.806,4/19/2020
City of National City,66.38,106.616,4/19/2020
City of Oceanside,55.06,31.042,4/19/2020
City of Poway,20.95,41.737,4/19/2020
City of San Diego,1141.88,80.423,4/19/2020
City of San Marcos,29.18,30.471,4/19/2020
City of Santee,23.2,40.698,4/19/2020
City of Solana Beach,6.08,43.598,4/19/2020
City of Vista,35.51,34.353,4/19/2020
Coastal,55.72,64.832,4/19/2020
Coronado,7,32.283,4/19/2020
Del Mar-Mira Mesa,93.49,54.715,4/19/2020
East Region,389,80.122,4/19/2020
El Cajon,152.49,116.037,4/19/2020
Elliott-Navajo,59.56,62.971,4/19/2020
Escondido,84.3,48.654,4/19/2020
Fallbrook,10.26,21.114,4/19/2020
Harbison Crest,14.65,96.698,4/19/2020
Harbison Crest-El Cajon,167.14,114.038,4/19/2020
Jamul,16.03,81.817,4/19/2020
Kearny Mesa,107.03,62.676,4/19/2020
La Mesa,48.15,76.023,4/19/2020
Laguna-Pine Valley,,,4/19/2020
Lakeside,33.74,56.632,4/19/2020
Lemon Grove,23.62,76.688,4/19/2020
Mid-City,142.21,83.11,4/19/2020
Miramar,6.42,93.48,4/19/2020
Mountain Empire,,,4/19/2020
National City,65.85,106.662,4/19/2020
North Central Region,379,56.96,4/19/2020
North Coastal Region,216,38.416,4/19/2020
North County,478,40.859,4/19/2020
North Inland Region,262,43.12,4/19/2020
North San Diego,75.62,62.532,4/19/2020
Oceanside,52.67,31.094,4/19/2020
Palomar-Julian,,,4/19/2020
Pauma,,,4/19/2020
Pendleton,,,4/19/2020
Peninsula,39.12,55.938,4/19/2020
Poway,38.04,42.153,4/19/2020
Ramona,11.93,33.927,4/19/2020
San Diego County,2325,69.664,4/19/2020
San Dieguito,55.24,54.357,4/19/2020
San Marcos,29.6,29.315,4/19/2020
Santee,22.62,41.659,4/19/2020
South Bay,176.05,130.846,4/19/2020
South Region,528,105.831,4/19/2020
Southeastern San Diego,164.57,113.047,4/19/2020
Spring Valley,74.84,89.054,4/19/2020
Supervisorial District 1,652.85,103.965,4/19/2020
Supervisorial District 2,477.37,72.931,4/19/2020
Supervisorial District 3,349.97,52.273,4/19/2020
Supervisorial District 4,592.3,83.386,4/19/2020
Supervisorial District 5,221.51,32.809,4/19/2020
Sweetwater,141.57,94.463,4/19/2020
Unincorporated,283.78,55.304,4/19/2020
University,32.44,44.743,4/19/2020
Valley Center,6,26.336,4/19/2020
Vista,36.82,34.072,4/19/2020
