Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,285.7,1768.5,11/21/2020
Anza-Borrego Springs,24.3,465.2,11/21/2020
Carlsbad,1317.3,1041.5,11/21/2020
Central Region,14702.0,2854.0,11/21/2020
Central San Diego,5005.6,2373.5,11/21/2020
Chula Vista,4639.6,3739.8,11/21/2020
City of Carlsbad,1114.3,966.8,11/21/2020
City of Chula Vista,8855.1,3262.2,11/21/2020
City of Coronado,270.0,1115.7,11/21/2020
City of Del Mar,41.9,947.8,11/21/2020
City of El Cajon,3096.0,2927.4,11/21/2020
City of Encinitas,658.0,1038.4,11/21/2020
City of Escondido,3188.6,2087.4,11/21/2020
City of Imperial Beach,870.0,3169.6,11/21/2020
City of La Mesa,990.9,1630.1,11/21/2020
City of Lemon Grove,705.0,2591.1,11/21/2020
City of National City,2263.0,3636.9,11/21/2020
City of Oceanside,2958.4,1662.2,11/21/2020
City of Poway,498.8,991.3,11/21/2020
City of San Diego,29940.4,2107.8,11/21/2020
City of San Marcos,1607.7,1637.3,11/21/2020
City of Santee,831.8,1424.7,11/21/2020
City of Solana Beach,113.2,811.6,11/21/2020
City of Vista,1953.0,1915.5,11/21/2020
Coastal,1476.8,1697.9,11/21/2020
Coronado,270.0,1115.7,11/21/2020
Del Mar-Mira Mesa,1627.1,951.6,11/21/2020
East Region,11396.0,2331.7,11/21/2020
El Cajon,3807.6,2877.4,11/21/2020
Elliott-Navajo,1179.0,1231.1,11/21/2020
Escondido,3555.4,2028.4,11/21/2020
Fallbrook,790.5,1594.6,11/21/2020
Harbison Crest,386.9,2553.3,11/21/2020
Harbison Crest-El Cajon,4194.5,2844.1,11/21/2020
Jamul,541.3,2855.8,11/21/2020
Kearny Mesa,2556.8,1495.1,11/21/2020
La Mesa,1027.2,1632.2,11/21/2020
Laguna-Pine Valley,50.5,883.3,11/21/2020
Lakeside,1102.0,1831.4,11/21/2020
Lemon Grove,833.8,2690.9,11/21/2020
Mid-City,4978.0,2950.6,11/21/2020
Miramar,81.4,1109.4,11/21/2020
Mountain Empire,255.5,3105.0,11/21/2020
National City,2252.8,3649.8,11/21/2020
North Central Region,8222.0,1229.1,11/21/2020
North Coastal Region,7571.0,1350.4,11/21/2020
North County,16801.0,1428.2,11/21/2020
North Inland Region,9230.0,1499.0,11/21/2020
North San Diego,1014.2,831.7,11/21/2020
Oceanside,2880.8,1699.8,11/21/2020
Palomar-Julian,66.6,851.4,11/21/2020
Pauma,195.0,2310.7,11/21/2020
Pendleton,120.0,290.7,11/21/2020
Peninsula,880.5,1241.7,11/21/2020
Poway,850.2,939.0,11/21/2020
Ramona,650.4,1814.5,11/21/2020
San Diego County,71648.0,2137.6,11/21/2020
San Dieguito,1022.4,1005.6,11/21/2020
San Marcos,1759.7,1702.7,11/21/2020
Santee,802.7,1446.3,11/21/2020
South Bay,6942.1,5259.9,11/21/2020
South Region,18833.0,3747.6,11/21/2020
Southeastern San Diego,4989.9,3479.7,11/21/2020
Spring Valley,2399.1,2834.9,11/21/2020
Supervisorial District 1,23023.5,3663.0,11/21/2020
Supervisorial District 2,14196.1,2157.1,11/21/2020
Supervisorial District 3,8054.5,1194.9,11/21/2020
Supervisorial District 4,14658.2,2055.9,11/21/2020
Supervisorial District 5,10021.7,1478.0,11/21/2020
Sweetwater,4395.5,2871.0,11/21/2020
Unincorporated,9997.8,1938.9,11/21/2020
University,471.9,650.4,11/21/2020
Valley Center,373.6,1610.1,11/21/2020
Vista,2094.4,1952.5,11/21/2020
