Geography,"Allocated
White
Case
Count
(Raw)","COVID-19
Total White
Rate
(Suppressed)",Date
Alpine,17.2,144.8,7/8/2020
Anza-Borrego Springs,5.3,144.7,7/8/2020
Carlsbad,148.4,176.1,7/8/2020
Central Region,559.0,331.9,7/8/2020
Central San Diego,306.6,316.9,7/8/2020
Chula Vista,75.5,340.4,7/8/2020
City of Carlsbad,148.4,185.6,7/8/2020
City of Chula Vista,176.2,356.4,7/8/2020
City of Coronado,35.0,225.3,7/8/2020
City of Del Mar,9.1,268.6,7/8/2020
City of El Cajon,190.4,319.2,7/8/2020
City of Encinitas,90.4,191.7,7/8/2020
City of Escondido,108.5,171.4,7/8/2020
City of Imperial Beach,30.0,336.7,7/8/2020
City of La Mesa,85.7,253.2,7/8/2020
City of Lemon Grove,33.0,384.0,7/8/2020
City of National City,33.6,403.2,7/8/2020
City of Oceanside,128.2,149.2,7/8/2020
City of Poway,42.9,137.9,7/8/2020
City of San Diego,1556.6,251.2,7/8/2020
City of San Marcos,82.3,185.4,7/8/2020
City of Santee,59.3,155.8,7/8/2020
City of Solana Beach,17.9,170.1,7/8/2020
City of Vista,68.4,152.8,7/8/2020
Coastal,201.8,325.1,7/8/2020
Coronado,35.0,225.3,7/8/2020
Del Mar-Mira Mesa,147.0,190.4,7/8/2020
East Region,672.0,254.0,7/8/2020
El Cajon,234.7,316.1,7/8/2020
Elliott-Navajo,114.6,201.0,7/8/2020
Escondido,126.0,169.6,7/8/2020
Fallbrook,40.6,158.2,7/8/2020
Harbison Crest,23.9,276.0,7/8/2020
Harbison Crest-El Cajon,258.6,311.9,7/8/2020
Jamul,22.8,264.0,7/8/2020
Kearny Mesa,222.8,255.0,7/8/2020
La Mesa,88.4,252.7,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,74.2,195.0,7/8/2020
Lemon Grove,35.1,384.5,7/8/2020
Mid-City,161.7,299.5,7/8/2020
Miramar,5.8,248.4,7/8/2020
Mountain Empire,7.4,179.7,7/8/2020
National City,32.9,403.2,7/8/2020
North Central Region,834.0,226.7,7/8/2020
North Coastal Region,518.0,160.8,7/8/2020
North County,1008.0,160.4,7/8/2020
North Inland Region,490.0,160.0,7/8/2020
North San Diego,106.3,165.1,7/8/2020
Oceanside,122.7,152.7,7/8/2020
Palomar-Julian,5.6,104.5,7/8/2020
Pauma,6.4,145.0,7/8/2020
Pendleton,,,7/8/2020
Peninsula,100.9,206.6,7/8/2020
Poway,77.0,144.5,7/8/2020
Ramona,33.5,148.6,7/8/2020
San Diego County,3409.0,223.5,7/8/2020
San Dieguito,144.6,192.7,7/8/2020
San Marcos,84.0,185.0,7/8/2020
Santee,57.2,158.1,7/8/2020
South Bay,77.6,367.1,7/8/2020
South Region,336.0,350.0,7/8/2020
Southeastern San Diego,105.5,514.1,7/8/2020
Spring Valley,103.6,303.7,7/8/2020
Supervisorial District 1,441.8,352.7,7/8/2020
Supervisorial District 2,847.6,232.0,7/8/2020
Supervisorial District 3,601.8,177.8,7/8/2020
Supervisorial District 4,964.9,284.2,7/8/2020
Supervisorial District 5,552.9,154.9,7/8/2020
Sweetwater,107.3,375.4,7/8/2020
Unincorporated,513.2,188.1,7/8/2020
University,53.3,145.4,7/8/2020
Valley Center,16.0,123.8,7/8/2020
Vista,73.4,159.1,7/8/2020
