Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/26/2020
Anza-Borrego Springs,,,4/26/2020
Carlsbad,53.38,42.558,4/26/2020
Central Region,643,124.181,4/26/2020
Central San Diego,262.17,125.338,4/26/2020
Chula Vista,196,159.224,4/26/2020
City of Carlsbad,50.86,44.37,4/26/2020
City of Chula Vista,398.12,148.829,4/26/2020
City of Coronado,8,36.895,4/26/2020
City of Del Mar,5.33,123.314,4/26/2020
City of El Cajon,158.83,150.467,4/26/2020
City of Encinitas,31.6,50.034,4/26/2020
City of Escondido,86.72,57.251,4/26/2020
City of Imperial Beach,23,81.667,4/26/2020
City of La Mesa,67.9,110.842,4/26/2020
City of Lemon Grove,28,104.345,4/26/2020
City of National City,112.37,180.501,4/26/2020
City of Oceanside,70.07,39.504,4/26/2020
City of Poway,27.94,55.649,4/26/2020
City of San Diego,1527.5,107.582,4/26/2020
City of San Marcos,30.15,31.487,4/26/2020
City of Santee,28.28,49.623,4/26/2020
City of Solana Beach,6.14,44.082,4/26/2020
City of Vista,46.16,44.653,4/26/2020
Coastal,58.47,68.029,4/26/2020
Coronado,8,36.895,4/26/2020
Del Mar-Mira Mesa,110.46,64.642,4/26/2020
East Region,510,105.045,4/26/2020
El Cajon,195.44,148.715,4/26/2020
Elliott-Navajo,65.57,69.323,4/26/2020
Escondido,98.9,57.08,4/26/2020
Fallbrook,11.27,23.193,4/26/2020
Harbison Crest,20.05,132.331,4/26/2020
Harbison Crest-El Cajon,215.49,147.022,4/26/2020
Jamul,23.25,118.668,4/26/2020
Kearny Mesa,131.76,77.162,4/26/2020
La Mesa,69.17,109.207,4/26/2020
Laguna-Pine Valley,,,4/26/2020
Lakeside,44.63,74.902,4/26/2020
Lemon Grove,33.67,109.331,4/26/2020
Mid-City,178.17,104.127,4/26/2020
Miramar,8.38,121.927,4/26/2020
Mountain Empire,5,60.847,4/26/2020
National City,111.59,180.764,4/26/2020
North Central Region,442,66.429,4/26/2020
North Coastal Region,245,43.574,4/26/2020
North County,555,47.441,4/26/2020
North Inland Region,310,51.02,4/26/2020
North San Diego,92.45,76.449,4/26/2020
Oceanside,68.68,40.542,4/26/2020
Palomar-Julian,,,4/26/2020
Pauma,,,4/26/2020
Pendleton,,,4/26/2020
Peninsula,48.23,68.965,4/26/2020
Poway,46.99,52.068,4/26/2020
Ramona,13.95,39.648,4/26/2020
San Diego County,3141,94.114,4/26/2020
San Dieguito,55.46,54.57,4/26/2020
San Marcos,31.7,31.396,4/26/2020
Santee,27.58,50.802,4/26/2020
South Bay,379.8,282.274,4/26/2020
South Region,931,186.608,4/26/2020
Southeastern San Diego,217.53,149.428,4/26/2020
Spring Valley,95.69,113.869,4/26/2020
Supervisorial District 1,1102.49,175.57,4/26/2020
Supervisorial District 2,614.47,93.876,4/26/2020
Supervisorial District 3,407.02,60.795,4/26/2020
Supervisorial District 4,701.64,98.779,4/26/2020
Supervisorial District 5,255.38,37.826,4/26/2020
Sweetwater,213.82,142.669,4/26/2020
Unincorporated,374.01,72.889,4/26/2020
University,34.68,47.834,4/26/2020
Valley Center,6.91,30.368,4/26/2020
Vista,48.35,44.74,4/26/2020
