Geography,"Allocated
Age20_29
Case
Count
(Raw)","COVID-19
Total
Age20_29
Rate
(Suppressed)",Date
Alpine,7.3,354.4,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,88.7,564.4,7/8/2020
Central Region,1015.0,1252.4,7/8/2020
Central San Diego,346.9,1049.0,7/8/2020
Chula Vista,283.0,1567.1,7/8/2020
City of Carlsbad,80.9,566.2,7/8/2020
City of Chula Vista,502.9,1289.5,7/8/2020
City of Coronado,28.0,570.3,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,152.8,1112.3,7/8/2020
City of Encinitas,32.5,420.8,7/8/2020
City of Escondido,138.5,667.6,7/8/2020
City of Imperial Beach,61.0,1470.9,7/8/2020
City of La Mesa,54.4,691.0,7/8/2020
City of Lemon Grove,30.0,772.4,7/8/2020
City of National City,155.7,1279.5,7/8/2020
City of Oceanside,154.2,658.5,7/8/2020
City of Poway,21.0,326.1,7/8/2020
City of San Diego,2065.2,1013.4,7/8/2020
City of San Marcos,106.8,828.6,7/8/2020
City of Santee,25.3,347.1,7/8/2020
City of Solana Beach,5.4,343.6,7/8/2020
City of Vista,97.7,678.7,7/8/2020
Coastal,171.0,1742.8,7/8/2020
Coronado,28.0,570.3,7/8/2020
Del Mar-Mira Mesa,86.2,345.1,7/8/2020
East Region,552.0,863.7,7/8/2020
El Cajon,187.2,1094.1,7/8/2020
Elliott-Navajo,76.5,663.9,7/8/2020
Escondido,156.6,663.9,7/8/2020
Fallbrook,36.1,564.6,7/8/2020
Harbison Crest,19.0,966.9,7/8/2020
Harbison Crest-El Cajon,206.2,1081.0,7/8/2020
Jamul,22.3,828.0,7/8/2020
Kearny Mesa,186.2,832.9,7/8/2020
La Mesa,56.3,691.1,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,48.1,627.7,7/8/2020
Lemon Grove,38.9,870.0,7/8/2020
Mid-City,351.1,1440.2,7/8/2020
Miramar,6.5,422.7,7/8/2020
Mountain Empire,10.4,939.4,7/8/2020
National City,155.3,1283.1,7/8/2020
North Central Region,653.0,706.4,7/8/2020
North Coastal Region,403.0,476.6,7/8/2020
North County,826.0,501.5,7/8/2020
North Inland Region,423.0,527.8,7/8/2020
North San Diego,40.2,262.3,7/8/2020
Oceanside,151.2,670.5,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,6.9,617.5,7/8/2020
Pendleton,,,7/8/2020
Peninsula,87.9,803.3,7/8/2020
Poway,35.5,314.9,7/8/2020
Ramona,17.9,396.1,7/8/2020
San Diego County,4186.0,875.0,7/8/2020
San Dieguito,50.9,410.8,7/8/2020
San Marcos,112.7,823.8,7/8/2020
Santee,25.1,362.4,7/8/2020
South Bay,435.1,2021.8,7/8/2020
South Region,1140.0,1493.9,7/8/2020
Southeastern San Diego,322.8,1500.3,7/8/2020
Spring Valley,140.6,1222.7,7/8/2020
Supervisorial District 1,1449.1,1403.9,7/8/2020
Supervisorial District 2,687.7,797.6,7/8/2020
Supervisorial District 3,403.9,449.9,7/8/2020
Supervisorial District 4,1103.5,1122.6,7/8/2020
Supervisorial District 5,541.8,536.9,7/8/2020
Sweetwater,231.9,1071.0,7/8/2020
Unincorporated,471.9,592.1,7/8/2020
University,40.1,332.3,7/8/2020
Valley Center,13.7,449.8,7/8/2020
Vista,103.4,690.1,7/8/2020
