Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,8.33,51.831,5/13/2020
Anza-Borrego Springs,,,5/13/2020
Carlsbad,74.77,59.617,5/13/2020
Central Region,1127,217.655,5/13/2020
Central San Diego,406.33,194.255,5/13/2020
Chula Vista,419.34,340.664,5/13/2020
City of Carlsbad,70.03,61.095,5/13/2020
City of Chula Vista,776.06,290.114,5/13/2020
City of Coronado,14,64.567,5/13/2020
City of Del Mar,5.33,123.314,5/13/2020
City of El Cajon,262.12,248.324,5/13/2020
City of Encinitas,37.12,58.775,5/13/2020
City of Escondido,167.83,110.797,5/13/2020
City of Imperial Beach,49,173.987,5/13/2020
City of La Mesa,92.28,150.639,5/13/2020
City of Lemon Grove,53,197.511,5/13/2020
City of National City,251.37,403.765,5/13/2020
City of Oceanside,126.13,71.116,5/13/2020
City of Poway,34.92,69.562,5/13/2020
City of San Diego,2516.59,177.244,5/13/2020
City of San Marcos,53.86,56.244,5/13/2020
City of Santee,45.45,79.746,5/13/2020
City of Solana Beach,7.14,51.251,5/13/2020
City of Vista,77.87,75.323,5/13/2020
Coastal,67.16,78.147,5/13/2020
Coronado,14,64.567,5/13/2020
Del Mar-Mira Mesa,141.55,82.839,5/13/2020
East Region,854,175.899,5/13/2020
El Cajon,317.65,241.706,5/13/2020
Elliott-Navajo,84.39,89.222,5/13/2020
Escondido,185.95,107.318,5/13/2020
Fallbrook,24.14,49.698,5/13/2020
Harbison Crest,31.55,208.281,5/13/2020
Harbison Crest-El Cajon,349.2,238.251,5/13/2020
Jamul,40.07,204.525,5/13/2020
Kearny Mesa,187.98,110.081,5/13/2020
La Mesa,94.27,148.843,5/13/2020
Laguna-Pine Valley,,,5/13/2020
Lakeside,80.21,134.631,5/13/2020
Lemon Grove,64.58,209.71,5/13/2020
Mid-City,311.89,182.27,5/13/2020
Miramar,7.55,109.841,5/13/2020
Mountain Empire,12.3,149.669,5/13/2020
National City,250.56,405.86,5/13/2020
North Central Region,587,88.221,5/13/2020
North Coastal Region,366,65.094,5/13/2020
North County,853,72.914,5/13/2020
North Inland Region,487,80.151,5/13/2020
North San Diego,111.19,91.948,5/13/2020
Oceanside,123.79,73.073,5/13/2020
Palomar-Julian,,,5/13/2020
Pauma,5.07,62.221,5/13/2020
Pendleton,,,5/13/2020
Peninsula,79.35,113.46,5/13/2020
Poway,58.33,64.638,5/13/2020
Ramona,19.15,54.431,5/13/2020
San Diego County,5391,161.53,5/13/2020
San Dieguito,65.27,64.226,5/13/2020
San Marcos,61.38,60.794,5/13/2020
Santee,44.98,82.844,5/13/2020
South Bay,759.8,564.7,5/13/2020
South Region,1855,371.812,5/13/2020
Southeastern San Diego,430.61,295.802,5/13/2020
Spring Valley,174.06,207.132,5/13/2020
Supervisorial District 1,2201.54,350.591,5/13/2020
Supervisorial District 2,996.83,152.291,5/13/2020
Supervisorial District 3,563.82,84.215,5/13/2020
Supervisorial District 4,1090.58,153.536,5/13/2020
Supervisorial District 5,423.24,62.688,5/13/2020
Sweetwater,376.9,251.489,5/13/2020
Unincorporated,635.87,123.922,5/13/2020
University,35.38,48.801,5/13/2020
Valley Center,14.19,62.316,5/13/2020
Vista,82.53,76.361,5/13/2020
