Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,22.9,142.3,6/27/2020
Anza-Borrego Springs,11.3,220.9,6/27/2020
Carlsbad,182.6,145.6,6/27/2020
Central Region,2999.0,579.2,6/27/2020
Central San Diego,987.1,471.9,6/27/2020
Chula Vista,1026.4,833.8,6/27/2020
City of Carlsbad,157.7,137.5,6/27/2020
City of Chula Vista,1850.0,691.6,6/27/2020
City of Coronado,40.0,184.5,6/27/2020
City of Del Mar,9.7,224.9,6/27/2020
City of El Cajon,607.2,575.2,6/27/2020
City of Encinitas,103.6,164.0,6/27/2020
City of Escondido,491.5,324.5,6/27/2020
City of Imperial Beach,192.0,681.7,6/27/2020
City of La Mesa,191.7,313.0,6/27/2020
City of Lemon Grove,147.0,547.8,6/27/2020
City of National City,607.6,976.0,6/27/2020
City of Oceanside,380.6,214.6,6/27/2020
City of Poway,80.8,161.0,6/27/2020
City of San Diego,6007.5,423.1,6/27/2020
City of San Marcos,217.9,227.6,6/27/2020
City of Santee,114.0,200.1,6/27/2020
City of Solana Beach,21.1,151.2,6/27/2020
City of Vista,268.0,259.2,6/27/2020
Coastal,226.3,263.3,6/27/2020
Coronado,40.0,184.5,6/27/2020
Del Mar-Mira Mesa,306.4,179.3,6/27/2020
East Region,2057.0,423.7,6/27/2020
El Cajon,731.5,556.6,6/27/2020
Elliott-Navajo,191.2,202.2,6/27/2020
Escondido,540.9,312.2,6/27/2020
Fallbrook,99.1,204.0,6/27/2020
Harbison Crest,71.1,469.6,6/27/2020
Harbison Crest-El Cajon,802.6,547.6,6/27/2020
Jamul,102.8,524.8,6/27/2020
Kearny Mesa,441.5,258.5,6/27/2020
La Mesa,198.7,313.7,6/27/2020
Laguna-Pine Valley,,,6/27/2020
Lakeside,183.0,307.1,6/27/2020
Lemon Grove,176.9,574.4,6/27/2020
Mid-City,858.6,501.8,6/27/2020
Miramar,15.4,223.7,6/27/2020
Mountain Empire,34.9,425.2,6/27/2020
National City,606.3,982.1,6/27/2020
North Central Region,1392.0,209.2,6/27/2020
North Coastal Region,1038.0,184.6,6/27/2020
North County,2407.0,205.7,6/27/2020
North Inland Region,1369.0,225.3,6/27/2020
North San Diego,201.7,166.8,6/27/2020
Oceanside,373.2,220.3,6/27/2020
Palomar-Julian,5.6,73.1,6/27/2020
Pauma,14.6,179.9,6/27/2020
Pendleton,,,6/27/2020
Peninsula,157.7,225.5,6/27/2020
Poway,135.4,150.1,6/27/2020
Ramona,66.7,189.6,6/27/2020
San Diego County,13334.0,399.5,6/27/2020
San Dieguito,166.3,163.7,6/27/2020
San Marcos,243.3,241.0,6/27/2020
Santee,112.1,206.5,6/27/2020
South Bay,1636.5,1216.3,6/27/2020
South Region,4235.0,848.9,6/27/2020
Southeastern San Diego,1194.8,820.7,6/27/2020
Spring Valley,449.7,535.1,6/27/2020
Supervisorial District 1,5267.5,838.8,6/27/2020
Supervisorial District 2,2431.1,371.4,6/27/2020
Supervisorial District 3,1363.3,203.6,6/27/2020
Supervisorial District 4,2705.9,380.9,6/27/2020
Supervisorial District 5,1322.2,195.8,6/27/2020
Sweetwater,859.8,573.7,6/27/2020
Unincorporated,1602.0,312.2,6/27/2020
University,81.8,112.9,6/27/2020
Valley Center,47.5,208.5,6/27/2020
Vista,282.0,260.9,6/27/2020
