Geography,"Allocated
Age40_49
Case
Count
(Raw)","COVID-19
Total
Age40_49
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,38.2,239.2,7/8/2020
Central Region,555.0,804.9,7/8/2020
Central San Diego,179.6,602.6,7/8/2020
Chula Vista,187.6,1238.2,7/8/2020
City of Carlsbad,32.8,220.4,7/8/2020
City of Chula Vista,360.4,1043.1,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,97.5,784.6,7/8/2020
City of Encinitas,27.8,338.2,7/8/2020
City of Escondido,107.5,601.9,7/8/2020
City of Imperial Beach,28.0,800.9,7/8/2020
City of La Mesa,35.5,447.8,7/8/2020
City of Lemon Grove,36.0,1116.6,7/8/2020
City of National City,120.8,1759.2,7/8/2020
City of Oceanside,87.1,410.5,7/8/2020
City of Poway,13.0,236.4,7/8/2020
City of San Diego,1114.6,595.4,7/8/2020
City of San Marcos,54.8,456.0,7/8/2020
City of Santee,28.2,393.7,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,56.4,465.8,7/8/2020
Coastal,26.4,232.3,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,56.2,247.0,7/8/2020
East Region,395.0,680.0,7/8/2020
El Cajon,121.1,784.0,7/8/2020
Elliott-Navajo,29.5,240.2,7/8/2020
Escondido,118.6,580.1,7/8/2020
Fallbrook,20.3,384.3,7/8/2020
Harbison Crest,12.8,723.2,7/8/2020
Harbison Crest-El Cajon,133.8,777.7,7/8/2020
Jamul,26.8,1132.9,7/8/2020
Kearny Mesa,80.1,357.0,7/8/2020
La Mesa,36.9,450.2,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,34.8,502.9,7/8/2020
Lemon Grove,41.2,1120.7,7/8/2020
Mid-City,177.3,776.2,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,6.9,749.2,7/8/2020
National City,120.6,1772.2,7/8/2020
North Central Region,227.0,263.3,7/8/2020
North Coastal Region,230.0,346.2,7/8/2020
North County,511.0,364.5,7/8/2020
North Inland Region,281.0,381.0,7/8/2020
North San Diego,38.0,231.1,7/8/2020
Oceanside,85.2,419.0,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,15.9,181.2,7/8/2020
Poway,28.0,251.7,7/8/2020
Ramona,10.0,248.5,7/8/2020
San Diego County,2523.0,605.5,7/8/2020
San Dieguito,40.9,314.9,7/8/2020
San Marcos,58.9,467.5,7/8/2020
Santee,27.1,398.5,7/8/2020
South Bay,331.3,1905.1,7/8/2020
South Region,835.0,1320.5,7/8/2020
Southeastern San Diego,207.1,1163.3,7/8/2020
Spring Valley,90.0,893.6,7/8/2020
Supervisorial District 1,1001.6,1274.7,7/8/2020
Supervisorial District 2,458.9,591.1,7/8/2020
Supervisorial District 3,277.5,317.6,7/8/2020
Supervisorial District 4,495.5,525.7,7/8/2020
Supervisorial District 5,289.4,367.1,7/8/2020
Sweetwater,178.0,891.7,7/8/2020
Unincorporated,314.8,549.0,7/8/2020
University,15.0,182.0,7/8/2020
Valley Center,8.2,323.2,7/8/2020
Vista,59.8,474.7,7/8/2020
