Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,9.28,57.7,5/26/2020
Anza-Borrego Springs,,,5/26/2020
Carlsbad,82.96,66.142,5/26/2020
Central Region,1488,287.375,5/26/2020
Central San Diego,523.96,250.494,5/26/2020
Chula Vista,576.08,467.994,5/26/2020
City of Carlsbad,76.26,66.529,5/26/2020
City of Chula Vista,1040.59,389,5/26/2020
City of Coronado,18,83.014,5/26/2020
City of Del Mar,5.64,130.567,5/26/2020
City of El Cajon,382.91,362.748,5/26/2020
City of Encinitas,46.48,73.595,5/26/2020
City of Escondido,210.88,139.216,5/26/2020
City of Imperial Beach,77,273.408,5/26/2020
City of La Mesa,112.05,182.905,5/26/2020
City of Lemon Grove,66,245.957,5/26/2020
City of National City,348.16,559.23,5/26/2020
City of Oceanside,156.17,88.052,5/26/2020
City of Poway,36.92,73.537,5/26/2020
City of San Diego,3208.5,225.975,5/26/2020
City of San Marcos,87.58,91.448,5/26/2020
City of Santee,58.6,102.818,5/26/2020
City of Solana Beach,8.21,58.905,5/26/2020
City of Vista,106.56,103.076,5/26/2020
Coastal,74.41,86.582,5/26/2020
Coronado,18,83.014,5/26/2020
Del Mar-Mira Mesa,168.94,98.869,5/26/2020
East Region,1136,233.982,5/26/2020
El Cajon,455.76,346.796,5/26/2020
Elliott-Navajo,96.89,102.441,5/26/2020
Escondido,235.45,135.884,5/26/2020
Fallbrook,27.93,57.492,5/26/2020
Harbison Crest,41.14,271.562,5/26/2020
Harbison Crest-El Cajon,496.89,339.021,5/26/2020
Jamul,52,265.417,5/26/2020
Kearny Mesa,234.13,137.108,5/26/2020
La Mesa,114.7,181.099,5/26/2020
Laguna-Pine Valley,,,5/26/2020
Lakeside,103.98,174.524,5/26/2020
Lemon Grove,81.32,264.054,5/26/2020
Mid-City,417.59,244.042,5/26/2020
Miramar,9.07,131.934,5/26/2020
Mountain Empire,13.6,165.475,5/26/2020
National City,347.28,562.53,5/26/2020
North Central Region,696,104.603,5/26/2020
North Coastal Region,449,79.855,5/26/2020
North County,1066,91.121,5/26/2020
North Inland Region,617,101.546,5/26/2020
North San Diego,126.29,104.433,5/26/2020
Oceanside,155.07,91.537,5/26/2020
Palomar-Julian,,,5/26/2020
Pauma,5.65,69.347,5/26/2020
Pendleton,,,5/26/2020
Peninsula,91.35,130.623,5/26/2020
Poway,62.8,69.585,5/26/2020
Ramona,33.86,96.272,5/26/2020
San Diego County,6983,209.231,5/26/2020
San Dieguito,78.16,76.907,5/26/2020
San Marcos,95.66,94.752,5/26/2020
Santee,58.53,107.802,5/26/2020
South Bay,1003.9,746.124,5/26/2020
South Region,2477,496.484,5/26/2020
Southeastern San Diego,572.27,393.111,5/26/2020
Spring Valley,223.24,265.657,5/26/2020
Supervisorial District 1,2950.89,469.924,5/26/2020
Supervisorial District 2,1316.04,201.059,5/26/2020
Supervisorial District 3,677.61,101.211,5/26/2020
Supervisorial District 4,1374.7,193.537,5/26/2020
Supervisorial District 5,543.76,80.54,5/26/2020
Sweetwater,489.26,326.458,5/26/2020
Unincorporated,816.5,159.123,5/26/2020
University,39.1,53.936,5/26/2020
Valley Center,18.34,80.54,5/26/2020
Vista,112.55,104.141,5/26/2020
