Geography,"Allocated
Age50_59
Case
Count
(Raw)","COVID-19
Total
Age50_59
Rate
(Suppressed)",Date
Alpine,5.4,237.7,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,40.8,232.6,7/1/2020
Central Region,491.0,815.8,7/1/2020
Central San Diego,153.6,633.8,7/1/2020
Chula Vista,200.3,1359.8,7/1/2020
City of Carlsbad,37.6,229.8,7/1/2020
City of Chula Vista,365.0,1134.1,7/1/2020
City of Coronado,5.0,202.5,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,75.8,544.5,7/1/2020
City of Encinitas,20.4,235.8,7/1/2020
City of Escondido,68.3,369.6,7/1/2020
City of Imperial Beach,31.0,894.7,7/1/2020
City of La Mesa,26.5,328.3,7/1/2020
City of Lemon Grove,29.0,878.0,7/1/2020
City of National City,115.2,1792.1,7/1/2020
City of Oceanside,62.1,276.9,7/1/2020
City of Poway,20.0,281.1,7/1/2020
City of San Diego,947.4,544.4,7/1/2020
City of San Marcos,31.1,274.3,7/1/2020
City of Santee,22.1,283.6,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,43.2,339.4,7/1/2020
Coastal,18.5,184.6,7/1/2020
Coronado,5.0,202.5,7/1/2020
Del Mar-Mira Mesa,60.1,253.2,7/1/2020
East Region,337.0,523.9,7/1/2020
El Cajon,92.6,533.5,7/1/2020
Elliott-Navajo,27.7,230.2,7/1/2020
Escondido,73.1,347.1,7/1/2020
Fallbrook,23.1,373.5,7/1/2020
Harbison Crest,10.2,502.9,7/1/2020
Harbison Crest-El Cajon,102.9,530.3,7/1/2020
Jamul,16.4,625.6,7/1/2020
Kearny Mesa,51.7,240.6,7/1/2020
La Mesa,27.9,333.2,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,35.7,434.9,7/1/2020
Lemon Grove,35.4,937.5,7/1/2020
Mid-City,136.2,665.2,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,7.0,674.7,7/1/2020
National City,114.8,1804.4,7/1/2020
North Central Region,179.0,217.1,7/1/2020
North Coastal Region,186.0,263.0,7/1/2020
North County,402.0,269.6,7/1/2020
North Inland Region,216.0,275.5,7/1/2020
North San Diego,32.4,195.5,7/1/2020
Oceanside,59.9,280.4,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,14.1,175.6,7/1/2020
Poway,31.2,239.8,7/1/2020
Ramona,13.9,275.6,7/1/2020
San Diego County,2201.0,530.1,7/1/2020
San Dieguito,31.1,219.5,7/1/2020
San Marcos,36.2,300.2,7/1/2020
Santee,21.7,291.7,7/1/2020
South Bay,283.7,1791.4,7/1/2020
South Region,792.0,1340.4,7/1/2020
Southeastern San Diego,212.6,1240.7,7/1/2020
Spring Valley,86.7,808.0,7/1/2020
Supervisorial District 1,951.9,1312.7,7/1/2020
Supervisorial District 2,401.7,462.5,7/1/2020
Supervisorial District 3,216.3,245.4,7/1/2020
Supervisorial District 4,404.2,477.4,7/1/2020
Supervisorial District 5,226.9,273.3,7/1/2020
Sweetwater,173.0,955.5,7/1/2020
Unincorporated,295.1,463.1,7/1/2020
University,5.7,79.9,7/1/2020
Valley Center,5.3,178.0,7/1/2020
Vista,46.9,352.8,7/1/2020
