Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,7.46,46.397,5/16/2020
Anza-Borrego Springs,,,5/16/2020
Carlsbad,77.78,62.016,5/16/2020
Central Region,1234,238.32,5/16/2020
Central San Diego,450.73,215.485,5/16/2020
Chula Vista,458.5,372.476,5/16/2020
City of Carlsbad,72.03,62.84,5/16/2020
City of Chula Vista,841.37,314.526,5/16/2020
City of Coronado,17,78.402,5/16/2020
City of Del Mar,5.33,123.314,5/16/2020
City of El Cajon,302.73,286.79,5/16/2020
City of Encinitas,37.12,58.775,5/16/2020
City of Escondido,176.08,116.244,5/16/2020
City of Imperial Beach,57,202.393,5/16/2020
City of La Mesa,96.51,157.545,5/16/2020
City of Lemon Grove,55,204.964,5/16/2020
City of National City,292.31,469.516,5/16/2020
City of Oceanside,139.15,78.455,5/16/2020
City of Poway,34.92,69.562,5/16/2020
City of San Diego,2706.08,190.59,5/16/2020
City of San Marcos,61.91,64.65,5/16/2020
City of Santee,49.49,86.836,5/16/2020
City of Solana Beach,7.14,51.251,5/16/2020
City of Vista,90.76,87.794,5/16/2020
Coastal,70.43,81.954,5/16/2020
Coronado,17,78.402,5/16/2020
Del Mar-Mira Mesa,145.85,85.356,5/16/2020
East Region,929,191.346,5/16/2020
El Cajon,363.19,276.358,5/16/2020
Elliott-Navajo,85.41,90.3,5/16/2020
Escondido,195.86,113.036,5/16/2020
Fallbrook,25.99,53.506,5/16/2020
Harbison Crest,34.02,224.553,5/16/2020
Harbison Crest-El Cajon,397.2,271.004,5/16/2020
Jamul,42.38,216.33,5/16/2020
Kearny Mesa,202.22,118.423,5/16/2020
La Mesa,98.62,155.712,5/16/2020
Laguna-Pine Valley,,,5/16/2020
Lakeside,84.68,142.126,5/16/2020
Lemon Grove,67.52,219.244,5/16/2020
Mid-City,338.37,197.748,5/16/2020
Miramar,7.79,113.33,5/16/2020
Mountain Empire,13.45,163.654,5/16/2020
National City,291.48,472.142,5/16/2020
North Central Region,613,92.128,5/16/2020
North Coastal Region,396,70.429,5/16/2020
North County,914,78.128,5/16/2020
North Inland Region,518,85.253,5/16/2020
North San Diego,116.14,96.046,5/16/2020
Oceanside,137.67,81.264,5/16/2020
Palomar-Julian,,,5/16/2020
Pauma,5.16,63.372,5/16/2020
Pendleton,,,5/16/2020
Peninsula,80.13,114.575,5/16/2020
Poway,59.78,66.24,5/16/2020
Ramona,23.04,65.518,5/16/2020
San Diego County,5836,174.864,5/16/2020
San Dieguito,65.61,64.558,5/16/2020
San Marcos,69.8,69.131,5/16/2020
Santee,49.08,90.399,5/16/2020
South Bay,821.7,610.707,5/16/2020
South Region,2030,406.889,5/16/2020
Southeastern San Diego,467.34,321.028,5/16/2020
Spring Valley,182.81,217.543,5/16/2020
Supervisorial District 1,2410.6,383.884,5/16/2020
Supervisorial District 2,1078.35,164.745,5/16/2020
Supervisorial District 3,586.3,87.573,5/16/2020
Supervisorial District 4,1179.07,165.995,5/16/2020
Supervisorial District 5,465.68,68.975,5/16/2020
Sweetwater,405.3,270.437,5/16/2020
Unincorporated,678.06,132.144,5/16/2020
University,37.1,51.178,5/16/2020
Valley Center,14.79,64.948,5/16/2020
Vista,95.41,88.278,5/16/2020
