Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/9/2020
Anza-Borrego Springs,,,4/9/2020
Carlsbad,50.7,40.4222,4/9/2020
Central Region,406,78.41,4/9/2020
Central San Diego,186.58,89.1972,4/9/2020
Chula Vista,71.04,57.7102,4/9/2020
City of Carlsbad,48.83,42.5997,4/9/2020
City of Chula Vista,162.02,60.5688,4/9/2020
City of Coronado,5,23.0595,4/9/2020
City of Del Mar,,,4/9/2020
City of El Cajon,92.3,87.4381,4/9/2020
City of Encinitas,30.68,48.5778,4/9/2020
City of Escondido,48.44,31.9755,4/9/2020
City of Imperial Beach,10,35.5076,4/9/2020
City of La Mesa,32.38,52.8491,4/9/2020
City of Lemon Grove,14,52.1726,4/9/2020
City of National City,33.54,53.8812,4/9/2020
City of Oceanside,38.05,21.4515,4/9/2020
City of Poway,16.96,33.7871,4/9/2020
City of San Diego,853.23,60.0932,4/9/2020
City of San Marcos,24.53,25.6185,4/9/2020
City of Santee,16.15,28.3349,4/9/2020
City of Solana Beach,,,4/9/2020
City of Vista,29.39,28.424,4/9/2020
Coastal,54.72,63.675,4/9/2020
Coronado,5,23.0595,4/9/2020
Del Mar-Mira Mesa,77.17,45.1647,4/9/2020
East Region,280,57.6717,4/9/2020
El Cajon,113.53,86.3849,4/9/2020
Elliott-Navajo,50.05,52.9178,4/9/2020
Escondido,57.13,32.9744,4/9/2020
Fallbrook,7.45,15.3417,4/9/2020
Harbison Crest,11.1,73.2964,4/9/2020
Harbison Crest-El Cajon,124.63,85.0322,4/9/2020
Jamul,10.02,51.1464,4/9/2020
Kearny Mesa,85.76,50.2247,4/9/2020
La Mesa,33.1,52.2598,4/9/2020
Laguna-Pine Valley,,,4/9/2020
Lakeside,25.86,43.3966,4/9/2020
Lemon Grove,17.14,55.6465,4/9/2020
Mid-City,113.11,66.1043,4/9/2020
Miramar,,,4/9/2020
Mountain Empire,,,4/9/2020
National City,33.04,53.5185,4/9/2020
North Central Region,308,46.2897,4/9/2020
North Coastal Region,184,32.7246,4/9/2020
North County,376,32.1402,4/9/2020
North Inland Region,192,31.5994,4/9/2020
North San Diego,55.98,46.2958,4/9/2020
Oceanside,35.97,21.2329,4/9/2020
Palomar-Julian,,,4/9/2020
Pauma,,,4/9/2020
Pendleton,,,4/9/2020
Peninsula,20.57,29.4093,4/9/2020
Poway,27.93,30.9442,4/9/2020
Ramona,9.91,28.1872,4/9/2020
San Diego County,1693,50.7273,4/9/2020
San Dieguito,52.33,51.489,4/9/2020
San Marcos,24.51,24.274,4/9/2020
Santee,15.84,29.1804,4/9/2020
South Bay,88.86,66.0417,4/9/2020
South Region,303,60.7326,4/9/2020
Southeastern San Diego,114.58,78.7093,4/9/2020
Spring Valley,52.3,62.2372,4/9/2020
Supervisorial District 1,390.6,62.2017,4/9/2020
Supervisorial District 2,350.92,53.6128,4/9/2020
Supervisorial District 3,269.18,40.2057,4/9/2020
Supervisorial District 4,478.92,67.4245,4/9/2020
Supervisorial District 5,183.38,27.162,4/9/2020
Sweetwater,96.61,64.4657,4/9/2020
Unincorporated,208.56,40.6443,4/9/2020
University,30.44,41.9844,4/9/2020
Valley Center,,,4/9/2020
Vista,29.19,27.0094,4/9/2020
