Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,118.7,735.1,10/12/2020
Anza-Borrego Springs,18.7,357.0,10/12/2020
Carlsbad,906.4,716.6,10/12/2020
Central Region,11149.0,2164.3,10/12/2020
Central San Diego,3664.1,1737.4,10/12/2020
Chula Vista,3480.5,2805.5,10/12/2020
City of Carlsbad,777.5,674.6,10/12/2020
City of Chula Vista,6551.0,2413.4,10/12/2020
City of Coronado,197.0,814.1,10/12/2020
City of Del Mar,29.1,657.8,10/12/2020
City of El Cajon,2020.2,1910.1,10/12/2020
City of Encinitas,434.0,685.0,10/12/2020
City of Escondido,2236.6,1464.2,10/12/2020
City of Imperial Beach,654.0,2382.7,10/12/2020
City of La Mesa,727.1,1196.0,10/12/2020
City of Lemon Grove,503.0,1848.7,10/12/2020
City of National City,1749.0,2810.9,10/12/2020
City of Oceanside,2060.2,1157.5,10/12/2020
City of Poway,337.2,670.1,10/12/2020
City of San Diego,22021.9,1550.3,10/12/2020
City of San Marcos,1131.4,1152.2,10/12/2020
City of Santee,551.2,944.0,10/12/2020
City of Solana Beach,65.4,468.9,10/12/2020
City of Vista,1271.5,1247.1,10/12/2020
Coastal,1029.4,1183.4,10/12/2020
Coronado,197.0,814.1,10/12/2020
Del Mar-Mira Mesa,1130.7,661.3,10/12/2020
East Region,7603.0,1555.6,10/12/2020
El Cajon,2479.2,1873.5,10/12/2020
Elliott-Navajo,781.7,816.3,10/12/2020
Escondido,2479.9,1414.8,10/12/2020
Fallbrook,586.5,1183.1,10/12/2020
Harbison Crest,248.9,1642.6,10/12/2020
Harbison Crest-El Cajon,2728.1,1849.8,10/12/2020
Jamul,365.0,1925.9,10/12/2020
Kearny Mesa,1780.3,1041.1,10/12/2020
La Mesa,753.4,1197.2,10/12/2020
Laguna-Pine Valley,22.4,390.7,10/12/2020
Lakeside,728.1,1209.9,10/12/2020
Lemon Grove,599.8,1935.8,10/12/2020
Mid-City,3866.7,2291.9,10/12/2020
Miramar,59.1,804.8,10/12/2020
Mountain Empire,123.4,1499.8,10/12/2020
National City,1742.5,2823.0,10/12/2020
North Central Region,5718.0,854.8,10/12/2020
North Coastal Region,5147.0,918.1,10/12/2020
North County,11550.0,981.8,10/12/2020
North Inland Region,6403.0,1039.9,10/12/2020
North San Diego,702.0,575.7,10/12/2020
Oceanside,2009.0,1185.4,10/12/2020
Palomar-Julian,51.7,660.2,10/12/2020
Pauma,143.6,1702.0,10/12/2020
Pendleton,102.0,247.1,10/12/2020
Peninsula,641.1,904.0,10/12/2020
Poway,578.5,638.8,10/12/2020
Ramona,384.0,1071.3,10/12/2020
San Diego County,51024.0,1522.3,10/12/2020
San Dieguito,668.5,657.5,10/12/2020
San Marcos,1234.9,1194.9,10/12/2020
Santee,531.9,958.3,10/12/2020
South Bay,5170.9,3917.9,10/12/2020
South Region,14026.0,2791.0,10/12/2020
Southeastern San Diego,3806.0,2654.1,10/12/2020
Spring Valley,1707.2,2017.3,10/12/2020
Supervisorial District 1,17279.8,2749.2,10/12/2020
Supervisorial District 2,9570.2,1454.2,10/12/2020
Supervisorial District 3,5534.7,821.1,10/12/2020
Supervisorial District 4,10718.1,1503.3,10/12/2020
Supervisorial District 5,6943.2,1024.0,10/12/2020
Sweetwater,3198.5,2089.2,10/12/2020
Unincorporated,6728.8,1304.9,10/12/2020
University,329.8,454.6,10/12/2020
Valley Center,251.1,1082.2,10/12/2020
Vista,1373.1,1280.1,10/12/2020
