Geography,"Allocated
Age50_59
Case
Count
(Raw)","COVID-19
Total
Age50_59
Rate
(Suppressed)",Date
Alpine,9.00,394.86,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,53.75,306.48,7/8/2020
Central Region,553.00,918.77,7/8/2020
Central San Diego,176.81,729.72,7/8/2020
Chula Vista,223.34,1516.37,7/8/2020
City of Carlsbad,49.86,304.96,7/8/2020
City of Chula Vista,412.60,1281.92,7/8/2020
City of Coronado,7.00,283.52,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,93.27,670.36,7/8/2020
City of Encinitas,30.60,353.69,7/8/2020
City of Escondido,87.31,472.21,7/8/2020
City of Imperial Beach,37.00,1067.82,7/8/2020
City of La Mesa,28.77,355.88,7/8/2020
City of Lemon Grove,31.00,938.54,7/8/2020
City of National City,127.86,1988.55,7/8/2020
City of Oceanside,74.18,330.53,7/8/2020
City of Poway,23.95,337.32,7/8/2020
City of San Diego,1065.93,612.50,7/8/2020
City of San Marcos,41.87,369.02,7/8/2020
City of Santee,23.17,296.79,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,54.20,425.36,7/8/2020
Coastal,22.27,221.90,7/8/2020
Coronado,7.00,283.52,7/8/2020
Del Mar-Mira Mesa,68.73,289.54,7/8/2020
East Region,401.00,623.39,7/8/2020
El Cajon,114.01,656.64,7/8/2020
Elliott-Navajo,30.29,252.02,7/8/2020
Escondido,94.08,446.88,7/8/2020
Fallbrook,31.39,507.42,7/8/2020
Harbison Crest,12.41,608.89,7/8/2020
Harbison Crest-El Cajon,126.42,651.62,7/8/2020
Jamul,21.39,813.66,7/8/2020
Kearny Mesa,64.50,300.33,7/8/2020
La Mesa,30.22,361.37,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,40.68,495.05,7/8/2020
Lemon Grove,38.17,1010.18,7/8/2020
Mid-City,154.20,752.85,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,7.25,699.17,7/8/2020
National City,127.39,2001.49,7/8/2020
North Central Region,211.00,255.86,7/8/2020
North Coastal Region,237.00,335.15,7/8/2020
North County,514.00,344.68,7/8/2020
North Inland Region,277.00,353.27,7/8/2020
North San Diego,37.51,226.27,7/8/2020
Oceanside,71.66,335.28,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,17.68,219.84,7/8/2020
Poway,35.70,274.21,7/8/2020
Ramona,21.69,430.55,7/8/2020
San Diego County,2564.00,617.54,7/8/2020
San Dieguito,44.97,317.50,7/8/2020
San Marcos,47.36,392.95,7/8/2020
Santee,22.88,307.65,7/8/2020
South Bay,310.95,1963.77,7/8/2020
South Region,885.00,1497.77,7/8/2020
Southeastern San Diego,236.10,1377.84,7/8/2020
Spring Valley,104.97,977.77,7/8/2020
Supervisorial District 1,1066.16,1470.30,7/8/2020
Supervisorial District 2,481.49,554.26,7/8/2020
Supervisorial District 3,264.03,299.62,7/8/2020
Supervisorial District 4,462.57,546.29,7/8/2020
Supervisorial District 5,289.76,349.05,7/8/2020
Sweetwater,198.69,1097.55,7/8/2020
Unincorporated,368.03,577.53,7/8/2020
University,6.97,97.16,7/8/2020
Valley Center,7.35,245.22,7/8/2020
Vista,58.51,439.80,7/8/2020
