Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/3/2020
Anza-Borrego Springs,,,4/3/2020
Carlsbad,40.76,32.5021,4/3/2020
Central Region,296,57.1659,4/3/2020
Central San Diego,155.1,74.1481,4/3/2020
Chula Vista,38.78,31.5075,4/3/2020
City of Carlsbad,39.66,34.5983,4/3/2020
City of Chula Vista,87.51,32.7127,4/3/2020
City of Coronado,,,4/3/2020
City of Del Mar,,,4/3/2020
City of El Cajon,59.34,56.2206,4/3/2020
City of Encinitas,25.16,39.8375,4/3/2020
City of Escondido,27.7,18.2847,4/3/2020
City of Imperial Beach,,,4/3/2020
City of La Mesa,16.92,27.6184,4/3/2020
City of Lemon Grove,13,48.446,4/3/2020
City of National City,18.49,29.6923,4/3/2020
City of Oceanside,31.03,17.4949,4/3/2020
City of Poway,12.97,25.8372,4/3/2020
City of San Diego,647.36,45.5938,4/3/2020
City of San Marcos,17.69,18.4744,4/3/2020
City of Santee,14.08,24.6964,4/3/2020
City of Solana Beach,,,4/3/2020
City of Vista,19.55,18.9137,4/3/2020
Coastal,48.23,56.1232,4/3/2020
Coronado,,,4/3/2020
Del Mar-Mira Mesa,62.75,36.7232,4/3/2020
East Region,179,36.8687,4/3/2020
El Cajon,71.81,54.6453,4/3/2020
Elliott-Navajo,36.26,38.3359,4/3/2020
Escondido,33.68,19.4369,4/3/2020
Fallbrook,5.61,11.5563,4/3/2020
Harbison Crest,6.07,40.0829,4/3/2020
Harbison Crest-El Cajon,77.89,53.1403,4/3/2020
Jamul,,,4/3/2020
Kearny Mesa,69.78,40.8647,4/3/2020
La Mesa,17.4,27.476,4/3/2020
Laguna-Pine Valley,,,4/3/2020
Lakeside,15.4,25.8544,4/3/2020
Lemon Grove,14.52,47.1621,4/3/2020
Mid-City,78.04,45.6068,4/3/2020
Miramar,,,4/3/2020
Mountain Empire,,,4/3/2020
National City,18.17,29.4284,4/3/2020
North Central Region,254,38.174,4/3/2020
North Coastal Region,150,26.6777,4/3/2020
North County,298,25.4728,4/3/2020
North Inland Region,148,24.3579,4/3/2020
North San Diego,52.72,43.5991,4/3/2020
Oceanside,28.51,16.8284,4/3/2020
Palomar-Julian,,,4/3/2020
Pauma,,,4/3/2020
Pendleton,,,4/3/2020
Peninsula,18.68,26.7037,4/3/2020
Poway,23.56,26.1119,4/3/2020
Ramona,6.93,19.6989,4/3/2020
San Diego County,1209,36.2252,4/3/2020
San Dieguito,45.73,45.0024,4/3/2020
San Marcos,17.29,17.1238,4/3/2020
Santee,13.58,25.0222,4/3/2020
South Bay,41.97,31.1901,4/3/2020
South Region,160,32.07,4/3/2020
Southeastern San Diego,68.82,47.2747,4/3/2020
Spring Valley,34.08,40.5533,4/3/2020
Supervisorial District 1,218.84,34.85,4/3/2020
Supervisorial District 2,228.31,34.8801,4/3/2020
Supervisorial District 3,215.76,32.2263,4/3/2020
Supervisorial District 4,378.61,53.3031,4/3/2020
Supervisorial District 5,145.48,21.548,4/3/2020
Sweetwater,52.7,35.1643,4/3/2020
Unincorporated,140.98,27.4739,4/3/2020
University,27.96,38.5611,4/3/2020
Valley Center,,,4/3/2020
Vista,20.09,18.5909,4/3/2020
