Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,9.3,57.853,5/29/2020
Anza-Borrego Springs,5.21,101.764,5/29/2020
Carlsbad,84.29,67.202,5/29/2020
Central Region,1601,309.198,5/29/2020
Central San Diego,553.35,264.544,5/29/2020
Chula Vista,608.75,494.536,5/29/2020
City of Carlsbad,77.26,67.402,5/29/2020
City of Chula Vista,1100.05,411.231,5/29/2020
City of Coronado,20,92.238,5/29/2020
City of Del Mar,5.64,130.567,5/29/2020
City of El Cajon,404.74,383.43,5/29/2020
City of Encinitas,46.48,73.595,5/29/2020
City of Escondido,220.44,145.527,5/29/2020
City of Imperial Beach,90,319.568,5/29/2020
City of La Mesa,118.13,192.824,5/29/2020
City of Lemon Grove,72,268.316,5/29/2020
City of National City,370.43,594.997,5/29/2020
City of Oceanside,162.18,91.44,5/29/2020
City of Poway,36.92,73.537,5/29/2020
City of San Diego,3395.99,239.18,5/29/2020
City of San Marcos,91.37,95.412,5/29/2020
City of Santee,62.63,109.888,5/29/2020
City of Solana Beach,10.21,73.243,5/29/2020
City of Vista,110.13,106.531,5/29/2020
Coastal,78.93,91.842,5/29/2020
Coronado,20,92.238,5/29/2020
Del Mar-Mira Mesa,171.72,100.497,5/29/2020
East Region,1204,247.988,5/29/2020
El Cajon,481.53,366.408,5/29/2020
Elliott-Navajo,107.19,113.323,5/29/2020
Escondido,245.75,141.828,5/29/2020
Fallbrook,29.73,61.186,5/29/2020
Harbison Crest,43.37,286.323,5/29/2020
Harbison Crest-El Cajon,524.9,358.131,5/29/2020
Jamul,56.96,290.712,5/29/2020
Kearny Mesa,247.77,145.094,5/29/2020
La Mesa,121.08,191.171,5/29/2020
Laguna-Pine Valley,,,5/29/2020
Lakeside,113.03,189.716,5/29/2020
Lemon Grove,88.55,287.56,5/29/2020
Mid-City,448.19,261.928,5/29/2020
Miramar,9.31,135.422,5/29/2020
Mountain Empire,13.6,165.475,5/29/2020
National City,369.48,598.49,5/29/2020
North Central Region,733,110.163,5/29/2020
North Coastal Region,462,82.167,5/29/2020
North County,1107,94.626,5/29/2020
North Inland Region,645,106.154,5/29/2020
North San Diego,129.76,107.307,5/29/2020
Oceanside,161.18,95.145,5/29/2020
Palomar-Julian,,,5/29/2020
Pauma,6.04,74.16,5/29/2020
Pendleton,,,5/29/2020
Peninsula,94.24,134.756,5/29/2020
Poway,64.21,71.155,5/29/2020
Ramona,36.83,104.702,5/29/2020
San Diego County,7385,221.276,5/29/2020
San Dieguito,80.39,79.109,5/29/2020
San Marcos,100.1,99.147,5/29/2020
Santee,62.68,115.448,5/29/2020
South Bay,1052.86,782.511,5/29/2020
South Region,2614,523.944,5/29/2020
Southeastern San Diego,626.37,430.271,5/29/2020
Spring Valley,234.32,278.837,5/29/2020
Supervisorial District 1,3130.26,498.488,5/29/2020
Supervisorial District 2,1400,213.885,5/29/2020
Supervisorial District 3,698.47,104.327,5/29/2020
Supervisorial District 4,1464.73,206.212,5/29/2020
Supervisorial District 5,565.54,83.766,5/29/2020
Sweetwater,516.8,344.832,5/29/2020
Unincorporated,864.4,168.458,5/29/2020
University,40.57,55.954,5/29/2020
Valley Center,21.27,93.439,5/29/2020
Vista,115.98,107.317,5/29/2020
