Geography,"Allocated
Age20_29
Case
Count
(Raw)","COVID-19
Total
Age20_29
Rate
(Suppressed)",Date
Alpine,8.3,399.8,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,105.7,672.8,7/14/2020
Central Region,1243.0,1533.7,7/14/2020
Central San Diego,423.7,1281.5,7/14/2020
Chula Vista,318.6,1763.8,7/14/2020
City of Carlsbad,96.1,672.6,7/14/2020
City of Chula Vista,587.1,1505.5,7/14/2020
City of Coronado,32.0,651.7,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,188.2,1370.2,7/14/2020
City of Encinitas,40.0,517.1,7/14/2020
City of Escondido,187.8,905.1,7/14/2020
City of Imperial Beach,72.0,1736.2,7/14/2020
City of La Mesa,75.2,954.4,7/14/2020
City of Lemon Grove,42.0,1081.4,7/14/2020
City of National City,185.9,1527.8,7/14/2020
City of Oceanside,200.3,855.1,7/14/2020
City of Poway,32.9,512.5,7/14/2020
City of San Diego,2548.1,1250.4,7/14/2020
City of San Marcos,127.2,986.1,7/14/2020
City of Santee,32.3,444.2,7/14/2020
City of Solana Beach,6.7,424.4,7/14/2020
City of Vista,119.9,833.3,7/14/2020
Coastal,216.0,2201.2,7/14/2020
Coronado,32.0,651.7,7/14/2020
Del Mar-Mira Mesa,116.6,466.8,7/14/2020
East Region,693.0,1084.4,7/14/2020
El Cajon,231.2,1351.0,7/14/2020
Elliott-Navajo,101.6,882.0,7/14/2020
Escondido,209.2,886.8,7/14/2020
Fallbrook,41.8,652.7,7/14/2020
Harbison Crest,23.6,1204.5,7/14/2020
Harbison Crest-El Cajon,254.8,1335.9,7/14/2020
Jamul,27.6,1025.0,7/14/2020
Kearny Mesa,240.1,1074.1,7/14/2020
La Mesa,77.7,954.3,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,57.7,752.8,7/14/2020
Lemon Grove,53.2,1189.6,7/14/2020
Mid-City,419.4,1720.3,7/14/2020
Miramar,7.9,511.0,7/14/2020
Mountain Empire,11.7,1056.2,7/14/2020
National City,185.5,1532.6,7/14/2020
North Central Region,843.0,911.9,7/14/2020
North Coastal Region,508.0,600.8,7/14/2020
North County,1054.0,639.9,7/14/2020
North Inland Region,546.0,681.3,7/14/2020
North San Diego,54.4,354.5,7/14/2020
Oceanside,196.7,872.5,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,12.1,1082.8,7/14/2020
Pendleton,6.0,34.8,7/14/2020
Peninsula,111.2,1016.5,7/14/2020
Poway,53.5,474.1,7/14/2020
Ramona,19.0,420.4,7/14/2020
San Diego County,5157.0,1077.9,7/14/2020
San Dieguito,63.0,508.8,7/14/2020
San Marcos,136.7,998.8,7/14/2020
Santee,31.9,460.3,7/14/2020
South Bay,499.5,2321.0,7/14/2020
South Region,1324.0,1735.0,7/14/2020
Southeastern San Diego,405.6,1884.9,7/14/2020
Spring Valley,174.5,1517.1,7/14/2020
Supervisorial District 1,1709.6,1656.3,7/14/2020
Supervisorial District 2,863.4,1001.4,7/14/2020
Supervisorial District 3,539.7,601.2,7/14/2020
Supervisorial District 4,1369.2,1392.9,7/14/2020
Supervisorial District 5,675.1,669.0,7/14/2020
Sweetwater,281.6,1300.6,7/14/2020
Unincorporated,580.3,728.1,7/14/2020
University,50.9,422.2,7/14/2020
Valley Center,18.1,595.4,7/14/2020
Vista,127.8,852.8,7/14/2020
