Geography,"Allocated
Age70_79
Case
Count
(Raw)","COVID-19
Total
Age70_79
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,7.2,80.1,7/1/2020
Central Region,167.0,633.2,7/1/2020
Central San Diego,54.9,476.0,7/1/2020
Chula Vista,46.1,709.6,7/1/2020
City of Carlsbad,6.1,74.3,7/1/2020
City of Chula Vista,86.5,648.3,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,79.2,1133.5,7/1/2020
City of Encinitas,5.6,122.6,7/1/2020
City of Escondido,35.7,398.6,7/1/2020
City of Imperial Beach,9.0,657.9,7/1/2020
City of La Mesa,12.3,289.1,7/1/2020
City of Lemon Grove,6.0,410.4,7/1/2020
City of National City,35.9,1304.8,7/1/2020
City of Oceanside,14.0,126.2,7/1/2020
City of Poway,,,7/1/2020
City of San Diego,344.9,417.9,7/1/2020
City of San Marcos,10.3,182.9,7/1/2020
City of Santee,,,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,10.6,187.2,7/1/2020
Coastal,12.0,191.9,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,20.9,210.4,7/1/2020
East Region,165.0,512.6,7/1/2020
El Cajon,92.2,1057.1,7/1/2020
Elliott-Navajo,7.8,109.1,7/1/2020
Escondido,38.9,376.8,7/1/2020
Fallbrook,7.3,181.0,7/1/2020
Harbison Crest,7.7,755.7,7/1/2020
Harbison Crest-El Cajon,99.9,1025.5,7/1/2020
Jamul,,,7/1/2020
Kearny Mesa,25.8,246.1,7/1/2020
La Mesa,12.7,288.4,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,14.8,357.3,7/1/2020
Lemon Grove,7.4,441.8,7/1/2020
Mid-City,35.2,407.1,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,35.7,1316.7,7/1/2020
North Central Region,83.0,196.7,7/1/2020
North Coastal Region,46.0,128.8,7/1/2020
North County,156.0,206.1,7/1/2020
North Inland Region,110.0,275.2,7/1/2020
North San Diego,27.7,356.0,7/1/2020
Oceanside,14.6,139.9,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,13.3,295.1,7/1/2020
Poway,7.8,124.6,7/1/2020
Ramona,,,7/1/2020
San Diego County,781.0,387.9,7/1/2020
San Dieguito,10.4,132.7,7/1/2020
San Marcos,12.9,217.8,7/1/2020
Santee,,,7/1/2020
South Bay,75.5,1255.4,7/1/2020
South Region,210.0,843.9,7/1/2020
Southeastern San Diego,80.9,1142.2,7/1/2020
Spring Valley,21.8,430.2,7/1/2020
Supervisorial District 1,286.4,947.4,7/1/2020
Supervisorial District 2,183.4,413.5,7/1/2020
Supervisorial District 3,107.9,254.4,7/1/2020
Supervisorial District 4,137.8,329.3,7/1/2020
Supervisorial District 5,65.6,154.3,7/1/2020
Sweetwater,43.8,601.9,7/1/2020
Unincorporated,111.5,331.7,7/1/2020
University,9.0,206.2,7/1/2020
Valley Center,,,7/1/2020
Vista,10.0,166.8,7/1/2020
