Geography,"Allocated
Age30_39
Case
Count
(Raw)","COVID-19
Total
Age30_39
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,28.2,179.7,6/24/2020
Central Region,530.0,659.6,6/24/2020
Central San Diego,204.0,558.9,6/24/2020
Chula Vista,200.3,1295.4,6/24/2020
City of Carlsbad,24.3,173.1,6/24/2020
City of Chula Vista,331.9,985.8,6/24/2020
City of Coronado,7.0,249.2,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,69.5,510.4,6/24/2020
City of Encinitas,14.1,171.6,6/24/2020
City of Escondido,68.5,361.8,6/24/2020
City of Imperial Beach,32.0,783.9,6/24/2020
City of La Mesa,36.3,386.2,6/24/2020
City of Lemon Grove,18.0,522.3,6/24/2020
City of National City,83.6,1062.0,6/24/2020
City of Oceanside,44.1,185.2,6/24/2020
City of Poway,,,6/24/2020
City of San Diego,1065.8,500.9,6/24/2020
City of San Marcos,22.1,187.4,6/24/2020
City of Santee,21.1,281.4,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,39.0,287.6,6/24/2020
Coastal,23.7,138.2,6/24/2020
Coronado,7.0,249.2,6/24/2020
Del Mar-Mira Mesa,42.5,195.9,6/24/2020
East Region,302.0,477.5,6/24/2020
El Cajon,84.3,498.4,6/24/2020
Elliott-Navajo,40.3,299.5,6/24/2020
Escondido,75.1,349.1,6/24/2020
Fallbrook,10.2,175.6,6/24/2020
Harbison Crest,8.4,438.2,6/24/2020
Harbison Crest-El Cajon,92.7,492.2,6/24/2020
Jamul,15.3,668.3,6/24/2020
Kearny Mesa,85.6,312.9,6/24/2020
La Mesa,37.5,387.4,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,29.7,396.0,6/24/2020
Lemon Grove,22.7,575.5,6/24/2020
Mid-City,132.7,518.4,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,8.3,898.6,6/24/2020
National City,83.4,1068.8,6/24/2020
North Central Region,218.0,214.2,6/24/2020
North Coastal Region,133.0,186.1,6/24/2020
North County,303.0,208.0,6/24/2020
North Inland Region,170.0,229.0,6/24/2020
North San Diego,20.7,138.7,6/24/2020
Oceanside,43.7,192.3,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,12.3,110.6,6/24/2020
Poway,13.6,131.1,6/24/2020
Ramona,12.8,312.9,6/24/2020
San Diego County,2129.0,467.3,6/24/2020
San Dieguito,20.1,157.8,6/24/2020
San Marcos,25.5,202.6,6/24/2020
Santee,20.6,288.6,6/24/2020
South Bay,335.1,1808.1,6/24/2020
South Region,776.0,1202.1,6/24/2020
Southeastern San Diego,200.6,1036.0,6/24/2020
Spring Valley,76.1,707.8,6/24/2020
Supervisorial District 1,965.4,1171.0,6/24/2020
Supervisorial District 2,357.0,424.3,6/24/2020
Supervisorial District 3,194.5,220.1,6/24/2020
Supervisorial District 4,447.9,385.9,6/24/2020
Supervisorial District 5,164.2,194.1,6/24/2020
Sweetwater,138.2,729.9,6/24/2020
Unincorporated,243.9,392.8,6/24/2020
University,12.5,114.7,6/24/2020
Valley Center,8.1,297.7,6/24/2020
Vista,38.6,274.4,6/24/2020
