Geography,"Allocated
Black
Case
Count
(Raw)","COVID-19
Total Black
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,,,7/1/2020
Central Region,205.0,412.2,7/1/2020
Central San Diego,63.2,442.5,7/1/2020
Chula Vista,8.2,210.8,7/1/2020
City of Carlsbad,,,7/1/2020
City of Chula Vista,35.1,320.7,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,27.9,566.1,7/1/2020
City of Encinitas,,,7/1/2020
City of Escondido,7.9,236.8,7/1/2020
City of Imperial Beach,,,7/1/2020
City of La Mesa,14.2,457.5,7/1/2020
City of Lemon Grove,9.0,307.1,7/1/2020
City of National City,16.0,550.3,7/1/2020
City of Oceanside,10.0,122.3,7/1/2020
City of Poway,,,7/1/2020
City of San Diego,287.4,364.7,7/1/2020
City of San Marcos,,,7/1/2020
City of Santee,,,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,8.6,283.5,7/1/2020
Coastal,,,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,16.7,291.0,7/1/2020
East Region,98.0,402.2,7/1/2020
El Cajon,32.8,548.1,7/1/2020
Elliott-Navajo,14.3,363.8,7/1/2020
Escondido,9.1,234.5,7/1/2020
Fallbrook,,,7/1/2020
Harbison Crest,,,7/1/2020
Harbison Crest-El Cajon,35.5,545.6,7/1/2020
Jamul,,,7/1/2020
Kearny Mesa,19.7,275.7,7/1/2020
La Mesa,14.8,456.5,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,7.3,471.2,7/1/2020
Lemon Grove,11.9,333.1,7/1/2020
Mid-City,57.9,346.2,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,15.9,549.8,7/1/2020
North Central Region,63.0,285.5,7/1/2020
North Coastal Region,24.0,135.1,7/1/2020
North County,44.0,141.3,7/1/2020
North Inland Region,20.0,149.6,7/1/2020
North San Diego,,,7/1/2020
Oceanside,10.5,135.4,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,5.8,340.6,7/1/2020
Poway,,,7/1/2020
Ramona,,,7/1/2020
San Diego County,487.0,329.7,7/1/2020
San Dieguito,,,7/1/2020
San Marcos,,,7/1/2020
Santee,,,7/1/2020
South Bay,20.3,351.6,7/1/2020
South Region,77.0,377.0,7/1/2020
Southeastern San Diego,83.6,453.5,7/1/2020
Spring Valley,24.7,339.6,7/1/2020
Supervisorial District 1,137.2,416.0,7/1/2020
Supervisorial District 2,121.2,402.3,7/1/2020
Supervisorial District 3,36.6,204.8,7/1/2020
Supervisorial District 4,165.7,368.4,7/1/2020
Supervisorial District 5,26.3,120.7,7/1/2020
Sweetwater,28.1,386.4,7/1/2020
Unincorporated,55.7,259.3,7/1/2020
University,,,7/1/2020
Valley Center,,,7/1/2020
Vista,8.6,261.9,7/1/2020
