Geography,"Allocated
Age10_19
Case
Count
(Raw)","COVID-19
Total
Age10_19
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,31.5,201.6,7/8/2020
Central Region,213.0,322.2,7/8/2020
Central San Diego,54.9,259.3,7/8/2020
Chula Vista,68.1,366.6,7/8/2020
City of Carlsbad,30.5,213.8,7/8/2020
City of Chula Vista,130.2,316.5,7/8/2020
City of Coronado,11.0,513.5,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,37.5,271.8,7/8/2020
City of Encinitas,20.6,294.5,7/8/2020
City of Escondido,47.9,211.2,7/8/2020
City of Imperial Beach,14.0,364.2,7/8/2020
City of La Mesa,13.4,221.3,7/8/2020
City of Lemon Grove,18.0,470.3,7/8/2020
City of National City,45.8,461.5,7/8/2020
City of Oceanside,44.1,186.9,7/8/2020
City of Poway,9.0,130.8,7/8/2020
City of San Diego,415.9,228.3,7/8/2020
City of San Marcos,42.5,284.0,7/8/2020
City of Santee,15.1,213.2,7/8/2020
City of Solana Beach,7.2,510.4,7/8/2020
City of Vista,35.9,239.1,7/8/2020
Coastal,9.1,121.0,7/8/2020
Coronado,11.0,513.5,7/8/2020
Del Mar-Mira Mesa,26.9,116.2,7/8/2020
East Region,170.0,272.2,7/8/2020
El Cajon,47.5,275.5,7/8/2020
Elliott-Navajo,9.5,85.6,7/8/2020
Escondido,56.5,214.8,7/8/2020
Fallbrook,13.9,227.8,7/8/2020
Harbison Crest,5.7,281.1,7/8/2020
Harbison Crest-El Cajon,53.1,276.1,7/8/2020
Jamul,14.5,525.9,7/8/2020
Kearny Mesa,28.2,145.2,7/8/2020
La Mesa,14.1,225.0,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,10.0,129.4,7/8/2020
Lemon Grove,20.4,459.5,7/8/2020
Mid-City,64.7,270.1,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,45.6,463.1,7/8/2020
North Central Region,111.0,133.7,7/8/2020
North Coastal Region,156.0,208.0,7/8/2020
North County,308.0,192.1,7/8/2020
North Inland Region,152.0,178.1,7/8/2020
North San Diego,11.8,73.1,7/8/2020
Oceanside,44.3,195.0,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,28.3,342.9,7/8/2020
Poway,15.8,129.2,7/8/2020
Ramona,8.9,189.5,7/8/2020
San Diego County,1097.0,245.2,7/8/2020
San Dieguito,36.8,319.7,7/8/2020
San Marcos,42.1,275.4,7/8/2020
Santee,13.9,206.2,7/8/2020
South Bay,102.8,506.9,7/8/2020
South Region,295.0,391.3,7/8/2020
Southeastern San Diego,95.3,430.8,7/8/2020
Spring Valley,41.9,356.0,7/8/2020
Supervisorial District 1,383.1,406.9,7/8/2020
Supervisorial District 2,202.5,238.4,7/8/2020
Supervisorial District 3,130.0,147.4,7/8/2020
Supervisorial District 4,184.6,215.0,7/8/2020
Supervisorial District 5,196.8,208.8,7/8/2020
Sweetwater,65.3,281.4,7/8/2020
Unincorporated,157.5,221.3,7/8/2020
University,,,7/8/2020
Valley Center,5.9,192.0,7/8/2020
Vista,38.3,243.1,7/8/2020
