Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/22/2020
Anza-Borrego Springs,,,4/22/2020
Carlsbad,52.99,42.252,4/22/2020
Central Region,560,108.152,4/22/2020
Central San Diego,236.32,112.98,4/22/2020
Chula Vista,150.16,121.982,4/22/2020
City of Carlsbad,50.86,44.37,4/22/2020
City of Chula Vista,313.4,117.159,4/22/2020
City of Coronado,7,32.283,4/22/2020
City of Del Mar,5.02,116.06,4/22/2020
City of El Cajon,138.97,131.655,4/22/2020
City of Encinitas,31.6,50.034,4/22/2020
City of Escondido,76.75,50.665,4/22/2020
City of Imperial Beach,18,63.914,4/22/2020
City of La Mesa,63.06,102.933,4/22/2020
City of Lemon Grove,25,93.165,4/22/2020
City of National City,80.44,129.201,4/22/2020
City of Oceanside,59.06,33.3,4/22/2020
City of Poway,22.95,45.712,4/22/2020
City of San Diego,1284.88,90.495,4/22/2020
City of San Marcos,29.18,30.471,4/22/2020
City of Santee,28.24,49.542,4/22/2020
City of Solana Beach,6.08,43.598,4/22/2020
City of Vista,39.37,38.082,4/22/2020
Coastal,56.71,65.989,4/22/2020
Coronado,7,32.283,4/22/2020
Del Mar-Mira Mesa,100.11,58.589,4/22/2020
East Region,457,94.128,4/22/2020
El Cajon,171.04,130.149,4/22/2020
Elliott-Navajo,61.54,65.066,4/22/2020
Escondido,88.32,50.971,4/22/2020
Fallbrook,11.23,23.107,4/22/2020
Harbison Crest,17.21,113.596,4/22/2020
Harbison Crest-El Cajon,188.25,128.438,4/22/2020
Jamul,18.95,96.708,4/22/2020
Kearny Mesa,118.99,69.681,4/22/2020
La Mesa,64.14,101.27,4/22/2020
Laguna-Pine Valley,,,4/22/2020
Lakeside,40.11,67.321,4/22/2020
Lemon Grove,30.23,98.168,4/22/2020
Mid-City,149.85,87.576,4/22/2020
Miramar,6.82,99.294,4/22/2020
Mountain Empire,5,60.846,4/22/2020
National City,79.75,129.182,4/22/2020
North Central Region,404,60.718,4/22/2020
North Coastal Region,225,40.017,4/22/2020
North County,504,43.082,4/22/2020
North Inland Region,279,45.918,4/22/2020
North San Diego,80.22,66.341,4/22/2020
Oceanside,57.21,33.772,4/22/2020
Palomar-Julian,,,4/22/2020
Pauma,,,4/22/2020
Pendleton,,,4/22/2020
Peninsula,42.01,60.069,4/22/2020
Poway,40.48,44.852,4/22/2020
Ramona,13.9,39.532,4/22/2020
San Diego County,2643,79.192,4/22/2020
San Dieguito,55.24,54.357,4/22/2020
San Marcos,29.63,29.351,4/22/2020
Santee,27.39,50.442,4/22/2020
South Bay,258.56,192.169,4/22/2020
South Region,684,137.099,4/22/2020
Southeastern San Diego,186.46,128.087,4/22/2020
Spring Valley,85.06,101.22,4/22/2020
Supervisorial District 1,823.08,131.074,4/22/2020
Supervisorial District 2,551.1,84.194,4/22/2020
Supervisorial District 3,367.86,54.945,4/22/2020
Supervisorial District 4,632.25,89.011,4/22/2020
Supervisorial District 5,234.71,34.765,4/22/2020
Sweetwater,172.1,114.836,4/22/2020
Unincorporated,329.15,64.147,4/22/2020
University,32.44,44.743,4/22/2020
Valley Center,6.86,30.116,4/22/2020
Vista,41.48,38.383,4/22/2020
