Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/11/20
Anza-Borrego Springs,,,4/11/20
Carlsbad,50.44,40.2192,4/11/20
Central Region,424,81.8863,4/11/20
Central San Diego,192.57,92.0651,4/11/20
Chula Vista,79.3,64.4226,4/11/20
City of Carlsbad,48.86,42.6247,4/11/20
City of Chula Vista,175.25,65.515,4/11/20
City of Coronado,5,23.0595,4/11/20
City of Del Mar,,,4/11/20
City of El Cajon,100.89,95.576,4/11/20
City of Encinitas,31.6,50.0345,4/11/20
City of Escondido,54.83,36.196,4/11/20
City of Imperial Beach,10,35.5076,4/11/20
City of La Mesa,34.99,57.1173,4/11/20
City of Lemon Grove,15,55.8992,4/11/20
City of National City,39.36,63.2239,4/11/20
City of Oceanside,39.05,22.018,4/11/20
City of Poway,17.96,35.7746,4/11/20
City of San Diego,889.97,62.6806,4/11/20
City of San Marcos,24.58,25.6707,4/11/20
City of Santee,18.16,31.863,4/11/20
City of Solana Beach,5.87,42.1441,4/11/20
City of Vista,30.13,29.1401,4/11/20
Coastal,54.72,63.675,4/11/20
Coronado,5,23.0595,4/11/20
Del Mar-Mira Mesa,76.27,44.6327,4/11/20
East Region,303,62.409,4/11/20
El Cajon,123.77,94.1772,4/11/20
Elliott-Navajo,51.99,54.9673,4/11/20
Escondido,64.1,36.9929,4/11/20
Fallbrook,9.26,19.0646,4/11/20
Harbison Crest,11.92,78.6637,4/11/20
Harbison Crest-El Cajon,135.68,92.5739,4/11/20
Jamul,10.8,55.1208,4/11/20
Kearny Mesa,87.3,51.1214,4/11/20
La Mesa,35.78,56.4832,4/11/20
Laguna-Pine Valley,,,4/11/20
Lakeside,27.8,46.6547,4/11/20
Lemon Grove,18.32,59.5038,4/11/20
Mid-City,118.3,69.1345,4/11/20
Miramar,,,4/11/20
Mountain Empire,,,4/11/20
National City,38.83,62.8948,4/11/20
North Central Region,312,46.8909,4/11/20
North Coastal Region,188,33.436,4/11/20
North County,394,33.6788,4/11/20
North Inland Region,206,33.9035,4/11/20
North San Diego,59.28,49.0234,4/11/20
Oceanside,37.43,22.0972,4/11/20
Palomar-Julian,,,4/11/20
Pauma,,,4/11/20
Pendleton,,,4/11/20
Peninsula,22.01,31.4746,4/11/20
Poway,29.63,32.8311,4/11/20
Ramona,9.94,28.2499,4/11/20
San Diego County,1804,54.0532,4/11/20
San Dieguito,54.33,53.4571,4/11/20
San Marcos,24.51,24.2743,4/11/20
Santee,17.77,32.7399,4/11/20
South Bay,100.52,74.7124,4/11/20
South Region,335,67.1466,4/11/20
Southeastern San Diego,121.92,83.7496,4/11/20
Spring Valley,56.22,66.8986,4/11/20
Supervisorial District 1,427.2,68.0306,4/11/20
Supervisorial District 2,376.88,57.5788,4/11/20
Supervisorial District 3,281.01,41.9725,4/11/20
Supervisorial District 4,495.32,69.733,4/11/20
Supervisorial District 5,187.59,27.7857,4/11/20
Sweetwater,101.96,68.03,4/11/20
Unincorporated,222.42,43.3465,4/11/20
University,30.44,41.9844,4/11/20
Valley Center,,,4/11/20
Vista,30.12,27.8663,4/11/20
