Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,7.45,46.341,5/14/2020
Anza-Borrego Springs,,,5/14/2020
Carlsbad,74.83,59.663,5/14/2020
Central Region,1157,223.449,5/14/2020
Central San Diego,416.68,199.205,5/14/2020
Chula Vista,432.92,351.696,5/14/2020
City of Carlsbad,70.03,61.095,5/14/2020
City of Chula Vista,795.26,297.291,5/14/2020
City of Coronado,16,73.791,5/14/2020
City of Del Mar,5.33,123.314,5/14/2020
City of El Cajon,280.24,265.483,5/14/2020
City of Encinitas,37.12,58.775,5/14/2020
City of Escondido,174.7,115.327,5/14/2020
City of Imperial Beach,50,177.538,5/14/2020
City of La Mesa,93.28,152.271,5/14/2020
City of Lemon Grove,54,201.237,5/14/2020
City of National City,261.44,419.933,5/14/2020
City of Oceanside,130.14,73.373,5/14/2020
City of Poway,34.92,69.562,5/14/2020
City of San Diego,2569.63,180.98,5/14/2020
City of San Marcos,57.4,59.94,5/14/2020
City of Santee,48.46,85.029,5/14/2020
City of Solana Beach,7.14,51.251,5/14/2020
City of Vista,79.66,77.051,5/14/2020
Coastal,68.91,80.187,5/14/2020
Coronado,16,73.791,5/14/2020
Del Mar-Mira Mesa,142.47,83.377,5/14/2020
East Region,887,182.696,5/14/2020
El Cajon,337.38,256.718,5/14/2020
Elliott-Navajo,85.52,90.41,5/14/2020
Escondido,194.03,111.983,5/14/2020
Fallbrook,24.14,49.698,5/14/2020
Harbison Crest,32.22,212.726,5/14/2020
Harbison Crest-El Cajon,369.6,252.172,5/14/2020
Jamul,41.15,210.029,5/14/2020
Kearny Mesa,190.51,111.567,5/14/2020
La Mesa,95.27,150.421,5/14/2020
Laguna-Pine Valley,,,5/14/2020
Lakeside,82.25,138.046,5/14/2020
Lemon Grove,65.82,213.723,5/14/2020
Mid-City,322.01,188.189,5/14/2020
Miramar,7.63,111.004,5/14/2020
Mountain Empire,12.45,151.486,5/14/2020
National City,260.6,422.13,5/14/2020
North Central Region,594,89.273,5/14/2020
North Coastal Region,372,66.161,5/14/2020
North County,874,74.709,5/14/2020
North Inland Region,502,82.619,5/14/2020
North San Diego,112.69,93.186,5/14/2020
Oceanside,128.07,75.598,5/14/2020
Palomar-Julian,,,5/14/2020
Pauma,5.08,62.41,5/14/2020
Pendleton,,,5/14/2020
Peninsula,78.79,112.666,5/14/2020
Poway,59.7,66.157,5/14/2020
Ramona,20.14,57.271,5/14/2020
San Diego County,5523,165.485,5/14/2020
San Dieguito,65.44,64.392,5/14/2020
San Marcos,64.83,64.216,5/14/2020
Santee,47.95,88.322,5/14/2020
South Bay,775.59,576.434,5/14/2020
South Region,1903,381.433,5/14/2020
Southeastern San Diego,440.49,302.585,5/14/2020
Spring Valley,177.99,211.802,5/14/2020
Supervisorial District 1,2259.41,359.808,5/14/2020
Supervisorial District 2,1031.97,157.66,5/14/2020
Supervisorial District 3,576.37,86.089,5/14/2020
Supervisorial District 4,1113.5,156.764,5/14/2020
Supervisorial District 5,433.75,64.246,5/14/2020
Sweetwater,383.35,255.789,5/14/2020
Unincorporated,650.25,126.724,5/14/2020
University,35.62,49.134,5/14/2020
Valley Center,14.43,63.371,5/14/2020
Vista,84.18,77.89,5/14/2020
