Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/17/2020
Anza-Borrego Springs,,,4/17/2020
Carlsbad,52.99,42.252,4/17/2020
Central Region,499,96.371,4/17/2020
Central San Diego,218.15,104.293,4/17/2020
Chula Vista,115.85,94.111,4/17/2020
City of Carlsbad,50.86,44.37,4/17/2020
City of Chula Vista,242.23,90.552,4/17/2020
City of Coronado,6,27.671,4/17/2020
City of Del Mar,5.02,116.06,4/17/2020
City of El Cajon,118.58,112.338,4/17/2020
City of Encinitas,31.6,50.034,4/17/2020
City of Escondido,68.81,45.425,4/17/2020
City of Imperial Beach,14,49.711,4/17/2020
City of La Mesa,42.83,69.921,4/17/2020
City of Lemon Grove,18,67.079,4/17/2020
City of National City,63.49,101.973,4/17/2020
City of Oceanside,52.05,29.348,4/17/2020
City of Poway,19.96,39.75,4/17/2020
City of San Diego,1083.84,76.335,4/17/2020
City of San Marcos,29.18,30.471,4/17/2020
City of Santee,22.19,38.933,4/17/2020
City of Solana Beach,6.08,43.598,4/17/2020
City of Vista,34.77,33.637,4/17/2020
Coastal,54.72,63.675,4/17/2020
Coronado,6,27.671,4/17/2020
Del Mar-Mira Mesa,90.6,53.021,4/17/2020
East Region,368,75.797,4/17/2020
El Cajon,146.28,111.311,4/17/2020
Elliott-Navajo,55.42,58.587,4/17/2020
Escondido,79.68,45.984,4/17/2020
Fallbrook,9.33,19.207,4/17/2020
Harbison Crest,14.3,94.407,4/17/2020
Harbison Crest-El Cajon,160.58,109.564,4/17/2020
Jamul,15.58,79.516,4/17/2020
Kearny Mesa,104.18,61.009,4/17/2020
La Mesa,43.8,69.154,4/17/2020
Laguna-Pine Valley,,,4/17/2020
Lakeside,32.32,54.241,4/17/2020
Lemon Grove,22.21,72.109,4/17/2020
Mid-City,138.65,81.029,4/17/2020
Miramar,6.26,91.154,4/17/2020
Mountain Empire,,,4/17/2020
National City,62.95,101.973,4/17/2020
North Central Region,368,55.307,4/17/2020
North Coastal Region,212,37.704,4/17/2020
North County,461,39.406,4/17/2020
North Inland Region,249,40.981,4/17/2020
North San Diego,72.61,60.042,4/17/2020
Oceanside,49.92,29.47,4/17/2020
Palomar-Julian,,,4/17/2020
Pauma,,,4/17/2020
Pendleton,,,4/17/2020
Peninsula,38.23,54.669,4/17/2020
Poway,37.06,41.065,4/17/2020
Ramona,10.94,31.094,4/17/2020
San Diego County,2213,66.308,4/17/2020
San Dieguito,55.24,54.357,4/17/2020
San Marcos,29.39,29.107,4/17/2020
Santee,21.6,39.791,4/17/2020
South Bay,152.5,113.339,4/17/2020
South Region,482,96.611,4/17/2020
Southeastern San Diego,152.32,104.631,4/17/2020
Spring Valley,70.78,84.224,4/17/2020
Supervisorial District 1,599.09,95.404,4/17/2020
Supervisorial District 2,449.24,68.633,4/17/2020
Supervisorial District 3,338.09,50.498,4/17/2020
Supervisorial District 4,575.43,81.012,4/17/2020
Supervisorial District 5,216.15,32.016,4/17/2020
Sweetwater,132.72,88.556,4/17/2020
Unincorporated,268.52,52.33,4/17/2020
University,32.44,44.743,4/17/2020
Valley Center,5.88,25.814,4/17/2020
Vista,35.81,33.136,4/17/2020
