Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,9.3,57.853,5/28/2020
Anza-Borrego Springs,5.21,101.764,5/28/2020
Carlsbad,84.27,67.19,5/28/2020
Central Region,1553,299.928,5/28/2020
Central San Diego,541.09,258.684,5/28/2020
Chula Vista,593.38,482.044,5/28/2020
City of Carlsbad,77.26,67.402,5/28/2020
City of Chula Vista,1070.64,400.235,5/28/2020
City of Coronado,20,92.238,5/28/2020
City of Del Mar,5.64,130.567,5/28/2020
City of El Cajon,400.11,379.049,5/28/2020
City of Encinitas,46.48,73.595,5/28/2020
City of Escondido,216.76,143.094,5/28/2020
City of Imperial Beach,85,301.814,5/28/2020
City of La Mesa,118.51,193.451,5/28/2020
City of Lemon Grove,68,253.41,5/28/2020
City of National City,366.5,588.693,5/28/2020
City of Oceanside,161.18,90.874,5/28/2020
City of Poway,36.92,73.537,5/28/2020
City of San Diego,3320.26,233.847,5/28/2020
City of San Marcos,88.55,92.461,5/28/2020
City of Santee,62.62,109.879,5/28/2020
City of Solana Beach,10.21,73.243,5/28/2020
City of Vista,107.45,103.94,5/28/2020
Coastal,78.91,91.82,5/28/2020
Coronado,20,92.238,5/28/2020
Del Mar-Mira Mesa,169.87,99.414,5/28/2020
East Region,1189,244.899,5/28/2020
El Cajon,476.33,362.451,5/28/2020
Elliott-Navajo,102.98,108.873,5/28/2020
Escondido,241.54,139.401,5/28/2020
Fallbrook,29.73,61.186,5/28/2020
Harbison Crest,42.98,283.763,5/28/2020
Harbison Crest-El Cajon,519.31,354.318,5/28/2020
Jamul,54.96,280.503,5/28/2020
Kearny Mesa,240.39,140.777,5/28/2020
La Mesa,121.41,191.681,5/28/2020
Laguna-Pine Valley,,,5/28/2020
Lakeside,110.8,185.959,5/28/2020
Lemon Grove,84.06,272.977,5/28/2020
Mid-City,436.76,255.25,5/28/2020
Miramar,9.15,133.097,5/28/2020
Mountain Empire,13.6,165.475,5/28/2020
National City,365.61,592.231,5/28/2020
North Central Region,716,107.608,5/28/2020
North Coastal Region,458,81.456,5/28/2020
North County,1093,93.429,5/28/2020
North Inland Region,635,104.509,5/28/2020
North San Diego,128.77,106.489,5/28/2020
Oceanside,159.76,94.308,5/28/2020
Palomar-Julian,,,5/28/2020
Pauma,6.04,74.155,5/28/2020
Pendleton,,,5/28/2020
Peninsula,92.91,132.85,5/28/2020
Poway,63.34,70.185,5/28/2020
Ramona,34.87,99.14,5/28/2020
San Diego County,7240,216.932,5/28/2020
San Dieguito,80.35,79.067,5/28/2020
San Marcos,97.3,96.376,5/28/2020
Santee,62.53,115.183,5/28/2020
South Bay,1037.19,770.865,5/28/2020
South Region,2563,513.722,5/28/2020
Southeastern San Diego,601.35,413.083,5/28/2020
Spring Valley,231.28,275.223,5/28/2020
Supervisorial District 1,3060.88,487.44,5/28/2020
Supervisorial District 2,1378.03,210.53,5/28/2020
Supervisorial District 3,690.18,103.088,5/28/2020
Supervisorial District 4,1426.48,200.827,5/28/2020
Supervisorial District 5,558.43,82.713,5/28/2020
Sweetwater,503.33,335.845,5/28/2020
Unincorporated,851.9,166.023,5/28/2020
University,39.59,54.601,5/28/2020
Valley Center,21.27,93.412,5/28/2020
Vista,113.48,104.999,5/28/2020
