Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,10.23,63.596,6/4/2020
Anza-Borrego Springs,7.21,140.850,6/4/2020
Carlsbad,92.08,73.416,6/4/2020
Central Region,1764.00,340.678,6/4/2020
Central San Diego,613.75,293.419,6/4/2020
Chula Vista,672.54,546.351,6/4/2020
City of Carlsbad,83.63,72.960,6/4/2020
City of Chula Vista,1218.63,455.556,6/4/2020
City of Coronado,23.00,106.074,6/4/2020
City of Del Mar,6.58,152.328,6/4/2020
City of El Cajon,433.85,411.011,6/4/2020
City of Encinitas,59.44,94.115,6/4/2020
City of Escondido,267.86,176.830,6/4/2020
City of Imperial Beach,113.00,401.236,6/4/2020
City of La Mesa,130.66,213.287,6/4/2020
City of Lemon Grove,77.00,286.949,6/4/2020
City of National City,408.44,656.048,6/4/2020
City of Oceanside,184.22,103.866,6/4/2020
City of Poway,41.91,83.474,6/4/2020
City of San Diego,3732.01,262.847,6/4/2020
City of San Marcos,99.70,104.108,6/4/2020
City of Santee,66.70,117.026,6/4/2020
City of Solana Beach,11.41,81.866,6/4/2020
City of Vista,120.14,116.210,6/4/2020
Coastal,93.43,108.712,6/4/2020
Coronado,23.00,106.074,6/4/2020
Del Mar-Mira Mesa,183.15,107.185,6/4/2020
East Region,1321.00,272.087,6/4/2020
El Cajon,518.13,394.256,6/4/2020
Elliott-Navajo,123.36,130.416,6/4/2020
Escondido,294.14,169.756,6/4/2020
Fallbrook,36.18,74.478,6/4/2020
Harbison Crest,47.91,316.247,6/4/2020
Harbison Crest-El Cajon,566.03,386.193,6/4/2020
Jamul,62.76,320.335,6/4/2020
Kearny Mesa,273.78,160.326,6/4/2020
La Mesa,134.17,211.825,6/4/2020
Laguna-Pine Valley,,,6/4/2020
Lakeside,124.16,208.382,6/4/2020
Lemon Grove,95.44,309.916,6/4/2020
Mid-City,488.49,285.477,6/4/2020
Miramar,9.87,143.562,6/4/2020
Mountain Empire,15.60,189.813,6/4/2020
National City,407.51,660.095,6/4/2020
North Central Region,811.00,121.886,6/4/2020
North Coastal Region,520.00,92.483,6/4/2020
North County,1262.00,107.875,6/4/2020
North Inland Region,742.00,122.119,6/4/2020
North San Diego,136.53,112.903,6/4/2020
Oceanside,182.24,107.579,6/4/2020
Palomar-Julian,,,6/4/2020
Pauma,6.83,83.932,6/4/2020
Pendleton,,,6/4/2020
Peninsula,101.14,144.611,6/4/2020
Poway,70.83,78.487,6/4/2020
Ramona,44.72,127.145,6/4/2020
San Diego County,8180.00,245.097,6/4/2020
San Dieguito,96.20,94.659,6/4/2020
San Marcos,113.40,112.323,6/4/2020
Santee,66.78,123.006,6/4/2020
South Bay,1166.86,867.237,6/4/2020
South Region,2892.00,579.666,6/4/2020
Southeastern San Diego,691.22,474.822,6/4/2020
Spring Valley,268.83,319.900,6/4/2020
Supervisorial District 1,3468.19,552.303,6/4/2020
Supervisorial District 2,1548.21,236.529,6/4/2020
Supervisorial District 3,791.61,118.238,6/4/2020
Supervisorial District 4,1609.54,226.598,6/4/2020
Supervisorial District 5,632.45,93.677,6/4/2020
Sweetwater,571.16,381.105,6/4/2020
Unincorporated,971.82,189.393,6/4/2020
University,45.01,62.085,6/4/2020
Valley Center,26.11,114.664,6/4/2020
Vista,126.93,117.444,6/4/2020
