Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,10.23,63.596,6/3/2020
Anza-Borrego Springs,7.21,140.850,6/3/2020
Carlsbad,90.01,71.762,6/3/2020
Central Region,1711.00,330.442,6/3/2020
Central San Diego,594.70,284.310,6/3/2020
Chula Vista,651.27,529.077,6/3/2020
City of Carlsbad,81.57,71.166,6/3/2020
City of Chula Vista,1180.57,441.330,6/3/2020
City of Coronado,23.00,106.074,6/3/2020
City of Del Mar,6.58,152.328,6/3/2020
City of El Cajon,428.36,405.809,6/3/2020
City of Encinitas,57.60,91.202,6/3/2020
City of Escondido,256.15,169.103,6/3/2020
City of Imperial Beach,103.00,365.728,6/3/2020
City of La Mesa,123.20,201.111,6/3/2020
City of Lemon Grove,76.00,283.223,6/3/2020
City of National City,397.80,638.967,6/3/2020
City of Oceanside,177.22,99.919,6/3/2020
City of Poway,39.91,79.499,6/3/2020
City of San Diego,3627.22,255.466,6/3/2020
City of San Marcos,97.75,102.067,6/3/2020
City of Santee,65.69,115.253,6/3/2020
City of Solana Beach,11.41,81.866,6/3/2020
City of Vista,117.18,113.346,6/3/2020
Coastal,93.43,108.712,6/3/2020
Coronado,23.00,106.074,6/3/2020
Del Mar-Mira Mesa,179.88,105.268,6/3/2020
East Region,1288.00,265.290,6/3/2020
El Cajon,511.56,389.258,6/3/2020
Elliott-Navajo,117.85,124.599,6/3/2020
Escondido,281.96,162.729,6/3/2020
Fallbrook,36.13,74.364,6/3/2020
Harbison Crest,47.25,311.933,6/3/2020
Harbison Crest-El Cajon,558.81,381.266,6/3/2020
Jamul,60.95,311.120,6/3/2020
Kearny Mesa,266.91,156.305,6/3/2020
La Mesa,126.46,199.665,6/3/2020
Laguna-Pine Valley,,,6/3/2020
Lakeside,122.31,205.277,6/3/2020
Lemon Grove,93.86,304.790,6/3/2020
Mid-City,474.58,277.351,6/3/2020
Miramar,9.63,140.074,6/3/2020
Mountain Empire,15.60,189.813,6/3/2020
National City,396.89,642.898,6/3/2020
North Central Region,793.00,119.181,6/3/2020
North Coastal Region,505.00,89.815,6/3/2020
North County,1225.00,104.712,6/3/2020
North Inland Region,720.00,118.498,6/3/2020
North San Diego,135.91,112.396,6/3/2020
Oceanside,175.47,103.582,6/3/2020
Palomar-Julian,,,6/3/2020
Pauma,6.68,82.084,6/3/2020
Pendleton,,,6/3/2020
Peninsula,99.69,142.545,6/3/2020
Poway,68.88,76.328,6/3/2020
Ramona,42.75,121.535,6/3/2020
San Diego County,7940.00,237.906,6/3/2020
San Dieguito,93.96,92.458,6/3/2020
San Marcos,110.43,109.375,6/3/2020
Santee,65.78,121.160,6/3/2020
South Bay,1122.72,834.430,6/3/2020
South Region,2797.00,560.624,6/3/2020
Southeastern San Diego,669.69,460.030,6/3/2020
Spring Valley,256.40,305.115,6/3/2020
Supervisorial District 1,3351.96,533.793,6/3/2020
Supervisorial District 2,1504.59,229.865,6/3/2020
Supervisorial District 3,770.59,115.100,6/3/2020
Supervisorial District 4,1572.11,221.329,6/3/2020
Supervisorial District 5,614.75,91.054,6/3/2020
Sweetwater,554.07,369.705,6/3/2020
Unincorporated,943.78,183.929,6/3/2020
University,44.01,60.706,6/3/2020
Valley Center,24.53,107.738,6/3/2020
Vista,122.99,113.803,6/3/2020
