Geography,"Allocated Hispanic
Case Count (Raw)","COVID-19
Total Hispanic
Rate (Suppressed)",date
Alpine,,,6/3/2020
Anza-Borrego Springs,,,6/3/2020
Carlsbad,23.88,99.190,6/3/2020
Central Region,997.00,453.081,6/3/2020
Central San Diego,288.08,382.235,6/3/2020
Chula Vista,483.71,577.578,6/3/2020
City of Carlsbad,17.34,89.588,6/3/2020
City of Chula Vista,796.73,489.227,6/3/2020
City of Coronado,,,6/3/2020
City of Del Mar,,,6/3/2020
City of El Cajon,136.91,437.488,6/3/2020
City of Encinitas,12.04,118.099,6/3/2020
City of Escondido,154.27,223.149,6/3/2020
City of Imperial Beach,64.00,436.950,6/3/2020
City of La Mesa,32.46,182.174,6/3/2020
City of Lemon Grove,42.00,334.209,6/3/2020
City of National City,251.23,650.420,6/3/2020
City of Oceanside,112.13,179.660,6/3/2020
City of Poway,7.98,78.508,6/3/2020
City of San Diego,1834.27,420.977,6/3/2020
City of San Marcos,51.30,140.661,6/3/2020
City of Santee,25.24,202.706,6/3/2020
City of Solana Beach,,,6/3/2020
City of Vista,69.72,151.331,6/3/2020
Coastal,11.53,85.683,6/3/2020
Coronado,,,6/3/2020
Del Mar-Mira Mesa,31.42,135.381,6/3/2020
East Region,516.00,344.250,6/3/2020
El Cajon,162.81,414.591,6/3/2020
Elliott-Navajo,26.52,141.712,6/3/2020
Escondido,167.90,218.359,6/3/2020
Fallbrook,21.28,120.335,6/3/2020
Harbison Crest,16.36,351.437,6/3/2020
Harbison Crest-El Cajon,179.17,407.899,6/3/2020
Jamul,27.33,353.717,6/3/2020
Kearny Mesa,81.21,179.057,6/3/2020
La Mesa,33.48,181.895,6/3/2020
Laguna-Pine Valley,,,6/3/2020
Lakeside,53.16,355.462,6/3/2020
Lemon Grove,52.69,366.310,6/3/2020
Mid-City,295.04,411.922,6/3/2020
Miramar,,,6/3/2020
Mountain Empire,10.30,302.639,6/3/2020
National City,250.93,653.843,6/3/2020
North Central Region,182.00,147.373,6/3/2020
North Coastal Region,231.00,141.282,6/3/2020
North County,551.00,157.096,6/3/2020
North Inland Region,320.00,170.905,6/3/2020
North San Diego,18.52,114.279,6/3/2020
Oceanside,111.83,181.559,6/3/2020
Palomar-Julian,,,6/3/2020
Pauma,,,6/3/2020
Pendleton,,,6/3/2020
Peninsula,21.12,165.937,6/3/2020
Poway,14.17,92.907,6/3/2020
Ramona,20.01,210.243,6/3/2020
San Diego County,4061.00,352.890,6/3/2020
San Dieguito,19.33,120.951,6/3/2020
San Marcos,59.98,150.257,6/3/2020
Santee,25.48,214.044,6/3/2020
South Bay,721.91,780.899,6/3/2020
South Region,1815.00,591.963,6/3/2020
Southeastern San Diego,428.94,551.513,6/3/2020
Spring Valley,140.34,423.653,6/3/2020
Supervisorial District 1,2195.85,583.779,6/3/2020
Supervisorial District 2,598.88,315.140,6/3/2020
Supervisorial District 3,249.27,170.080,6/3/2020
Supervisorial District 4,697.16,322.955,6/3/2020
Supervisorial District 5,319.84,143.959,6/3/2020
Sweetwater,329.13,399.296,6/3/2020
Unincorporated,447.38,270.651,6/3/2020
University,6.87,73.426,6/3/2020
Valley Center,13.39,192.125,6/3/2020
Vista,73.92,150.264,6/3/2020
