Geography,"Allocated
Age70_79
Case
Count
(Raw)","COVID-19
Total
Age70_79
Rate
(Suppressed)",Date
Alpine,,,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,10.5,116.9,7/14/2020
Central Region,212.0,803.8,7/14/2020
Central San Diego,67.9,588.4,7/14/2020
Chula Vista,58.9,905.9,7/14/2020
City of Carlsbad,9.2,111.3,7/14/2020
City of Chula Vista,116.6,873.7,7/14/2020
City of Coronado,6.0,368.1,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,88.1,1261.5,7/14/2020
City of Encinitas,7.4,162.9,7/14/2020
City of Escondido,42.7,476.8,7/14/2020
City of Imperial Beach,8.0,584.8,7/14/2020
City of La Mesa,15.8,370.5,7/14/2020
City of Lemon Grove,8.0,547.2,7/14/2020
City of National City,40.8,1481.2,7/14/2020
City of Oceanside,29.0,261.1,7/14/2020
City of Poway,6.0,171.3,7/14/2020
City of San Diego,433.5,525.1,7/14/2020
City of San Marcos,13.1,231.6,7/14/2020
City of Santee,6.1,159.7,7/14/2020
City of Solana Beach,,,7/14/2020
City of Vista,15.4,271.9,7/14/2020
Coastal,14.7,235.9,7/14/2020
Coronado,6.0,368.1,7/14/2020
Del Mar-Mira Mesa,27.2,273.6,7/14/2020
East Region,209.0,649.3,7/14/2020
El Cajon,103.1,1181.9,7/14/2020
Elliott-Navajo,14.9,208.1,7/14/2020
Escondido,46.9,453.7,7/14/2020
Fallbrook,8.3,205.0,7/14/2020
Harbison Crest,8.4,820.8,7/14/2020
Harbison Crest-El Cajon,111.5,1144.0,7/14/2020
Jamul,6.7,547.7,7/14/2020
Kearny Mesa,30.1,287.4,7/14/2020
La Mesa,16.4,372.4,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,16.4,396.2,7/14/2020
Lemon Grove,10.2,610.3,7/14/2020
Mid-City,44.0,508.5,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,,,7/14/2020
National City,40.5,1494.7,7/14/2020
North Central Region,105.0,248.8,7/14/2020
North Coastal Region,75.0,210.0,7/14/2020
North County,206.0,272.2,7/14/2020
North Inland Region,131.0,327.7,7/14/2020
North San Diego,31.4,403.8,7/14/2020
Oceanside,29.6,282.9,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,15.8,349.2,7/14/2020
Poway,10.4,167.3,7/14/2020
Ramona,,,7/14/2020
San Diego County,997.0,495.2,7/14/2020
San Dieguito,13.8,175.6,7/14/2020
San Marcos,15.7,264.1,7/14/2020
Santee,6.5,178.3,7/14/2020
South Bay,92.1,1530.5,7/14/2020
South Region,265.0,1065.0,7/14/2020
Southeastern San Diego,106.2,1499.6,7/14/2020
Spring Valley,39.3,776.7,7/14/2020
Supervisorial District 1,361.0,1194.2,7/14/2020
Supervisorial District 2,236.4,533.1,7/14/2020
Supervisorial District 3,130.3,307.3,7/14/2020
Supervisorial District 4,171.8,410.5,7/14/2020
Supervisorial District 5,97.5,229.4,7/14/2020
Sweetwater,61.5,845.3,7/14/2020
Unincorporated,148.4,441.6,7/14/2020
University,9.2,211.8,7/14/2020
Valley Center,6.0,364.8,7/14/2020
Vista,15.5,258.4,7/14/2020
