Geography,"Allocated
Age10_19
Case
Count
(Raw)","COVID-19
Total
Age10_19
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,9.900,63.325,6/24/2020
Central Region,146.000,220.821,6/24/2020
Central San Diego,34.551,163.104,6/24/2020
Chula Vista,39.049,210.153,6/24/2020
City of Carlsbad,9.229,64.734,6/24/2020
City of Chula Vista,75.287,182.989,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,20.057,145.252,6/24/2020
City of Encinitas,8.360,119.271,6/24/2020
City of Escondido,27.616,121.788,6/24/2020
City of Imperial Beach,9.000,234.131,6/24/2020
City of La Mesa,10.153,167.851,6/24/2020
City of Lemon Grove,10.000,261.301,6/24/2020
City of National City,34.980,352.698,6/24/2020
City of Oceanside,19.036,80.728,6/24/2020
City of Poway,,,6/24/2020
City of San Diego,271.351,148.913,6/24/2020
City of San Marcos,11.534,77.122,6/24/2020
City of Santee,9.040,127.775,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,16.855,112.329,6/24/2020
Coastal,,,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,13.853,59.856,6/24/2020
East Region,87.000,139.305,6/24/2020
El Cajon,24.104,139.881,6/24/2020
Elliott-Navajo,,,6/24/2020
Escondido,30.843,117.179,6/24/2020
Fallbrook,5.587,91.408,6/24/2020
Harbison Crest,,,6/24/2020
Harbison Crest-El Cajon,26.455,137.474,6/24/2020
Jamul,,,6/24/2020
Kearny Mesa,17.841,91.947,6/24/2020
La Mesa,10.759,171.527,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,,,6/24/2020
Lemon Grove,11.554,260.012,6/24/2020
Mid-City,50.491,210.814,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,34.965,354.830,6/24/2020
North Central Region,60.000,72.253,6/24/2020
North Coastal Region,63.000,84.001,6/24/2020
North County,134.000,83.569,6/24/2020
North Inland Region,71.000,83.189,6/24/2020
North San Diego,5.599,34.806,6/24/2020
Oceanside,19.253,84.786,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,21.889,264.899,6/24/2020
Poway,8.420,68.975,6/24/2020
Ramona,5.900,126.236,6/24/2020
San Diego County,614.000,137.251,6/24/2020
San Dieguito,13.631,118.486,6/24/2020
San Marcos,12.343,80.699,6/24/2020
Santee,8.323,123.261,6/24/2020
South Bay,72.481,357.477,6/24/2020
South Region,187.000,248.017,6/24/2020
Southeastern San Diego,61.817,279.529,6/24/2020
Spring Valley,21.401,181.839,6/24/2020
Supervisorial District 1,241.152,256.121,6/24/2020
Supervisorial District 2,106.608,125.524,6/24/2020
Supervisorial District 3,66.124,74.981,6/24/2020
Supervisorial District 4,126.230,147.050,6/24/2020
Supervisorial District 5,73.887,78.401,6/24/2020
Sweetwater,38.147,164.389,6/24/2020
Unincorporated,71.754,100.825,6/24/2020
University,,,6/24/2020
Valley Center,,,6/24/2020
Vista,17.557,111.394,6/24/2020
