Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/21/2020
Anza-Borrego Springs,,,4/21/2020
Carlsbad,53.25,42.455,4/21/2020
Central Region,541,104.482,4/21/2020
Central San Diego,229.56,109.745,4/21/2020
Chula Vista,136.47,110.863,4/21/2020
City of Carlsbad,50.86,44.37,4/21/2020
City of Chula Vista,288.59,107.885,4/21/2020
City of Coronado,7,32.283,4/21/2020
City of Del Mar,5.02,116.06,4/21/2020
City of El Cajon,129.97,123.127,4/21/2020
City of Encinitas,31.6,50.034,4/21/2020
City of Escondido,74.88,49.435,4/21/2020
City of Imperial Beach,17,60.363,4/21/2020
City of La Mesa,48.06,78.458,4/21/2020
City of Lemon Grove,22,81.986,4/21/2020
City of National City,71.76,115.271,4/21/2020
City of Oceanside,58.06,32.734,4/21/2020
City of Poway,21.95,43.725,4/21/2020
City of San Diego,1217.18,85.726,4/21/2020
City of San Marcos,29.18,30.471,4/21/2020
City of Santee,27.21,47.744,4/21/2020
City of Solana Beach,6.08,43.598,4/21/2020
City of Vista,38.63,37.366,4/21/2020
Coastal,56.71,65.989,4/21/2020
Coronado,7,32.283,4/21/2020
Del Mar-Mira Mesa,99.17,58.037,4/21/2020
East Region,415,85.478,4/21/2020
El Cajon,159.84,121.626,4/21/2020
Elliott-Navajo,60.19,63.633,4/21/2020
Escondido,86.32,49.82,4/21/2020
Fallbrook,10.3,21.2,4/21/2020
Harbison Crest,15.65,103.337,4/21/2020
Harbison Crest-El Cajon,175.49,119.735,4/21/2020
Jamul,17.3,88.281,4/21/2020
Kearny Mesa,112.43,65.841,4/21/2020
La Mesa,49.15,77.601,4/21/2020
Laguna-Pine Valley,,,4/21/2020
Lakeside,35.39,59.393,4/21/2020
Lemon Grove,26.89,87.318,4/21/2020
Mid-City,147.94,86.46,4/21/2020
Miramar,6.74,98.131,4/21/2020
Mountain Empire,,,4/21/2020
National City,71.07,115.118,4/21/2020
North Central Region,395,59.365,4/21/2020
North Coastal Region,223,39.661,4/21/2020
North County,493,42.141,4/21/2020
North Inland Region,270,44.437,4/21/2020
North San Diego,77.43,64.034,4/21/2020
Oceanside,55.86,32.977,4/21/2020
Palomar-Julian,,,4/21/2020
Pauma,,,4/21/2020
Pendleton,,,4/21/2020
Peninsula,42.01,60.068,4/21/2020
Poway,39.24,43.477,4/21/2020
Ramona,11.94,33.96,4/21/2020
San Diego County,2491,74.638,4/21/2020
San Dieguito,55.24,54.357,4/21/2020
San Marcos,29.63,29.35,4/21/2020
Santee,26.28,48.399,4/21/2020
South Bay,217.92,161.965,4/21/2020
South Region,608,121.866,4/21/2020
Southeastern San Diego,175.89,120.821,4/21/2020
Spring Valley,81.25,96.683,4/21/2020
Supervisorial District 1,740.94,117.994,4/21/2020
Supervisorial District 2,504.78,77.118,4/21/2020
Supervisorial District 3,361.52,53.999,4/21/2020
Supervisorial District 4,613.19,86.328,4/21/2020
Supervisorial District 5,231.56,34.299,4/21/2020
Sweetwater,160.69,107.217,4/21/2020
Unincorporated,306.96,59.822,4/21/2020
University,32.44,44.743,4/21/2020
Valley Center,6.85,30.098,4/21/2020
Vista,40.56,37.526,4/21/2020
