Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,5/8/2020
Anza-Borrego Springs,,,5/8/2020
Carlsbad,63.54,50.658,5/8/2020
Central Region,990,191.197,5/8/2020
Central San Diego,369.64,176.716,5/8/2020
Chula Vista,353.48,287.161,5/8/2020
City of Carlsbad,58.86,51.349,5/8/2020
City of Chula Vista,672.31,251.328,5/8/2020
City of Coronado,12,55.343,5/8/2020
City of Del Mar,5.02,116.06,5/8/2020
City of El Cajon,241.81,229.082,5/8/2020
City of Encinitas,31.6,50.034,5/8/2020
City of Escondido,148.45,98.001,5/8/2020
City of Imperial Beach,39,138.48,5/8/2020
City of La Mesa,80.36,131.18,5/8/2020
City of Lemon Grove,49,182.604,5/8/2020
City of National City,212.79,341.801,5/8/2020
City of Oceanside,116.11,65.465,5/8/2020
City of Poway,33.93,67.574,5/8/2020
City of San Diego,2238.85,157.683,5/8/2020
City of San Marcos,41.37,43.2,5/8/2020
City of Santee,41.41,72.661,5/8/2020
City of Solana Beach,7.08,50.767,5/8/2020
City of Vista,73.71,71.3,5/8/2020
Coastal,66.17,76.99,5/8/2020
Coronado,12,55.343,5/8/2020
Del Mar-Mira Mesa,136.43,79.842,5/8/2020
East Region,767,157.979,5/8/2020
El Cajon,292.8,222.8,5/8/2020
Elliott-Navajo,79.97,84.552,5/8/2020
Escondido,164.31,94.826,5/8/2020
Fallbrook,17.82,36.679,5/8/2020
Harbison Crest,28.84,190.413,5/8/2020
Harbison Crest-El Cajon,321.65,219.453,5/8/2020
Jamul,35.22,179.754,5/8/2020
Kearny Mesa,168.35,98.589,5/8/2020
La Mesa,81.87,129.257,5/8/2020
Laguna-Pine Valley,,,5/8/2020
Lakeside,73.25,122.935,5/8/2020
Lemon Grove,58.6,190.297,5/8/2020
Mid-City,276.41,161.538,5/8/2020
Miramar,7.31,106.353,5/8/2020
Mountain Empire,9.15,111.34,5/8/2020
National City,211.96,343.331,5/8/2020
North Central Region,551,82.81,5/8/2020
North Coastal Region,333,59.224,5/8/2020
North County,774,66.161,5/8/2020
North Inland Region,441,72.58,5/8/2020
North San Diego,110.11,91.06,5/8/2020
Oceanside,114.64,67.672,5/8/2020
Palomar-Julian,,,5/8/2020
Pauma,,,5/8/2020
Pendleton,,,5/8/2020
Peninsula,73.46,105.039,5/8/2020
Poway,57.37,63.571,5/8/2020
Ramona,19.09,54.279,5/8/2020
San Diego County,4776,143.103,5/8/2020
San Dieguito,57.45,56.534,5/8/2020
San Marcos,48.29,47.833,5/8/2020
Santee,41.01,75.528,5/8/2020
South Bay,642.86,477.79,5/8/2020
South Region,1589,318.496,5/8/2020
Southeastern San Diego,364.88,250.645,5/8/2020
Spring Valley,153.77,182.988,5/8/2020
Supervisorial District 1,1882.73,299.821,5/8/2020
Supervisorial District 2,900.5,137.575,5/8/2020
Supervisorial District 3,530.2,79.193,5/8/2020
Supervisorial District 4,984.07,138.542,5/8/2020
Supervisorial District 5,373.5,55.321,5/8/2020
Sweetwater,337.08,224.918,5/8/2020
Unincorporated,567.34,110.565,5/8/2020
University,34.94,48.193,5/8/2020
Valley Center,12.48,54.824,5/8/2020
Vista,77.74,71.931,5/8/2020
