Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,10.21,63.512,6/1/2020
Anza-Borrego Springs,7.21,140.85,6/1/2020
Carlsbad,86.5,68.964,6/1/2020
Central Region,1658,320.206,6/1/2020
Central San Diego,579.01,276.81,6/1/2020
Chula Vista,626.4,508.872,6/1/2020
City of Carlsbad,78.37,68.374,6/1/2020
City of Chula Vista,1139.86,426.111,6/1/2020
City of Coronado,20,92.238,6/1/2020
City of Del Mar,5.64,130.567,6/1/2020
City of El Cajon,417.53,395.551,6/1/2020
City of Encinitas,50.16,79.422,6/1/2020
City of Escondido,235.12,155.219,6/1/2020
City of Imperial Beach,98,347.974,6/1/2020
City of La Mesa,120.59,196.842,6/1/2020
City of Lemon Grove,74,275.77,6/1/2020
City of National City,386.24,620.394,6/1/2020
City of Oceanside,169.21,95.402,6/1/2020
City of Poway,37.92,75.524,6/1/2020
City of San Diego,3518.55,247.812,6/1/2020
City of San Marcos,95.46,99.674,6/1/2020
City of Santee,65.67,115.219,6/1/2020
City of Solana Beach,10.21,73.243,6/1/2020
City of Vista,115.39,111.618,6/1/2020
Coastal,84.66,98.511,6/1/2020
Coronado,20,92.238,6/1/2020
Del Mar-Mira Mesa,177.48,103.868,6/1/2020
East Region,1252,257.875,6/1/2020
El Cajon,498.44,379.278,6/1/2020
Elliott-Navajo,114.31,120.855,6/1/2020
Escondido,260.37,150.266,6/1/2020
Fallbrook,34.3,70.607,6/1/2020
Harbison Crest,45.98,303.531,6/1/2020
Harbison Crest-El Cajon,544.42,371.449,6/1/2020
Jamul,60.67,309.656,6/1/2020
Kearny Mesa,260.32,152.449,6/1/2020
La Mesa,123.79,195.441,6/1/2020
Laguna-Pine Valley,,,6/1/2020
Lakeside,119.91,201.259,6/1/2020
Lemon Grove,91.08,295.775,6/1/2020
Mid-City,457.5,267.368,6/1/2020
Miramar,9.63,140.074,6/1/2020
Mountain Empire,14.6,177.644,6/1/2020
National City,385.31,624.142,6/1/2020
North Central Region,769,115.574,6/1/2020
North Coastal Region,480,85.369,6/1/2020
North County,1165,99.583,6/1/2020
North Inland Region,685,112.738,6/1/2020
North San Diego,135.75,112.256,6/1/2020
Oceanside,167.73,99.009,6/1/2020
Palomar-Julian,,,6/1/2020
Pauma,6.39,78.498,6/1/2020
Pendleton,,,6/1/2020
Peninsula,98.69,141.114,6/1/2020
Poway,66.07,73.214,6/1/2020
Ramona,39.79,113.114,6/1/2020
San Diego County,7674,229.936,6/1/2020
San Dieguito,84.39,83.045,6/1/2020
San Marcos,106.31,105.298,6/1/2020
Santee,65.65,120.914,6/1/2020
South Bay,1087.08,807.941,6/1/2020
South Region,2705,542.184,6/1/2020
Southeastern San Diego,648.64,445.572,6/1/2020
Spring Valley,244.82,291.33,6/1/2020
Supervisorial District 1,3245.31,516.811,6/1/2020
Supervisorial District 2,1458.86,222.878,6/1/2020
Supervisorial District 3,732.4,109.395,6/1/2020
Supervisorial District 4,1519.09,213.864,6/1/2020
Supervisorial District 5,593.34,87.883,6/1/2020
Sweetwater,537.15,358.414,6/1/2020
Unincorporated,911.09,177.558,6/1/2020
University,40.81,56.286,6/1/2020
Valley Center,22.47,98.694,6/1/2020
Vista,121.22,112.165,6/1/2020
