Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/13/2020
Anza-Borrego Springs,,,4/13/2020
Carlsbad,51.49,41.051,4/13/2020
Central Region,438,84.59,4/13/2020
Central San Diego,196.37,93.88,4/13/2020
Chula Vista,95.71,77.749,4/13/2020
City of Carlsbad,49.86,43.497,4/13/2020
City of Chula Vista,202.82,75.818,4/13/2020
City of Coronado,6,27.671,4/13/2020
City of Del Mar,,,4/13/2020
City of El Cajon,106.1,100.513,4/13/2020
City of Encinitas,31.6,50.034,4/13/2020
City of Escondido,56.69,37.427,4/13/2020
City of Imperial Beach,11,39.058,4/13/2020
City of La Mesa,37.61,61.385,4/13/2020
City of Lemon Grove,15,55.899,4/13/2020
City of National City,48.96,78.644,4/13/2020
City of Oceanside,43.05,24.273,4/13/2020
City of Poway,18.96,37.762,4/13/2020
City of San Diego,934.66,65.828,4/13/2020
City of San Marcos,27.24,28.443,4/13/2020
City of Santee,19.17,33.632,4/13/2020
City of Solana Beach,6.01,43.113,4/13/2020
City of Vista,31.61,30.572,4/13/2020
Coastal,54.72,63.675,4/13/2020
Coronado,6,27.671,4/13/2020
Del Mar-Mira Mesa,79.71,46.65,4/13/2020
East Region,324,66.734,4/13/2020
El Cajon,130.68,99.438,4/13/2020
Elliott-Navajo,53.74,56.817,4/13/2020
Escondido,66.7,38.494,4/13/2020
Fallbrook,9.29,19.122,4/13/2020
Harbison Crest,12.64,83.453,4/13/2020
Harbison Crest-El Cajon,143.32,97.786,4/13/2020
Jamul,12.34,63.006,4/13/2020
Kearny Mesa,92.69,54.283,4/13/2020
La Mesa,38.45,60.707,4/13/2020
Laguna-Pine Valley,,,4/13/2020
Lakeside,28.53,47.881,4/13/2020
Lemon Grove,18.56,60.271,4/13/2020
Mid-City,122.95,71.855,4/13/2020
Miramar,,,4/13/2020
Mountain Empire,,,4/13/2020
National City,48.48,78.524,4/13/2020
North Central Region,323,48.544,4/13/2020
North Coastal Region,197,35.037,4/13/2020
North County,414,35.388,4/13/2020
North Inland Region,217,35.714,4/13/2020
North San Diego,62.61,51.774,4/13/2020
Oceanside,41.47,24.478,4/13/2020
Palomar-Julian,,,4/13/2020
Pauma,,,4/13/2020
Pendleton,,,4/13/2020
Peninsula,22.9,32.743,4/13/2020
Poway,32.16,35.635,4/13/2020
Ramona,10.91,31.014,4/13/2020
San Diego County,1930,57.828,4/13/2020
San Dieguito,54.83,53.953,4/13/2020
San Marcos,26.73,26.478,4/13/2020
Santee,18.71,34.453,4/13/2020
South Bay,117.16,87.077,4/13/2020
South Region,390,78.171,4/13/2020
Southeastern San Diego,127.72,87.736,4/13/2020
Spring Valley,62.29,74.128,4/13/2020
Supervisorial District 1,487.53,77.639,4/13/2020
Supervisorial District 2,401.2,61.294,4/13/2020
Supervisorial District 3,292.44,43.68,4/13/2020
Supervisorial District 4,509.97,71.796,4/13/2020
Supervisorial District 5,197.86,29.306,4/13/2020
Sweetwater,113.31,75.605,4/13/2020
Unincorporated,237.97,46.377,4/13/2020
University,30.44,41.984,4/13/2020
Valley Center,,,4/13/2020
Vista,32.05,29.659,4/13/2020
