Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/2/2020
Anza-Borrego Springs,,,4/2/2020
Carlsbad,38.29,30.5284,4/2/2020
Central Region,281,54.269,4/2/2020
Central San Diego,150.28,71.8475,4/2/2020
Chula Vista,33.02,26.8255,4/2/2020
City of Carlsbad,37.66,32.8534,4/2/2020
City of Chula Vista,76.29,28.5201,4/2/2020
City of Coronado,,,4/2/2020
City of Del Mar,,,4/2/2020
City of El Cajon,52.61,49.8433,4/2/2020
City of Encinitas,25.16,39.8375,4/2/2020
City of Escondido,27,17.8223,4/2/2020
City of Imperial Beach,,,4/2/2020
City of La Mesa,14.46,23.6,4/2/2020
City of Lemon Grove,10,37.2662,4/2/2020
City of National City,16.7,26.8193,4/2/2020
City of Oceanside,29.04,16.3713,4/2/2020
City of Poway,12.97,25.8372,4/2/2020
City of San Diego,612.31,43.1253,4/2/2020
City of San Marcos,13.98,14.5996,4/2/2020
City of Santee,12.08,21.1875,4/2/2020
City of Solana Beach,,,4/2/2020
City of Vista,16.97,16.4177,4/2/2020
Coastal,44.67,51.9756,4/2/2020
Coronado,,,4/2/2020
Del Mar-Mira Mesa,61.02,35.7115,4/2/2020
East Region,155,31.9254,4/2/2020
El Cajon,63.78,48.5351,4/2/2020
Elliott-Navajo,32.41,34.2663,4/2/2020
Escondido,32.52,18.7685,4/2/2020
Fallbrook,7.43,15.2846,4/2/2020
Harbison Crest,5.77,38.059,4/2/2020
Harbison Crest-El Cajon,69.55,47.4524,4/2/2020
Jamul,,,4/2/2020
Kearny Mesa,69.55,40.7284,4/2/2020
La Mesa,14.7,23.2058,4/2/2020
Laguna-Pine Valley,,,4/2/2020
Lakeside,14.31,24.0213,4/2/2020
Lemon Grove,11.38,36.9551,4/2/2020
Mid-City,74.33,43.4373,4/2/2020
Miramar,,,4/2/2020
Mountain Empire,,,4/2/2020
National City,16.41,26.584,4/2/2020
North Central Region,241,36.2202,4/2/2020
North Coastal Region,141,25.077,4/2/2020
North County,282,24.1052,4/2/2020
North Inland Region,141,23.2058,4/2/2020
North San Diego,51,42.1728,4/2/2020
Oceanside,26.71,15.769,4/2/2020
Palomar-Julian,,,4/2/2020
Pauma,,,4/2/2020
Pendleton,,,4/2/2020
Peninsula,17.68,25.2736,4/2/2020
Poway,22.72,25.1726,4/2/2020
Ramona,5.95,16.9114,4/2/2020
San Diego County,1112,33.3188,4/2/2020
San Dieguito,45.18,44.4602,4/2/2020
San Marcos,13.54,13.4076,4/2/2020
Santee,11.66,21.4855,4/2/2020
South Bay,34.08,25.3264,4/2/2020
South Region,139,27.8608,4/2/2020
Southeastern San Diego,62.44,42.8922,4/2/2020
Spring Valley,27.81,33.0876,4/2/2020
Supervisorial District 1,191.64,30.5191,4/2/2020
Supervisorial District 2,199.66,30.5037,4/2/2020
Supervisorial District 3,210.12,31.385,4/2/2020
Supervisorial District 4,363.46,51.1692,4/2/2020
Supervisorial District 5,133.11,19.716,4/2/2020
Sweetwater,47.02,31.3759,4/2/2020
Unincorporated,126.59,24.6698,4/2/2020
University,24.53,33.8379,4/2/2020
Valley Center,,,4/2/2020
Vista,17.49,16.1838,4/2/2020
