Geography,"Allocated
White Case Count (Raw)","COVID-19
Total White
Rate (Suppressed)",date
Alpine,,,6/3/2020
Anza-Borrego Springs,,,6/3/2020
Carlsbad,48.46,57.505,6/3/2020
Central Region,229.00,135.970,6/3/2020
Central San Diego,142.78,147.563,6/3/2020
Chula Vista,34.35,154.847,6/3/2020
City of Carlsbad,48.77,61.014,6/3/2020
City of Chula Vista,83.74,169.312,6/3/2020
City of Coronado,11.00,70.794,6/3/2020
City of Del Mar,,,6/3/2020
City of El Cajon,107.32,179.910,6/3/2020
City of Encinitas,27.84,59.059,6/3/2020
City of Escondido,37.25,58.861,6/3/2020
City of Imperial Beach,13.00,145.920,6/3/2020
City of La Mesa,45.83,135.446,6/3/2020
City of Lemon Grove,19.00,221.110,6/3/2020
City of National City,10.24,122.957,6/3/2020
City of Oceanside,28.03,32.615,6/3/2020
City of Poway,16.96,54.522,6/3/2020
City of San Diego,632.01,101.980,6/3/2020
City of San Marcos,25.39,57.208,6/3/2020
City of Santee,18.17,47.742,6/3/2020
City of Solana Beach,6.01,56.949,6/3/2020
City of Vista,21.87,48.893,6/3/2020
Coastal,51.88,83.603,6/3/2020
Coronado,11.00,70.794,6/3/2020
Del Mar-Mira Mesa,69.10,89.488,6/3/2020
East Region,326.00,123.199,6/3/2020
El Cajon,131.28,176.831,6/3/2020
Elliott-Navajo,45.54,79.874,6/3/2020
Escondido,42.10,56.670,6/3/2020
Fallbrook,5.64,21.996,6/3/2020
Harbison Crest,12.78,147.433,6/3/2020
Harbison Crest-El Cajon,144.06,173.756,6/3/2020
Jamul,11.22,130.087,6/3/2020
Kearny Mesa,95.71,109.536,6/3/2020
La Mesa,46.80,133.760,6/3/2020
Laguna-Pine Valley,,,6/3/2020
Lakeside,31.37,82.462,6/3/2020
Lemon Grove,20.01,218.977,6/3/2020
Mid-City,54.35,100.697,6/3/2020
Miramar,,,6/3/2020
Mountain Empire,,,6/3/2020
National City,9.87,120.992,6/3/2020
North Central Region,313.00,85.084,6/3/2020
North Coastal Region,160.00,49.663,6/3/2020
North County,344.00,54.735,6/3/2020
North Inland Region,184.00,60.069,6/3/2020
North San Diego,57.93,90.017,6/3/2020
Oceanside,26.71,33.242,6/3/2020
Palomar-Julian,,,6/3/2020
Pauma,,,6/3/2020
Pendleton,,,6/3/2020
Peninsula,38.89,79.609,6/3/2020
Poway,27.13,50.891,6/3/2020
Ramona,10.85,48.135,6/3/2020
San Diego County,1367.00,89.616,6/3/2020
San Dieguito,47.06,62.726,6/3/2020
San Marcos,26.48,58.323,6/3/2020
Santee,17.98,49.656,6/3/2020
South Bay,42.18,199.610,6/3/2020
South Region,155.00,161.438,6/3/2020
Southeastern San Diego,39.38,191.911,6/3/2020
Spring Valley,45.12,132.267,6/3/2020
Supervisorial District 1,186.38,148.775,6/3/2020
Supervisorial District 2,393.39,107.678,6/3/2020
Supervisorial District 3,241.70,71.411,6/3/2020
Supervisorial District 4,384.47,113.258,6/3/2020
Supervisorial District 5,161.06,45.133,6/3/2020
Sweetwater,52.72,184.526,6/3/2020
Unincorporated,209.85,76.926,6/3/2020
University,21.39,58.379,6/3/2020
Valley Center,5.05,39.109,6/3/2020
Vista,22.89,49.639,6/3/2020
