Geography,"Allocated
Male
Case
Count
(Raw)","COVID-19
Total Male
Rate
(Suppressed)","Allocated
Female
Case
Count
(Raw)","COVID-19
Total Female
Rate
(Suppressed)",Date
Alpine,8.2,103.1,11.9,146.6,6/24/2020
Anza-Borrego Springs,5.1,200.7,5.2,202.1,6/24/2020
Carlsbad,74.0,119.7,77.0,121.0,6/24/2020
Central Region,1244.0,466.0,1343.0,535.4,6/24/2020
Central San Diego,460.3,413.2,400.0,409.2,6/24/2020
Chula Vista,448.8,738.3,495.7,795.5,6/24/2020
City of Carlsbad,63.2,112.1,66.1,113.6,6/24/2020
City of Chula Vista,809.6,612.5,862.2,637.1,6/24/2020
City of Coronado,25.0,210.0,7.0,71.6,6/24/2020
City of Del Mar,,,,,6/24/2020
City of El Cajon,247.0,473.8,295.1,552.2,6/24/2020
City of Encinitas,46.6,148.7,41.8,131.2,6/24/2020
City of Escondido,197.3,263.8,225.9,294.6,6/24/2020
City of Imperial Beach,78.0,554.0,91.0,646.1,6/24/2020
City of La Mesa,78.5,261.3,96.8,310.3,6/24/2020
City of Lemon Grove,52.0,393.7,74.0,543.1,6/24/2020
City of National City,234.9,720.4,320.4,1080.4,6/24/2020
City of Oceanside,151.2,173.2,167.2,185.7,6/24/2020
City of Poway,33.9,137.3,36.9,144.8,6/24/2020
City of San Diego,2645.4,367.6,2563.9,366.1,6/24/2020
City of San Marcos,74.3,157.0,88.7,183.1,6/24/2020
City of Santee,53.3,193.2,46.6,158.6,6/24/2020
City of Solana Beach,9.9,146.0,7.8,109.4,6/24/2020
City of Vista,107.5,208.0,109.8,212.3,6/24/2020
Coastal,72.8,167.0,97.4,230.1,6/24/2020
Coronado,25.0,210.0,7.0,71.6,6/24/2020
Del Mar-Mira Mesa,124.6,144.2,133.2,157.6,6/24/2020
East Region,820.0,342.3,1008.0,409.8,6/24/2020
El Cajon,291.7,449.5,360.1,541.3,6/24/2020
Elliott-Navajo,81.8,175.5,79.9,166.6,6/24/2020
Escondido,214.6,251.0,250.0,284.8,6/24/2020
Fallbrook,41.6,173.3,33.4,136.0,6/24/2020
Harbison Crest,24.7,329.7,38.8,506.8,6/24/2020
Harbison Crest-El Cajon,316.4,437.1,398.9,537.7,6/24/2020
Jamul,44.8,455.1,41.3,423.7,6/24/2020
Kearny Mesa,182.6,215.6,191.6,222.6,6/24/2020
La Mesa,81.4,262.1,100.2,310.4,6/24/2020
Laguna-Pine Valley,,,,,6/24/2020
Lakeside,72.2,243.5,94.8,316.8,6/24/2020
Lemon Grove,64.5,425.1,88.4,565.7,6/24/2020
Mid-City,336.7,396.2,405.1,470.3,6/24/2020
Miramar,7.9,207.6,5.9,194.1,6/24/2020
Mountain Empire,18.6,440.5,14.3,357.9,6/24/2020
National City,234.1,723.7,319.9,1088.5,6/24/2020
North Central Region,582.0,173.8,563.0,170.4,6/24/2020
North Coastal Region,421.0,147.3,436.0,157.8,6/24/2020
North County,967.0,165.1,1041.0,178.2,6/24/2020
North Inland Region,546.0,182.2,605.0,196.5,6/24/2020
North San Diego,85.4,143.9,93.9,152.4,6/24/2020
Oceanside,148.0,177.3,163.2,189.9,6/24/2020
Palomar-Julian,,,,,6/24/2020
Pauma,6.3,153.4,5.3,130.8,6/24/2020
Pendleton,,,,,6/24/2020
Peninsula,81.2,218.3,43.2,132.1,6/24/2020
Poway,57.4,129.4,57.2,124.6,6/24/2020
Ramona,27.9,159.1,29.9,169.5,6/24/2020
San Diego County,5566.0,331.6,5855.0,352.9,6/24/2020
San Dieguito,71.9,143.3,67.6,131.3,6/24/2020
San Marcos,86.3,172.8,99.5,195.0,6/24/2020
Santee,52.3,198.5,46.3,165.8,6/24/2020
South Bay,835.3,1190.4,663.8,1031.0,6/24/2020
South Region,1953.0,776.9,1900.0,767.6,6/24/2020
Southeastern San Diego,463.0,638.1,559.5,766.3,6/24/2020
Spring Valley,177.5,427.5,219.5,516.4,6/24/2020
Supervisorial District 1,2347.2,730.8,2372.1,773.3,6/24/2020
Supervisorial District 2,976.1,302.4,1176.3,354.6,6/24/2020
Supervisorial District 3,573.3,172.4,595.5,176.8,6/24/2020
Supervisorial District 4,1152.0,320.0,1161.7,331.6,6/24/2020
Supervisorial District 5,517.4,151.4,549.4,164.8,6/24/2020
Sweetwater,380.1,513.3,383.4,505.7,6/24/2020
Unincorporated,653.9,249.0,750.0,299.4,6/24/2020
University,40.7,114.3,29.1,78.8,6/24/2020
Valley Center,20.3,179.0,20.2,176.9,6/24/2020
Vista,112.0,207.7,115.2,212.7,6/24/2020
