Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,100.5,622.2,9/16/2020
Anza-Borrego Springs,18.1,346.6,9/16/2020
Carlsbad,784.5,620.3,9/16/2020
Central Region,9664.0,1876.0,9/16/2020
Central San Diego,3176.8,1506.3,9/16/2020
Chula Vista,2927.4,2359.7,9/16/2020
City of Carlsbad,677.3,587.7,9/16/2020
City of Chula Vista,5480.4,2018.9,9/16/2020
City of Coronado,173.0,714.9,9/16/2020
City of Del Mar,23.8,537.6,9/16/2020
City of El Cajon,1783.5,1686.3,9/16/2020
City of Encinitas,351.0,554.0,9/16/2020
City of Escondido,1899.1,1243.3,9/16/2020
City of Imperial Beach,546.0,1989.2,9/16/2020
City of La Mesa,634.3,1043.4,9/16/2020
City of Lemon Grove,447.0,1642.9,9/16/2020
City of National City,1553.1,2496.1,9/16/2020
City of Oceanside,1724.7,969.1,9/16/2020
City of Poway,279.3,555.1,9/16/2020
City of San Diego,18820.1,1324.9,9/16/2020
City of San Marcos,984.1,1002.2,9/16/2020
City of Santee,433.8,743.0,9/16/2020
City of Solana Beach,55.2,395.9,9/16/2020
City of Vista,1073.8,1053.2,9/16/2020
Coastal,794.6,913.6,9/16/2020
Coronado,173.0,714.9,9/16/2020
Del Mar-Mira Mesa,960.8,561.9,9/16/2020
East Region,6586.0,1347.5,9/16/2020
El Cajon,2183.2,1649.8,9/16/2020
Elliott-Navajo,663.6,692.9,9/16/2020
Escondido,2107.8,1202.5,9/16/2020
Fallbrook,511.2,1031.1,9/16/2020
Harbison Crest,216.5,1429.2,9/16/2020
Harbison Crest-El Cajon,2399.7,1627.2,9/16/2020
Jamul,310.0,1635.9,9/16/2020
Kearny Mesa,1471.3,860.4,9/16/2020
La Mesa,657.3,1044.5,9/16/2020
Laguna-Pine Valley,21.2,369.8,9/16/2020
Lakeside,619.7,1029.9,9/16/2020
Lemon Grove,531.8,1716.3,9/16/2020
Mid-City,3281.9,1945.2,9/16/2020
Miramar,52.0,708.4,9/16/2020
Mountain Empire,103.0,1252.2,9/16/2020
National City,1547.9,2507.8,9/16/2020
North Central Region,4712.0,704.4,9/16/2020
North Coastal Region,4343.0,774.7,9/16/2020
North County,9820.0,834.8,9/16/2020
North Inland Region,5477.0,889.5,9/16/2020
North San Diego,605.7,496.7,9/16/2020
Oceanside,1681.5,992.2,9/16/2020
Palomar-Julian,37.3,476.9,9/16/2020
Pauma,134.3,1591.0,9/16/2020
Pendleton,98.0,237.4,9/16/2020
Peninsula,525.2,740.6,9/16/2020
Poway,494.5,546.1,9/16/2020
Ramona,314.9,878.5,9/16/2020
San Diego County,43619.0,1301.4,9/16/2020
San Dieguito,549.0,540.0,9/16/2020
San Marcos,1071.4,1036.7,9/16/2020
Santee,421.0,758.6,9/16/2020
South Bay,4450.8,3372.3,9/16/2020
South Region,11955.0,2378.9,9/16/2020
Southeastern San Diego,3356.9,2340.9,9/16/2020
Spring Valley,1482.3,1751.6,9/16/2020
Supervisorial District 1,14838.8,2360.8,9/16/2020
Supervisorial District 2,8206.9,1247.1,9/16/2020
Supervisorial District 3,4707.1,698.3,9/16/2020
Supervisorial District 4,9040.4,1267.9,9/16/2020
Supervisorial District 5,5943.8,876.6,9/16/2020
Sweetwater,2664.5,1740.4,9/16/2020
Unincorporated,5797.4,1124.3,9/16/2020
University,262.3,361.5,9/16/2020
Valley Center,212.6,916.4,9/16/2020
Vista,1160.6,1082.0,9/16/2020
