Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,5/7/2020
Anza-Borrego Springs,,,5/7/2020
Carlsbad,63.54,50.658,5/7/2020
Central Region,960,185.403,5/7/2020
Central San Diego,359.38,171.81,5/7/2020
Chula Vista,349.42,283.86,5/7/2020
City of Carlsbad,58.83,51.324,5/7/2020
City of Chula Vista,663.41,248,5/7/2020
City of Coronado,11,50.731,5/7/2020
City of Del Mar,5.02,116.06,5/7/2020
City of El Cajon,238.69,226.121,5/7/2020
City of Encinitas,29.68,46.994,5/7/2020
City of Escondido,142.19,93.868,5/7/2020
City of Imperial Beach,38,134.929,5/7/2020
City of La Mesa,80.36,131.18,5/7/2020
City of Lemon Grove,49,182.604,5/7/2020
City of National City,208.94,335.61,5/7/2020
City of Oceanside,109.1,61.514,5/7/2020
City of Poway,34.92,69.562,5/7/2020
City of San Diego,2182.5,153.714,5/7/2020
City of San Marcos,40.35,42.135,5/7/2020
City of Santee,40.41,70.902,5/7/2020
City of Solana Beach,7.08,50.767,5/7/2020
City of Vista,70.29,67.993,5/7/2020
Coastal,62.91,73.205,5/7/2020
Coronado,11,50.731,5/7/2020
Del Mar-Mira Mesa,136.41,79.829,5/7/2020
East Region,750,154.478,5/7/2020
El Cajon,289,219.911,5/7/2020
Elliott-Navajo,76.56,80.94,5/7/2020
Escondido,157.35,90.815,5/7/2020
Fallbrook,16.89,34.772,5/7/2020
Harbison Crest,28.58,188.7,5/7/2020
Harbison Crest-El Cajon,317.59,216.685,5/7/2020
Jamul,33.74,172.206,5/7/2020
Kearny Mesa,163.26,95.606,5/7/2020
La Mesa,81.87,129.257,5/7/2020
Laguna-Pine Valley,,,5/7/2020
Lakeside,72.94,122.423,5/7/2020
Lemon Grove,58.11,188.698,5/7/2020
Mid-City,266.44,155.709,5/7/2020
Miramar,7.31,106.353,5/7/2020
Mountain Empire,6.15,74.835,5/7/2020
National City,208.09,337.076,5/7/2020
North Central Region,539,81.007,5/7/2020
North Coastal Region,319,56.735,5/7/2020
North County,749,64.024,5/7/2020
North Inland Region,430,70.77,5/7/2020
North San Diego,107.13,88.589,5/7/2020
Oceanside,107.17,63.264,5/7/2020
Palomar-Julian,,,5/7/2020
Pauma,,,5/7/2020
Pendleton,,,5/7/2020
Peninsula,73.02,104.404,5/7/2020
Poway,58.02,64.293,5/7/2020
Ramona,19.07,54.208,5/7/2020
San Diego County,4662,139.687,5/7/2020
San Dieguito,54.78,53.902,5/7/2020
San Marcos,47.21,46.763,5/7/2020
Santee,40.07,73.815,5/7/2020
South Bay,629.2,467.639,5/7/2020
South Region,1561,312.883,5/7/2020
Southeastern San Diego,354.71,243.663,5/7/2020
Spring Valley,147.13,175.077,5/7/2020
Supervisorial District 1,1847.63,294.232,5/7/2020
Supervisorial District 2,882.28,134.791,5/7/2020
Supervisorial District 3,515.92,77.06,5/7/2020
Supervisorial District 4,953.87,134.29,5/7/2020
Supervisorial District 5,359.3,53.219,5/7/2020
Sweetwater,331.93,221.483,5/7/2020
Unincorporated,549.23,107.037,5/7/2020
University,35.2,48.549,5/7/2020
Valley Center,12.48,54.815,5/7/2020
Vista,74.28,68.729,5/7/2020
