Geography,"Allocated
Age60_69
Case
Count
(Raw)","COVID-19
Total
Age60_69
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,15.4,100.8,7/1/2020
Central Region,306.0,644.0,7/1/2020
Central San Diego,91.8,467.4,7/1/2020
Chula Vista,114.5,1040.2,7/1/2020
City of Carlsbad,12.2,85.7,7/1/2020
City of Chula Vista,206.5,888.1,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,84.4,703.8,7/1/2020
City of Encinitas,7.4,87.9,7/1/2020
City of Escondido,58.0,373.3,7/1/2020
City of Imperial Beach,20.0,740.5,7/1/2020
City of La Mesa,15.9,219.0,7/1/2020
City of Lemon Grove,13.0,461.6,7/1/2020
City of National City,69.8,1446.7,7/1/2020
City of Oceanside,39.1,204.2,7/1/2020
City of Poway,8.0,124.6,7/1/2020
City of San Diego,592.2,414.7,7/1/2020
City of San Marcos,16.1,175.5,7/1/2020
City of Santee,14.1,212.1,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,29.4,286.8,7/1/2020
Coastal,15.8,171.7,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,33.1,177.1,7/1/2020
East Region,246.0,436.1,7/1/2020
El Cajon,100.5,668.8,7/1/2020
Elliott-Navajo,16.6,152.3,7/1/2020
Escondido,64.6,363.4,7/1/2020
Fallbrook,13.0,216.1,7/1/2020
Harbison Crest,9.1,518.7,7/1/2020
Harbison Crest-El Cajon,109.6,653.0,7/1/2020
Jamul,16.3,720.0,7/1/2020
Kearny Mesa,45.1,250.7,7/1/2020
La Mesa,16.4,217.7,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,19.4,271.4,7/1/2020
Lemon Grove,17.0,529.6,7/1/2020
Mid-City,77.2,485.9,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,69.5,1459.9,7/1/2020
North Central Region,129.0,182.6,7/1/2020
North Coastal Region,104.0,168.9,7/1/2020
North County,260.0,200.7,7/1/2020
North Inland Region,156.0,229.5,7/1/2020
North San Diego,26.4,192.7,7/1/2020
Oceanside,38.4,212.3,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,14.2,182.3,7/1/2020
Poway,15.7,140.3,7/1/2020
Ramona,8.9,196.2,7/1/2020
San Diego County,1385.0,398.4,7/1/2020
San Dieguito,14.7,108.8,7/1/2020
San Marcos,18.6,190.9,7/1/2020
Santee,13.8,216.8,7/1/2020
South Bay,150.2,1342.8,7/1/2020
South Region,444.0,1021.0,7/1/2020
Southeastern San Diego,144.0,1068.1,7/1/2020
Spring Valley,49.6,541.1,7/1/2020
Supervisorial District 1,554.7,1037.7,7/1/2020
Supervisorial District 2,281.8,366.3,7/1/2020
Supervisorial District 3,148.1,199.6,7/1/2020
Supervisorial District 4,266.5,372.9,7/1/2020
Supervisorial District 5,133.8,187.1,7/1/2020
Sweetwater,97.5,754.6,7/1/2020
Unincorporated,192.3,335.6,7/1/2020
University,5.1,78.6,7/1/2020
Valley Center,6.1,215.6,7/1/2020
Vista,30.9,287.4,7/1/2020
