Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,9.26,57.615,5/22/2020
Anza-Borrego Springs,,,5/22/2020
Carlsbad,80.31,64.036,5/22/2020
Central Region,1393,269.027,5/22/2020
Central San Diego,500,239.04,5/22/2020
Chula Vista,532.63,432.692,5/22/2020
City of Carlsbad,74.14,64.685,5/22/2020
City of Chula Vista,967.35,361.621,5/22/2020
City of Coronado,18,83.014,5/22/2020
City of Del Mar,5.33,123.314,5/22/2020
City of El Cajon,355.89,337.155,5/22/2020
City of Encinitas,41.8,66.185,5/22/2020
City of Escondido,196.93,130.003,5/22/2020
City of Imperial Beach,65,230.799,5/22/2020
City of La Mesa,106.82,174.369,5/22/2020
City of Lemon Grove,65,242.23,5/22/2020
City of National City,328.03,526.894,5/22/2020
City of Oceanside,148.16,83.535,5/22/2020
City of Poway,36.92,73.537,5/22/2020
City of San Diego,3020.6,212.742,5/22/2020
City of San Marcos,79.07,82.565,5/22/2020
City of Santee,52.56,92.224,5/22/2020
City of Solana Beach,7.14,51.251,5/22/2020
City of Vista,101.07,97.768,5/22/2020
Coastal,74.41,86.582,5/22/2020
Coronado,18,83.014,5/22/2020
Del Mar-Mira Mesa,155.6,91.062,5/22/2020
East Region,1070,220.388,5/22/2020
El Cajon,424.5,323.015,5/22/2020
Elliott-Navajo,92.39,97.681,5/22/2020
Escondido,219.42,126.636,5/22/2020
Fallbrook,26.04,53.592,5/22/2020
Harbison Crest,38.67,255.275,5/22/2020
Harbison Crest-El Cajon,463.17,316.013,5/22/2020
Jamul,49.68,253.557,5/22/2020
Kearny Mesa,223.26,130.745,5/22/2020
La Mesa,109.35,172.652,5/22/2020
Laguna-Pine Valley,,,5/22/2020
Lakeside,96.83,162.512,5/22/2020
Lemon Grove,79.39,257.798,5/22/2020
Mid-City,380.26,222.228,5/22/2020
Miramar,8.59,124.957,5/22/2020
Mountain Empire,13.6,165.475,5/22/2020
National City,327.18,529.981,5/22/2020
North Central Region,662,99.493,5/22/2020
North Coastal Region,424,75.409,5/22/2020
North County,1000,85.479,5/22/2020
North Inland Region,576,94.798,5/22/2020
North San Diego,121.22,100.244,5/22/2020
Oceanside,147.53,87.089,5/22/2020
Palomar-Julian,,,5/22/2020
Pauma,5.3,65.138,5/22/2020
Pendleton,,,5/22/2020
Peninsula,85.91,122.838,5/22/2020
Poway,62.39,69.13,5/22/2020
Ramona,29.92,85.057,5/22/2020
San Diego County,6559,196.527,5/22/2020
San Dieguito,70.89,69.755,5/22/2020
San Marcos,87.35,86.521,5/22/2020
Santee,52.65,96.969,5/22/2020
South Bay,935.3,695.14,5/22/2020
South Region,2312,463.412,5/22/2020
Southeastern San Diego,537.85,369.465,5/22/2020
Spring Valley,212.14,252.442,5/22/2020
Supervisorial District 1,2752,438.251,5/22/2020
Supervisorial District 2,1237.72,189.093,5/22/2020
Supervisorial District 3,635.31,94.892,5/22/2020
Supervisorial District 4,1302.26,183.338,5/22/2020
Supervisorial District 5,509.72,75.497,5/22/2020
Sweetwater,458.43,305.886,5/22/2020
Unincorporated,767.18,149.512,5/22/2020
University,38.1,52.557,5/22/2020
Valley Center,16.26,71.413,5/22/2020
Vista,105.87,97.958,5/22/2020
