Geography,"Allocated
Age20_29
Case
Count
(Raw)","COVID-19
Total
Age20_29
Rate
(Suppressed)",Date
Alpine,5.5,266.1,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,52.2,331.9,7/1/2020
Central Region,795.0,980.9,7/1/2020
Central San Diego,266.9,807.1,7/1/2020
Chula Vista,236.3,1308.4,7/1/2020
City of Carlsbad,45.7,319.6,7/1/2020
City of Chula Vista,414.8,1063.8,7/1/2020
City of Coronado,19.0,387.0,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,124.9,909.0,7/1/2020
City of Encinitas,24.2,312.7,7/1/2020
City of Escondido,108.5,522.8,7/1/2020
City of Imperial Beach,47.0,1133.3,7/1/2020
City of La Mesa,40.0,507.5,7/1/2020
City of Lemon Grove,25.0,643.7,7/1/2020
City of National City,114.0,936.8,7/1/2020
City of Oceanside,108.2,461.8,7/1/2020
City of Poway,18.0,279.5,7/1/2020
City of San Diego,1596.3,783.3,7/1/2020
City of San Marcos,70.0,542.6,7/1/2020
City of Santee,14.2,195.5,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,70.2,488.1,7/1/2020
Coastal,126.1,1285.1,7/1/2020
Coronado,19.0,387.0,7/1/2020
Del Mar-Mira Mesa,64.7,258.9,7/1/2020
East Region,426.0,666.6,7/1/2020
El Cajon,153.7,898.0,7/1/2020
Elliott-Navajo,53.3,463.0,7/1/2020
Escondido,121.3,514.3,7/1/2020
Fallbrook,26.8,418.9,7/1/2020
Harbison Crest,16.2,822.9,7/1/2020
Harbison Crest-El Cajon,169.8,890.3,7/1/2020
Jamul,17.2,639.7,7/1/2020
Kearny Mesa,116.8,522.5,7/1/2020
La Mesa,41.6,510.6,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,38.2,498.3,7/1/2020
Lemon Grove,32.1,717.0,7/1/2020
Mid-City,267.0,1095.3,7/1/2020
Miramar,6.0,391.5,7/1/2020
Mountain Empire,7.2,642.8,7/1/2020
National City,113.7,939.5,7/1/2020
North Central Region,466.0,504.1,7/1/2020
North Coastal Region,277.0,327.6,7/1/2020
North County,592.0,359.4,7/1/2020
North Inland Region,315.0,393.0,7/1/2020
North San Diego,32.8,213.8,7/1/2020
Oceanside,105.8,469.3,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,71.6,654.0,7/1/2020
Poway,28.5,253.0,7/1/2020
Ramona,13.0,287.0,7/1/2020
San Diego County,3204.0,669.7,7/1/2020
San Dieguito,36.0,290.3,7/1/2020
San Marcos,75.2,549.3,7/1/2020
Santee,14.6,210.7,7/1/2020
South Bay,361.6,1680.3,7/1/2020
South Region,925.0,1212.2,7/1/2020
Southeastern San Diego,265.2,1232.8,7/1/2020
Spring Valley,103.8,902.4,7/1/2020
Supervisorial District 1,1175.1,1138.5,7/1/2020
Supervisorial District 2,530.3,615.1,7/1/2020
Supervisorial District 3,306.4,341.3,7/1/2020
Supervisorial District 4,822.9,837.1,7/1/2020
Supervisorial District 5,369.3,366.0,7/1/2020
Sweetwater,187.7,867.1,7/1/2020
Unincorporated,359.9,451.7,7/1/2020
University,31.2,258.5,7/1/2020
Valley Center,10.5,345.8,7/1/2020
Vista,73.5,490.5,7/1/2020
