Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/28/2020
Anza-Borrego Springs,,,4/28/2020
Carlsbad,55.6,44.329,4/28/2020
Central Region,699,134.997,4/28/2020
Central San Diego,280.98,134.331,4/28/2020
Chula Vista,219.68,178.462,4/28/2020
City of Carlsbad,52.89,46.139,4/28/2020
City of Chula Vista,438.29,163.844,4/28/2020
City of Coronado,8,36.895,4/28/2020
City of Del Mar,5.33,123.314,4/28/2020
City of El Cajon,169.74,160.8,4/28/2020
City of Encinitas,32.52,51.491,4/28/2020
City of Escondido,103.57,68.376,4/28/2020
City of Imperial Beach,25,88.769,4/28/2020
City of La Mesa,70.52,115.11,4/28/2020
City of Lemon Grove,35,130.432,4/28/2020
City of National City,125.9,202.225,4/28/2020
City of Oceanside,74.08,41.768,4/28/2020
City of Poway,30.93,61.612,4/28/2020
City of San Diego,1674.7,117.95,4/28/2020
City of San Marcos,32.94,34.4,4/28/2020
City of Santee,30.31,53.18,4/28/2020
City of Solana Beach,6.14,44.082,4/28/2020
City of Vista,49.64,48.013,4/28/2020
Coastal,60.45,70.344,4/28/2020
Coronado,8,36.895,4/28/2020
Del Mar-Mira Mesa,119.94,70.189,4/28/2020
East Region,552,113.696,4/28/2020
El Cajon,208.65,158.765,4/28/2020
Elliott-Navajo,65.94,69.717,4/28/2020
Escondido,117.56,67.85,4/28/2020
Fallbrook,14.9,30.673,4/28/2020
Harbison Crest,21.66,142.982,4/28/2020
Harbison Crest-El Cajon,230.31,157.134,4/28/2020
Jamul,26.54,135.464,4/28/2020
Kearny Mesa,136.78,80.097,4/28/2020
La Mesa,71.84,113.43,4/28/2020
Laguna-Pine Valley,,,4/28/2020
Lakeside,48.75,81.821,4/28/2020
Lemon Grove,41.05,133.304,4/28/2020
Mid-City,195.16,114.056,4/28/2020
Miramar,8.94,130.066,4/28/2020
Mountain Empire,5,60.847,4/28/2020
National City,125.11,202.652,4/28/2020
North Central Region,473,71.088,4/28/2020
North Coastal Region,256,45.53,4/28/2020
North County,605,51.715,4/28/2020
North Inland Region,349,57.439,4/28/2020
North San Diego,97.1,80.294,4/28/2020
Oceanside,73.19,43.204,4/28/2020
Palomar-Julian,,,4/28/2020
Pauma,,,4/28/2020
Pendleton,,,4/28/2020
Peninsula,61.23,87.556,4/28/2020
Poway,52.03,57.656,4/28/2020
Ramona,15.95,45.36,4/28/2020
San Diego County,3432,102.833,4/28/2020
San Dieguito,56.54,55.637,4/28/2020
San Marcos,34.72,34.388,4/28/2020
Santee,29.57,54.472,4/28/2020
South Bay,439.85,326.904,4/28/2020
South Region,1048,210.059,4/28/2020
Southeastern San Diego,238.84,164.064,4/28/2020
Spring Valley,104.76,124.659,4/28/2020
Supervisorial District 1,1238.9,197.292,4/28/2020
Supervisorial District 2,664.76,101.56,4/28/2020
Supervisorial District 3,443.12,66.186,4/28/2020
Supervisorial District 4,755.52,106.365,4/28/2020
Supervisorial District 5,274.71,40.688,4/28/2020
Sweetwater,231.1,154.202,4/28/2020
Unincorporated,411.5,80.195,4/28/2020
University,34.68,47.834,4/28/2020
Valley Center,8.02,35.229,4/28/2020
Vista,51.72,47.859,4/28/2020
