Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/24/2020
Anza-Borrego Springs,,,4/24/2020
Carlsbad,53.38,42.558,4/24/2020
Central Region,614,118.581,4/24/2020
Central San Diego,251.6,120.283,4/24/2020
Chula Vista,179.58,145.884,4/24/2020
City of Carlsbad,50.86,44.37,4/24/2020
City of Chula Vista,366.38,136.962,4/24/2020
City of Coronado,7,32.283,4/24/2020
City of Del Mar,5.02,116.06,4/24/2020
City of El Cajon,152.72,144.679,4/24/2020
City of Encinitas,31.6,50.034,4/24/2020
City of Escondido,84.06,55.492,4/24/2020
City of Imperial Beach,20,71.015,4/24/2020
City of La Mesa,66.29,108.206,4/24/2020
City of Lemon Grove,26,96.892,4/24/2020
City of National City,101.67,163.307,4/24/2020
City of Oceanside,68.06,38.376,4/24/2020
City of Poway,25.94,51.674,4/24/2020
City of San Diego,1435.74,101.12,4/24/2020
City of San Marcos,30.15,31.487,4/24/2020
City of Santee,28.25,49.57,4/24/2020
City of Solana Beach,6.08,43.598,4/24/2020
City of Vista,44.53,43.074,4/24/2020
Coastal,57.71,67.146,4/24/2020
Coronado,7,32.283,4/24/2020
Del Mar-Mira Mesa,108.13,63.279,4/24/2020
East Region,488,100.513,4/24/2020
El Cajon,186.85,142.178,4/24/2020
Elliott-Navajo,63.94,67.599,4/24/2020
Escondido,95.93,55.365,4/24/2020
Fallbrook,11.25,23.164,4/24/2020
Harbison Crest,18.31,120.855,4/24/2020
Harbison Crest-El Cajon,205.16,139.975,4/24/2020
Jamul,21.34,108.906,4/24/2020
Kearny Mesa,128.43,75.209,4/24/2020
La Mesa,67.49,106.561,4/24/2020
Laguna-Pine Valley,,,4/24/2020
Lakeside,42.29,70.981,4/24/2020
Lemon Grove,31.64,102.747,4/24/2020
Mid-City,169.31,98.949,4/24/2020
Miramar,7.38,107.433,4/24/2020
Mountain Empire,5,60.847,4/24/2020
National City,100.98,163.569,4/24/2020
North Central Region,432,64.926,4/24/2020
North Coastal Region,240,42.684,4/24/2020
North County,540,46.159,4/24/2020
North Inland Region,300,49.374,4/24/2020
North San Diego,88.34,73.051,4/24/2020
Oceanside,66.52,39.269,4/24/2020
Palomar-Julian,,,4/24/2020
Pauma,,,4/24/2020
Pendleton,,,4/24/2020
Peninsula,46.23,66.104,4/24/2020
Poway,44.6,49.426,4/24/2020
Ramona,13.93,39.596,4/24/2020
San Diego County,2943,88.181,4/24/2020
San Dieguito,55.27,54.384,4/24/2020
San Marcos,31.66,31.361,4/24/2020
Santee,27.57,50.78,4/24/2020
South Bay,326.34,242.544,4/24/2020
South Region,830,166.363,4/24/2020
Southeastern San Diego,206.35,141.749,4/24/2020
Spring Valley,90.73,107.962,4/24/2020
Supervisorial District 1,987.75,157.297,4/24/2020
Supervisorial District 2,587.89,89.815,4/24/2020
Supervisorial District 3,395.58,59.086,4/24/2020
Supervisorial District 4,681.6,95.958,4/24/2020
Supervisorial District 5,251.19,37.205,4/24/2020
Sweetwater,197.15,131.546,4/24/2020
Unincorporated,353.65,68.922,4/24/2020
University,34.44,47.502,4/24/2020
Valley Center,6.91,30.368,4/24/2020
Vista,46.56,43.079,4/24/2020
