Geography,"Allocated
Age60_69
Case
Count
(Raw)","COVID-19
Total
Age60_69
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,12.5,81.8,6/17/2020
Central Region,229.0,482.0,6/17/2020
Central San Diego,74.6,380.0,6/17/2020
Chula Vista,89.6,813.9,6/17/2020
City of Carlsbad,10.1,71.1,6/17/2020
City of Chula Vista,160.1,688.5,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,71.2,593.5,6/17/2020
City of Encinitas,,,6/17/2020
City of Escondido,35.1,225.7,6/17/2020
City of Imperial Beach,13.0,481.3,6/17/2020
City of La Mesa,12.9,177.7,6/17/2020
City of Lemon Grove,8.0,284.1,6/17/2020
City of National City,56.2,1165.7,6/17/2020
City of Oceanside,30.0,157.0,6/17/2020
City of Poway,6.0,93.4,6/17/2020
City of San Diego,454.5,318.3,6/17/2020
City of San Marcos,12.1,132.4,6/17/2020
City of Santee,7.1,106.5,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,16.9,165.0,6/17/2020
Coastal,11.0,119.7,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,26.9,144.1,6/17/2020
East Region,183.0,324.4,6/17/2020
El Cajon,83.0,552.8,6/17/2020
Elliott-Navajo,10.0,92.0,6/17/2020
Escondido,39.8,224.2,6/17/2020
Fallbrook,8.3,138.6,6/17/2020
Harbison Crest,6.5,366.7,6/17/2020
Harbison Crest-El Cajon,89.5,533.2,6/17/2020
Jamul,10.0,439.5,6/17/2020
Kearny Mesa,41.8,232.3,6/17/2020
La Mesa,13.4,177.9,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,13.7,192.3,6/17/2020
Lemon Grove,11.0,342.9,6/17/2020
Mid-City,61.6,387.9,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,56.0,1176.0,6/17/2020
North Central Region,101.0,143.0,6/17/2020
North Coastal Region,74.0,120.2,6/17/2020
North County,178.0,137.4,6/17/2020
North Inland Region,104.0,153.0,6/17/2020
North San Diego,19.1,139.4,6/17/2020
Oceanside,29.0,160.4,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,9.8,125.3,6/17/2020
Poway,10.0,89.4,6/17/2020
Ramona,6.0,131.0,6/17/2020
San Diego County,1041.0,299.5,6/17/2020
San Dieguito,10.5,77.1,6/17/2020
San Marcos,13.1,134.2,6/17/2020
Santee,7.3,114.6,6/17/2020
South Bay,118.8,1061.9,6/17/2020
South Region,350.0,804.8,6/17/2020
Southeastern San Diego,98.2,728.3,6/17/2020
Spring Valley,36.9,401.8,6/17/2020
Supervisorial District 1,422.4,790.1,6/17/2020
Supervisorial District 2,207.4,269.6,6/17/2020
Supervisorial District 3,100.1,134.8,6/17/2020
Supervisorial District 4,215.8,302.0,6/17/2020
Supervisorial District 5,95.3,133.3,6/17/2020
Sweetwater,75.3,582.8,6/17/2020
Unincorporated,137.5,239.9,6/17/2020
University,,,6/17/2020
Valley Center,,,6/17/2020
Vista,17.6,164.1,6/17/2020
