Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,8.35,51.95,5/20/2020
Anza-Borrego Springs,,,5/20/2020
Carlsbad,79.3,63.227,5/20/2020
Central Region,1340,258.792,5/20/2020
Central San Diego,483.7,231.244,5/20/2020
Chula Vista,512.6,416.424,5/20/2020
City of Carlsbad,73.09,63.762,5/20/2020
City of Chula Vista,929.24,347.377,5/20/2020
City of Coronado,18,83.014,5/20/2020
City of Del Mar,5.33,123.314,5/20/2020
City of El Cajon,336.09,318.394,5/20/2020
City of Encinitas,39.96,63.271,5/20/2020
City of Escondido,187.5,123.78,5/20/2020
City of Imperial Beach,65,230.799,5/20/2020
City of La Mesa,105.2,171.732,5/20/2020
City of Lemon Grove,57,212.417,5/20/2020
City of National City,316.43,508.265,5/20/2020
City of Oceanside,144.15,81.277,5/20/2020
City of Poway,35.92,71.549,5/20/2020
City of San Diego,2914.33,205.257,5/20/2020
City of San Marcos,75.17,78.497,5/20/2020
City of Santee,52.52,92.152,5/20/2020
City of Solana Beach,7.14,51.251,5/20/2020
City of Vista,96.02,92.881,5/20/2020
Coastal,70.43,81.954,5/20/2020
Coronado,18,83.014,5/20/2020
Del Mar-Mira Mesa,152.3,89.132,5/20/2020
East Region,1011,208.236,5/20/2020
El Cajon,400.22,304.541,5/20/2020
Elliott-Navajo,89.18,94.289,5/20/2020
Escondido,209.22,120.749,5/20/2020
Fallbrook,26.01,53.535,5/20/2020
Harbison Crest,35.99,237.592,5/20/2020
Harbison Crest-El Cajon,436.22,297.622,5/20/2020
Jamul,46.01,234.822,5/20/2020
Kearny Mesa,213.93,125.28,5/20/2020
La Mesa,107.68,170.007,5/20/2020
Laguna-Pine Valley,,,5/20/2020
Lakeside,91.83,154.123,5/20/2020
Lemon Grove,70.93,230.345,5/20/2020
Mid-City,370.56,216.557,5/20/2020
Miramar,8.35,121.469,5/20/2020
Mountain Empire,13.45,163.655,5/20/2020
National City,315.6,511.223,5/20/2020
North Central Region,640,96.186,5/20/2020
North Coastal Region,411,73.097,5/20/2020
North County,966,82.573,5/20/2020
North Inland Region,555,91.342,5/20/2020
North San Diego,118.69,98.155,5/20/2020
Oceanside,142.94,84.379,5/20/2020
Palomar-Julian,,,5/20/2020
Pauma,5.18,63.572,5/20/2020
Pendleton,,,5/20/2020
Peninsula,83.46,119.342,5/20/2020
Poway,61.4,68.032,5/20/2020
Ramona,28.91,82.181,5/20/2020
San Diego County,6315,189.216,5/20/2020
San Dieguito,68.85,67.745,5/20/2020
San Marcos,82.92,82.126,5/20/2020
Santee,52.4,96.521,5/20/2020
South Bay,905.05,672.651,5/20/2020
South Region,2230,446.976,5/20/2020
Southeastern San Diego,509.52,350.005,5/20/2020
Spring Valley,199.78,237.735,5/20/2020
Supervisorial District 1,2644.74,421.171,5/20/2020
Supervisorial District 2,1174.89,179.494,5/20/2020
Supervisorial District 3,615.21,91.89,5/20/2020
Supervisorial District 4,1259.5,177.318,5/20/2020
Supervisorial District 5,492.66,72.972,5/20/2020
Sweetwater,440.07,293.638,5/20/2020
Unincorporated,728.89,142.049,5/20/2020
University,38.1,52.557,5/20/2020
Valley Center,15.04,66.064,5/20/2020
Vista,100.59,93.069,5/20/2020
