Geography,Allocated Case Count (Raw),COVID-19 Total Rate (Suppressed),date
Alpine,602.0,3727.1,12/27/2020
Anza-Borrego Springs,83.0,1587.6,12/27/2020
Carlsbad,2910.9,2301.5,12/27/2020
Central Region,25791.0,5006.6,12/27/2020
Central San Diego,8559.7,4058.7,12/27/2020
Chula Vista,8805.8,7098.0,12/27/2020
City of Carlsbad,2448.8,2124.7,12/27/2020
City of Chula Vista,16979.1,6255.0,12/27/2020
City of Coronado,473.0,1954.6,12/27/2020
City of Del Mar,77.6,1754.1,12/27/2020
City of El Cajon,6232.7,5893.1,12/27/2020
City of Encinitas,1298.2,2048.8,12/27/2020
City of Escondido,7151.1,4681.5,12/27/2020
City of Imperial Beach,1551.0,5650.7,12/27/2020
City of La Mesa,1974.8,3248.5,12/27/2020
City of Lemon Grove,1452.0,5336.7,12/27/2020
City of National City,4200.7,6751.2,12/27/2020
City of Oceanside,6311.0,3546.0,12/27/2020
City of Poway,1082.4,2151.2,12/27/2020
City of San Diego,55717.4,3922.4,12/27/2020
City of San Marcos,3651.4,3718.4,12/27/2020
City of Santee,1828.7,3132.1,12/27/2020
City of Solana Beach,225.9,1620.6,12/27/2020
City of Vista,4635.5,4546.4,12/27/2020
Coastal,2320.3,2667.7,12/27/2020
Coronado,473.0,1954.6,12/27/2020
Del Mar-Mira Mesa,3254.0,1903.0,12/27/2020
East Region,22932.0,4692.1,12/27/2020
El Cajon,7680.1,5803.7,12/27/2020
Elliott-Navajo,2376.2,2481.2,12/27/2020
Escondido,7969.4,4546.5,12/27/2020
Fallbrook,1799.6,3630.0,12/27/2020
Harbison Crest,784.1,5175.3,12/27/2020
Harbison Crest-El Cajon,8464.2,5739.2,12/27/2020
Jamul,1092.5,5764.2,12/27/2020
Kearny Mesa,5232.0,3059.6,12/27/2020
La Mesa,2046.6,3252.2,12/27/2020
Laguna-Pine Valley,138.3,2418.4,12/27/2020
Lakeside,2261.6,3758.5,12/27/2020
Lemon Grove,1696.9,5476.5,12/27/2020
Mid-City,8431.9,4997.7,12/27/2020
Miramar,167.5,2281.9,12/27/2020
Mountain Empire,493.9,6002.1,12/27/2020
National City,4183.4,6777.6,12/27/2020
North Central Region,15746.0,2353.8,12/27/2020
North Coastal Region,16587.0,2958.6,12/27/2020
North County,37049.0,3149.4,12/27/2020
North Inland Region,20462.0,3323.0,12/27/2020
North San Diego,2200.0,1804.2,12/27/2020
Oceanside,6176.2,3644.2,12/27/2020
Palomar-Julian,112.0,1430.8,12/27/2020
Pauma,381.8,4523.5,12/27/2020
Pendleton,258.0,624.9,12/27/2020
Peninsula,1513.6,2134.5,12/27/2020
Poway,1803.9,1992.1,12/27/2020
Ramona,1282.2,3577.1,12/27/2020
San Diego County,147530.0,4401.5,12/27/2020
San Dieguito,2031.8,1998.5,12/27/2020
San Marcos,4021.5,3891.2,12/27/2020
Santee,1756.8,3165.3,12/27/2020
South Bay,13662.4,10351.7,12/27/2020
South Region,36286.0,7220.6,12/27/2020
Southeastern San Diego,9313.6,6494.8,12/27/2020
Spring Valley,4606.3,5443.0,12/27/2020
Supervisorial District 1,43797.0,6968.0,12/27/2020
Supervisorial District 2,28203.0,4285.5,12/27/2020
Supervisorial District 3,17130.0,2541.2,12/27/2020
Supervisorial District 4,26262.0,3683.3,12/27/2020
Supervisorial District 5,22412.0,3305.4,12/27/2020
Sweetwater,8487.2,5543.7,12/27/2020
Unincorporated,20512.6,3978.0,12/27/2020
University,988.9,1363.1,12/27/2020
Valley Center,880.3,3794.0,12/27/2020
Vista,4964.9,4628.6,12/27/2020
