Geography,"Allocated
Age30_39
Case
Count
(Raw)","COVID-19
Total
Age30_39
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,34.4,219.0,7/1/2020
Central Region,662.0,823.8,7/1/2020
Central San Diego,259.6,711.4,7/1/2020
Chula Vista,228.5,1477.6,7/1/2020
City of Carlsbad,28.5,202.6,7/1/2020
City of Chula Vista,395.9,1176.0,7/1/2020
City of Coronado,9.0,320.4,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,89.6,658.0,7/1/2020
City of Encinitas,19.7,239.6,7/1/2020
City of Escondido,93.6,494.2,7/1/2020
City of Imperial Beach,44.0,1077.9,7/1/2020
City of La Mesa,42.5,452.5,7/1/2020
City of Lemon Grove,21.0,609.4,7/1/2020
City of National City,102.3,1300.1,7/1/2020
City of Oceanside,70.1,294.7,7/1/2020
City of Poway,8.0,140.5,7/1/2020
City of San Diego,1345.3,632.3,7/1/2020
City of San Marcos,40.0,339.3,7/1/2020
City of Santee,27.1,361.8,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,52.3,385.4,7/1/2020
Coastal,36.4,212.6,7/1/2020
Coronado,9.0,320.4,7/1/2020
Del Mar-Mira Mesa,63.2,291.6,7/1/2020
East Region,377.0,596.1,7/1/2020
El Cajon,109.1,645.1,7/1/2020
Elliott-Navajo,56.2,417.2,7/1/2020
Escondido,104.2,484.5,7/1/2020
Fallbrook,21.2,365.2,7/1/2020
Harbison Crest,10.8,562.1,7/1/2020
Harbison Crest-El Cajon,119.9,636.7,7/1/2020
Jamul,19.7,858.0,7/1/2020
Kearny Mesa,121.2,442.8,7/1/2020
La Mesa,43.9,453.0,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,36.2,482.9,7/1/2020
Lemon Grove,26.7,677.5,7/1/2020
Mid-City,176.8,690.5,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,9.6,1039.2,7/1/2020
National City,102.2,1308.8,7/1/2020
North Central Region,315.0,309.5,7/1/2020
North Coastal Region,189.0,264.5,7/1/2020
North County,437.0,299.9,7/1/2020
North Inland Region,248.0,334.1,7/1/2020
North San Diego,26.8,179.1,7/1/2020
Oceanside,69.1,304.1,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,20.5,183.2,7/1/2020
Poway,18.1,174.3,7/1/2020
Ramona,15.8,385.4,7/1/2020
San Diego County,2709.0,594.6,7/1/2020
San Dieguito,29.3,230.0,7/1/2020
San Marcos,43.3,344.2,7/1/2020
Santee,26.3,369.6,7/1/2020
South Bay,390.1,2104.7,7/1/2020
South Region,918.0,1422.1,7/1/2020
Southeastern San Diego,235.1,1213.9,7/1/2020
Spring Valley,95.2,885.4,7/1/2020
Supervisorial District 1,1140.6,1383.5,7/1/2020
Supervisorial District 2,453.8,539.3,7/1/2020
Supervisorial District 3,268.8,304.4,7/1/2020
Supervisorial District 4,598.3,515.3,7/1/2020
Supervisorial District 5,247.6,292.6,7/1/2020
Sweetwater,175.3,925.6,7/1/2020
Unincorporated,315.9,508.6,7/1/2020
University,17.7,162.4,7/1/2020
Valley Center,10.4,383.6,7/1/2020
Vista,53.2,378.4,7/1/2020
