Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,12.02,74.774,6/7/2020
Anza-Borrego Springs,8.21,160.392,6/7/2020
Carlsbad,97.80,77.973,6/7/2020
Central Region,1874.00,361.922,6/7/2020
Central San Diego,645.69,308.691,6/7/2020
Chula Vista,709.64,576.496,6/7/2020
City of Carlsbad,86.74,75.678,6/7/2020
City of Chula Vista,1278.16,477.812,6/7/2020
City of Coronado,23.00,106.074,6/7/2020
City of Del Mar,6.58,152.328,6/7/2020
City of El Cajon,457.05,432.993,6/7/2020
City of Encinitas,64.12,101.526,6/7/2020
City of Escondido,278.67,183.968,6/7/2020
City of Imperial Beach,125.00,443.845,6/7/2020
City of La Mesa,135.97,221.952,6/7/2020
City of Lemon Grove,79.00,294.403,6/7/2020
City of National City,424.35,681.615,6/7/2020
City of Oceanside,211.24,119.102,6/7/2020
City of Poway,47.90,95.399,6/7/2020
City of San Diego,3922.64,276.272,6/7/2020
City of San Marcos,106.44,111.146,6/7/2020
City of Santee,66.73,117.084,6/7/2020
City of Solana Beach,11.41,81.866,6/7/2020
City of Vista,129.67,125.426,6/7/2020
Coastal,95.94,111.636,6/7/2020
Coronado,23.00,106.074,6/7/2020
Del Mar-Mira Mesa,187.99,110.019,6/7/2020
East Region,1392.00,286.711,6/7/2020
El Cajon,545.56,415.133,6/7/2020
Elliott-Navajo,125.90,133.105,6/7/2020
Escondido,306.66,176.982,6/7/2020
Fallbrook,39.87,82.077,6/7/2020
Harbison Crest,50.20,331.384,6/7/2020
Harbison Crest-El Cajon,595.76,406.478,6/7/2020
Jamul,64.98,331.685,6/7/2020
Kearny Mesa,282.40,165.377,6/7/2020
La Mesa,139.90,220.875,6/7/2020
Laguna-Pine Valley,,,6/7/2020
Lakeside,129.42,217.222,6/7/2020
Lemon Grove,99.16,321.991,6/7/2020
Mid-City,519.87,303.816,6/7/2020
Miramar,10.03,145.887,6/7/2020
Mountain Empire,20.60,250.658,6/7/2020
National City,423.35,685.754,6/7/2020
North Central Region,836.00,125.643,6/7/2020
North Coastal Region,566.00,100.664,6/7/2020
North County,1342.00,114.713,6/7/2020
North Inland Region,776.00,127.714,6/7/2020
North San Diego,138.91,114.873,6/7/2020
Oceanside,207.44,122.454,6/7/2020
Palomar-Julian,,,6/7/2020
Pauma,7.08,86.933,6/7/2020
Pendleton,,,6/7/2020
Peninsula,104.03,148.743,6/7/2020
Poway,77.30,85.658,6/7/2020
Ramona,45.75,130.072,6/7/2020
San Diego County,8619.00,258.251,6/7/2020
San Dieguito,101.57,99.949,6/7/2020
San Marcos,120.55,119.404,6/7/2020
Santee,67.13,123.654,6/7/2020
South Bay,1235.64,918.356,6/7/2020
South Region,3040.00,609.331,6/7/2020
Southeastern San Diego,738.92,507.588,6/7/2020
Spring Valley,287.30,341.877,6/7/2020
Supervisorial District 1,3649.83,581.230,6/7/2020
Supervisorial District 2,1633.02,249.486,6/7/2020
Supervisorial District 3,818.68,122.281,6/7/2020
Supervisorial District 4,1695.74,238.734,6/7/2020
Supervisorial District 5,686.73,101.716,6/7/2020
Sweetwater,595.14,397.107,6/7/2020
Unincorporated,1029.32,200.599,6/7/2020
University,47.49,65.509,6/7/2020
Valley Center,26.47,116.250,6/7/2020
Vista,136.61,126.404,6/7/2020
