Geography,Allocated Case Count (Raw),COVID-19 Total Rate (Suppressed),date
Alpine,598.3,3704.1,12/26/2020
Anza-Borrego Springs,82.9,1585.8,12/26/2020
Carlsbad,2873.5,2272.0,12/26/2020
Central Region,25515.0,4953.0,12/26/2020
Central San Diego,8473.7,4017.9,12/26/2020
Chula Vista,8707.4,7018.7,12/26/2020
City of Carlsbad,2418.2,2098.2,12/26/2020
City of Chula Vista,16791.8,6186.0,12/26/2020
City of Coronado,464.0,1917.4,12/26/2020
City of Del Mar,77.3,1747.1,12/26/2020
City of El Cajon,6166.3,5830.3,12/26/2020
City of Encinitas,1276.0,2013.7,12/26/2020
City of Escondido,7024.5,4598.6,12/26/2020
City of Imperial Beach,1543.0,5621.5,12/26/2020
City of La Mesa,1954.7,3215.5,12/26/2020
City of Lemon Grove,1435.0,5274.2,12/26/2020
City of National City,4143.5,6659.2,12/26/2020
City of Oceanside,6219.9,3494.8,12/26/2020
City of Poway,1058.5,2103.6,12/26/2020
City of San Diego,55094.5,3878.6,12/26/2020
City of San Marcos,3597.1,3663.1,12/26/2020
City of Santee,1794.6,3073.7,12/26/2020
City of Solana Beach,225.9,1620.1,12/26/2020
City of Vista,4584.9,4496.8,12/26/2020
Coastal,2297.0,2640.8,12/26/2020
Coronado,464.0,1917.4,12/26/2020
Del Mar-Mira Mesa,3206.7,1875.4,12/26/2020
East Region,22675.0,4639.5,12/26/2020
El Cajon,7598.0,5741.8,12/26/2020
Elliott-Navajo,2346.5,2450.2,12/26/2020
Escondido,7828.2,4466.0,12/26/2020
Fallbrook,1777.3,3585.0,12/26/2020
Harbison Crest,776.5,5125.3,12/26/2020
Harbison Crest-El Cajon,8374.6,5678.4,12/26/2020
Jamul,1076.3,5678.5,12/26/2020
Kearny Mesa,5173.0,3025.1,12/26/2020
La Mesa,2025.6,3218.8,12/26/2020
Laguna-Pine Valley,136.2,2381.2,12/26/2020
Lakeside,2238.5,3720.0,12/26/2020
Lemon Grove,1677.3,5413.1,12/26/2020
Mid-City,8335.5,4940.6,12/26/2020
Miramar,165.1,2249.3,12/26/2020
Mountain Empire,491.8,5976.4,12/26/2020
National City,4126.4,6685.3,12/26/2020
North Central Region,15572.0,2327.8,12/26/2020
North Coastal Region,16384.0,2922.4,12/26/2020
North County,36508.0,3103.4,12/26/2020
North Inland Region,20124.0,3268.2,12/26/2020
North San Diego,2152.1,1764.9,12/26/2020
Oceanside,6088.7,3592.6,12/26/2020
Palomar-Julian,110.1,1406.9,12/26/2020
Pauma,379.7,4498.8,12/26/2020
Pendleton,264.0,639.5,12/26/2020
Peninsula,1504.6,2121.7,12/26/2020
Poway,1769.7,1954.3,12/26/2020
Ramona,1265.3,3530.1,12/26/2020
San Diego County,145779.0,4349.3,12/26/2020
San Dieguito,2004.7,1971.8,12/26/2020
San Marcos,3963.2,3834.9,12/26/2020
Santee,1724.9,3107.8,12/26/2020
South Bay,13529.1,10250.7,12/26/2020
South Region,35886.0,7141.0,12/26/2020
Southeastern San Diego,9214.1,6425.4,12/26/2020
Spring Valley,4556.2,5383.8,12/26/2020
Supervisorial District 1,43326.2,6893.1,12/26/2020
Supervisorial District 2,27872.6,4235.3,12/26/2020
Supervisorial District 3,16853.0,2500.1,12/26/2020
Supervisorial District 4,25972.0,3642.7,12/26/2020
Supervisorial District 5,22132.3,3264.1,12/26/2020
Sweetwater,8392.8,5482.1,12/26/2020
Unincorporated,20286.5,3934.2,12/26/2020
University,982.4,1354.1,12/26/2020
Valley Center,870.9,3753.3,12/26/2020
Vista,4908.2,4575.7,12/26/2020
