Geography,"Allocated
Hispanic
Case
Count
(Raw)","COVID-19
Total
Hispanic
Rate
(Suppressed)",Date
Alpine,9.2,342.9,7/14/2020
Anza-Borrego Springs,6.0,632.3,7/14/2020
Carlsbad,96.7,401.7,7/14/2020
Central Region,2508.0,1139.7,7/14/2020
Central San Diego,727.8,965.6,7/14/2020
Chula Vista,1077.5,1286.5,7/14/2020
City of Carlsbad,67.2,347.0,7/14/2020
City of Chula Vista,1843.3,1131.9,7/14/2020
City of Coronado,11.0,317.4,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,288.9,923.2,7/14/2020
City of Encinitas,42.7,419.0,7/14/2020
City of Escondido,460.5,666.2,7/14/2020
City of Imperial Beach,173.0,1181.1,7/14/2020
City of La Mesa,92.7,520.2,7/14/2020
City of Lemon Grove,125.0,994.7,7/14/2020
City of National City,580.2,1502.1,7/14/2020
City of Oceanside,322.6,516.9,7/14/2020
City of Poway,30.9,304.2,7/14/2020
City of San Diego,4401.6,1010.2,7/14/2020
City of San Marcos,208.5,571.5,7/14/2020
City of Santee,51.6,414.0,7/14/2020
City of Solana Beach,9.1,499.5,7/14/2020
City of Vista,266.2,577.9,7/14/2020
Coastal,55.8,414.8,7/14/2020
Coronado,11.0,317.4,7/14/2020
Del Mar-Mira Mesa,82.2,354.1,7/14/2020
East Region,1322.0,882.0,7/14/2020
El Cajon,350.7,893.0,7/14/2020
Elliott-Navajo,67.5,360.9,7/14/2020
Escondido,501.4,652.0,7/14/2020
Fallbrook,100.1,566.1,7/14/2020
Harbison Crest,37.6,806.9,7/14/2020
Harbison Crest-El Cajon,388.3,883.9,7/14/2020
Jamul,92.7,1200.0,7/14/2020
Kearny Mesa,224.4,494.7,7/14/2020
La Mesa,96.2,522.5,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,104.7,700.0,7/14/2020
Lemon Grove,149.7,1040.8,7/14/2020
Mid-City,755.2,1054.3,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,35.6,1045.7,7/14/2020
National City,578.9,1508.5,7/14/2020
North Central Region,510.0,413.0,7/14/2020
North Coastal Region,775.0,474.0,7/14/2020
North County,1823.0,519.8,7/14/2020
North Inland Region,1048.0,559.7,7/14/2020
North San Diego,43.8,270.1,7/14/2020
Oceanside,319.1,518.0,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,18.9,687.5,7/14/2020
Pendleton,,,7/14/2020
Peninsula,46.4,364.1,7/14/2020
Poway,48.6,318.5,7/14/2020
Ramona,51.8,544.0,7/14/2020
San Diego County,10259.0,891.5,7/14/2020
San Dieguito,68.0,425.3,7/14/2020
San Marcos,236.1,591.5,7/14/2020
Santee,51.4,432.0,7/14/2020
South Bay,1556.9,1684.1,7/14/2020
South Region,4096.0,1335.9,7/14/2020
Southeastern San Diego,1076.8,1384.5,7/14/2020
Spring Valley,408.6,1233.5,7/14/2020
Supervisorial District 1,5103.3,1356.8,7/14/2020
Supervisorial District 2,1532.0,806.1,7/14/2020
Supervisorial District 3,736.1,502.3,7/14/2020
Supervisorial District 4,1750.6,811.0,7/14/2020
Supervisorial District 5,1136.9,511.7,7/14/2020
Sweetwater,805.3,977.0,7/14/2020
Unincorporated,1283.3,776.4,7/14/2020
University,26.9,287.1,7/14/2020
Valley Center,43.8,628.0,7/14/2020
Vista,284.1,577.6,7/14/2020
