Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/14/2020
Anza-Borrego Springs,,,4/14/2020
Carlsbad,52.55,41.896,4/14/2020
Central Region,457,88.26,4/14/2020
Central San Diego,202.72,96.917,4/14/2020
Chula Vista,100,81.239,4/14/2020
City of Carlsbad,50.86,44.37,4/14/2020
City of Chula Vista,211.05,78.895,4/14/2020
City of Coronado,6,27.671,4/14/2020
City of Del Mar,,,4/14/2020
City of El Cajon,110.14,104.345,4/14/2020
City of Encinitas,31.6,50.034,4/14/2020
City of Escondido,59.3,39.149,4/14/2020
City of Imperial Beach,11,39.058,4/14/2020
City of La Mesa,39.6,64.649,4/14/2020
City of Lemon Grove,17,63.352,4/14/2020
City of National City,53.81,86.439,4/14/2020
City of Oceanside,45.05,25.401,4/14/2020
City of Poway,18.96,37.762,4/14/2020
City of San Diego,986.08,69.45,4/14/2020
City of San Marcos,28.21,29.456,4/14/2020
City of Santee,19.18,33.656,4/14/2020
City of Solana Beach,6.01,43.113,4/14/2020
City of Vista,32.35,31.289,4/14/2020
Coastal,54.72,63.675,4/14/2020
Coronado,6,27.671,4/14/2020
Del Mar-Mira Mesa,81.55,47.727,4/14/2020
East Region,340,70.03,4/14/2020
El Cajon,135.8,103.337,4/14/2020
Elliott-Navajo,53.8,56.879,4/14/2020
Escondido,69.41,40.057,4/14/2020
Fallbrook,9.3,19.15,4/14/2020
Harbison Crest,13.41,88.51,4/14/2020
Harbison Crest-El Cajon,149.21,101.804,4/14/2020
Jamul,14.1,71.958,4/14/2020
Kearny Mesa,97.09,56.858,4/14/2020
La Mesa,40.45,63.863,4/14/2020
Laguna-Pine Valley,,,4/14/2020
Lakeside,29.59,49.663,4/14/2020
Lemon Grove,20.7,67.232,4/14/2020
Mid-City,129.63,75.76,4/14/2020
Miramar,,,4/14/2020
Mountain Empire,,,4/14/2020
National City,53.3,86.341,4/14/2020
North Central Region,344,51.7,4/14/2020
North Coastal Region,201,35.748,4/14/2020
North County,425,36.329,4/14/2020
North Inland Region,224,36.866,4/14/2020
North San Diego,64.1,53.011,4/14/2020
Oceanside,43.19,25.493,4/14/2020
Palomar-Julian,,,4/14/2020
Pauma,,,4/14/2020
Pendleton,,,4/14/2020
Peninsula,34.79,49.742,4/14/2020
Poway,34.29,37.997,4/14/2020
Ramona,10.91,31.014,4/14/2020
San Diego County,2012,60.285,4/14/2020
San Dieguito,55.02,54.145,4/14/2020
San Marcos,27.92,27.653,4/14/2020
Santee,18.73,34.499,4/14/2020
South Bay,126.93,94.341,4/14/2020
South Region,414,82.981,4/14/2020
Southeastern San Diego,134.46,92.362,4/14/2020
Spring Valley,65.75,78.239,4/14/2020
Supervisorial District 1,517.25,82.371,4/14/2020
Supervisorial District 2,416.66,63.656,4/14/2020
Supervisorial District 3,302.71,45.214,4/14/2020
Supervisorial District 4,539.24,75.916,4/14/2020
Supervisorial District 5,204.14,30.237,4/14/2020
Sweetwater,117.34,78.298,4/14/2020
Unincorporated,249.09,48.544,4/14/2020
University,31.44,43.364,4/14/2020
Valley Center,5.63,24.724,4/14/2020
Vista,33.08,30.609,4/14/2020
