Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,137.2,849.2,11/2/2020
Anza-Borrego Springs,22.7,434.4,11/2/2020
Carlsbad,1053.2,832.7,11/2/2020
Central Region,12278.0,2383.4,11/2/2020
Central San Diego,4166.7,1975.7,11/2/2020
Chula Vista,3885.5,3132.0,11/2/2020
City of Carlsbad,901.4,782.1,11/2/2020
City of Chula Vista,7321.0,2697.0,11/2/2020
City of Coronado,221.0,913.3,11/2/2020
City of Del Mar,33.8,763.9,11/2/2020
City of El Cajon,2334.2,2207.1,11/2/2020
City of Encinitas,509.8,804.6,11/2/2020
City of Escondido,2582.0,1690.3,11/2/2020
City of Imperial Beach,718.0,2615.9,11/2/2020
City of La Mesa,792.8,1304.1,11/2/2020
City of Lemon Grove,547.0,2010.4,11/2/2020
City of National City,1952.3,3137.6,11/2/2020
City of Oceanside,2383.6,1339.3,11/2/2020
City of Poway,396.1,787.1,11/2/2020
City of San Diego,24663.1,1736.2,11/2/2020
City of San Marcos,1312.0,1336.1,11/2/2020
City of Santee,627.7,1075.0,11/2/2020
City of Solana Beach,84.4,605.3,11/2/2020
City of Vista,1501.4,1472.6,11/2/2020
Coastal,1159.9,1333.5,11/2/2020
Coronado,221.0,913.3,11/2/2020
Del Mar-Mira Mesa,1288.3,753.4,11/2/2020
East Region,8679.0,1775.8,11/2/2020
El Cajon,2868.4,2167.6,11/2/2020
Elliott-Navajo,921.7,962.4,11/2/2020
Escondido,2866.5,1635.3,11/2/2020
Fallbrook,656.4,1324.1,11/2/2020
Harbison Crest,288.4,1903.3,11/2/2020
Harbison Crest-El Cajon,3156.7,2140.4,11/2/2020
Jamul,417.4,2202.4,11/2/2020
Kearny Mesa,2040.4,1193.2,11/2/2020
La Mesa,821.9,1306.0,11/2/2020
Laguna-Pine Valley,29.9,522.2,11/2/2020
Lakeside,840.8,1397.3,11/2/2020
Lemon Grove,654.2,2111.5,11/2/2020
Mid-City,4155.2,2462.9,11/2/2020
Miramar,65.2,888.5,11/2/2020
Mountain Empire,174.6,2121.7,11/2/2020
National City,1944.8,3150.8,11/2/2020
North Central Region,6559.0,980.5,11/2/2020
North Coastal Region,6008.0,1071.6,11/2/2020
North County,13364.0,1136.0,11/2/2020
North Inland Region,7356.0,1194.6,11/2/2020
North San Diego,796.9,653.5,11/2/2020
Oceanside,2324.8,1371.7,11/2/2020
Palomar-Julian,55.1,703.5,11/2/2020
Pauma,156.6,1855.7,11/2/2020
Pendleton,117.0,283.4,11/2/2020
Peninsula,741.1,1045.1,11/2/2020
Poway,676.1,746.6,11/2/2020
Ramona,447.3,1247.9,11/2/2020
San Diego County,57702.0,1721.5,11/2/2020
San Dieguito,791.7,778.8,11/2/2020
San Marcos,1431.7,1385.3,11/2/2020
Santee,606.2,1092.2,11/2/2020
South Bay,5809.7,4401.9,11/2/2020
South Region,15709.0,3125.9,11/2/2020
Southeastern San Diego,4168.9,2907.2,11/2/2020
Spring Valley,1922.7,2272.0,11/2/2020
Supervisorial District 1,19259.2,3064.1,11/2/2020
Supervisorial District 2,10892.2,1655.1,11/2/2020
Supervisorial District 3,6393.6,948.5,11/2/2020
Supervisorial District 4,12015.2,1685.2,11/2/2020
Supervisorial District 5,8028.8,1184.1,11/2/2020
Sweetwater,3581.3,2339.2,11/2/2020
Unincorporated,7707.4,1494.7,11/2/2020
University,380.2,524.1,11/2/2020
Valley Center,284.8,1227.3,11/2/2020
Vista,1616.5,1507.0,11/2/2020
