Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,26.6,165.5,7/1/2020
Anza-Borrego Springs,11.4,222.8,7/1/2020
Carlsbad,221.7,176.8,7/1/2020
Central Region,3417.0,659.9,7/1/2020
Central San Diego,1139.2,544.6,7/1/2020
Chula Vista,1141.7,927.5,7/1/2020
City of Carlsbad,194.3,169.6,7/1/2020
City of Chula Vista,2079.2,777.2,7/1/2020
City of Coronado,52.0,239.8,7/1/2020
City of Del Mar,11.3,261.1,7/1/2020
City of El Cajon,675.1,639.5,7/1/2020
City of Encinitas,128.6,203.7,7/1/2020
City of Escondido,556.5,367.4,7/1/2020
City of Imperial Beach,210.0,745.7,7/1/2020
City of La Mesa,220.7,360.3,7/1/2020
City of Lemon Grove,165.0,614.9,7/1/2020
City of National City,680.4,1092.8,7/1/2020
City of Oceanside,438.8,247.4,7/1/2020
City of Poway,88.8,176.9,7/1/2020
City of San Diego,6791.9,478.4,7/1/2020
City of San Marcos,260.9,272.4,7/1/2020
City of Santee,136.1,238.9,7/1/2020
City of Solana Beach,24.4,175.2,7/1/2020
City of Vista,319.4,309.0,7/1/2020
Coastal,281.7,327.8,7/1/2020
Coronado,52.0,239.8,7/1/2020
Del Mar-Mira Mesa,356.9,208.9,7/1/2020
East Region,2335.0,480.9,7/1/2020
El Cajon,817.2,621.9,7/1/2020
Elliott-Navajo,213.4,225.6,7/1/2020
Escondido,616.1,355.6,7/1/2020
Fallbrook,126.8,261.0,7/1/2020
Harbison Crest,80.1,528.6,7/1/2020
Harbison Crest-El Cajon,897.3,612.2,7/1/2020
Jamul,119.4,609.2,7/1/2020
Kearny Mesa,516.5,302.4,7/1/2020
La Mesa,228.5,360.7,7/1/2020
Laguna-Pine Valley,5.5,95.8,7/1/2020
Lakeside,202.8,340.3,7/1/2020
Lemon Grove,198.3,643.9,7/1/2020
Mid-City,995.8,582.0,7/1/2020
Miramar,17.1,249.3,7/1/2020
Mountain Empire,39.7,483.3,7/1/2020
National City,678.7,1099.4,7/1/2020
North Central Region,1629.0,244.8,7/1/2020
North Coastal Region,1237.0,220.0,7/1/2020
North County,2821.0,241.1,7/1/2020
North Inland Region,1584.0,260.7,7/1/2020
North San Diego,225.3,186.3,7/1/2020
Oceanside,431.4,254.7,7/1/2020
Palomar-Julian,7.5,97.3,7/1/2020
Pauma,18.2,223.9,7/1/2020
Pendleton,6.0,13.8,7/1/2020
Peninsula,179.4,256.5,7/1/2020
Poway,155.4,172.2,7/1/2020
Ramona,78.5,223.2,7/1/2020
San Diego County,15207.0,455.6,7/1/2020
San Dieguito,204.2,200.9,7/1/2020
San Marcos,287.2,284.5,7/1/2020
Santee,133.0,244.9,7/1/2020
South Bay,1758.9,1307.3,7/1/2020
South Region,4684.0,938.9,7/1/2020
Southeastern San Diego,1330.8,914.2,7/1/2020
Spring Valley,515.7,613.7,7/1/2020
Supervisorial District 1,5846.0,931.0,7/1/2020
Supervisorial District 2,2761.3,421.9,7/1/2020
Supervisorial District 3,1567.5,234.1,7/1/2020
Supervisorial District 4,3130.8,440.8,7/1/2020
Supervisorial District 5,1580.4,234.1,7/1/2020
Sweetwater,979.4,653.5,7/1/2020
Unincorporated,1852.6,361.0,7/1/2020
University,93.6,129.1,7/1/2020
Valley Center,56.6,248.8,7/1/2020
Vista,337.7,312.5,7/1/2020
