Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,76.1,471.1,8/11/2020
Anza-Borrego Springs,17.8,339.9,8/11/2020
Carlsbad,602.8,476.6,8/11/2020
Central Region,7081.0,1374.6,8/11/2020
Central San Diego,2327.1,1103.4,8/11/2020
Chula Vista,2262.6,1823.7,8/11/2020
City of Carlsbad,537.3,466.2,8/11/2020
City of Chula Vista,4263.9,1570.8,8/11/2020
City of Coronado,152.0,628.1,8/11/2020
City of Del Mar,18.8,424.4,8/11/2020
City of El Cajon,1475.6,1395.2,8/11/2020
City of Encinitas,272.7,430.4,8/11/2020
City of Escondido,1376.3,901.0,8/11/2020
City of Imperial Beach,423.0,1541.1,8/11/2020
City of La Mesa,506.3,832.8,8/11/2020
City of Lemon Grove,361.0,1326.8,8/11/2020
City of National City,1276.2,2051.1,8/11/2020
City of Oceanside,1185.9,666.3,8/11/2020
City of Poway,207.5,412.4,8/11/2020
City of San Diego,14326.6,1008.6,8/11/2020
City of San Marcos,678.0,690.4,8/11/2020
City of Santee,333.2,570.8,8/11/2020
City of Solana Beach,46.1,330.7,8/11/2020
City of Vista,803.1,787.7,8/11/2020
Coastal,668.7,768.8,8/11/2020
Coronado,152.0,628.1,8/11/2020
Del Mar-Mira Mesa,778.7,455.4,8/11/2020
East Region,5291.0,1082.6,8/11/2020
El Cajon,1801.4,1361.3,8/11/2020
Elliott-Navajo,497.9,519.9,8/11/2020
Escondido,1520.2,867.3,8/11/2020
Fallbrook,364.1,734.5,8/11/2020
Harbison Crest,174.3,1150.4,8/11/2020
Harbison Crest-El Cajon,1975.7,1339.6,8/11/2020
Jamul,243.7,1285.8,8/11/2020
Kearny Mesa,1226.4,717.2,8/11/2020
La Mesa,522.0,829.4,8/11/2020
Laguna-Pine Valley,18.7,327.3,8/11/2020
Lakeside,474.2,788.0,8/11/2020
Lemon Grove,430.7,1390.1,8/11/2020
Mid-City,2120.1,1256.6,8/11/2020
Miramar,43.0,586.3,8/11/2020
Mountain Empire,75.6,918.4,8/11/2020
National City,1272.5,2061.7,8/11/2020
North Central Region,3816.0,570.4,8/11/2020
North Coastal Region,3189.0,568.8,8/11/2020
North County,7117.0,605.0,8/11/2020
North Inland Region,3928.0,637.9,8/11/2020
North San Diego,455.9,373.9,8/11/2020
Oceanside,1167.1,688.6,8/11/2020
Palomar-Julian,18.9,241.5,8/11/2020
Pauma,97.4,1153.9,8/11/2020
Pendleton,64.0,155.0,8/11/2020
Peninsula,414.4,584.4,8/11/2020
Poway,357.4,394.7,8/11/2020
Ramona,206.4,575.8,8/11/2020
San Diego County,33393.0,996.3,8/11/2020
San Dieguito,429.0,422.0,8/11/2020
San Marcos,747.5,723.3,8/11/2020
Santee,323.6,583.1,8/11/2020
South Bay,3460.4,2621.8,8/11/2020
South Region,9381.0,1866.7,8/11/2020
Southeastern San Diego,2747.2,1915.8,8/11/2020
Spring Valley,1195.7,1412.9,8/11/2020
Supervisorial District 1,11742.0,1868.1,8/11/2020
Supervisorial District 2,6292.7,956.2,8/11/2020
Supervisorial District 3,3578.9,530.9,8/11/2020
Supervisorial District 4,6794.9,953.0,8/11/2020
Supervisorial District 5,4277.5,630.9,8/11/2020
Sweetwater,2090.5,1365.5,8/11/2020
Unincorporated,4442.5,861.5,8/11/2020
University,213.8,294.7,8/11/2020
Valley Center,158.0,680.8,8/11/2020
Vista,868.2,809.3,8/11/2020
