Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,9.3,57.853,5/30/2020
Anza-Borrego Springs,5.21,101.764,5/30/2020
Carlsbad,84.99,67.761,5/30/2020
Central Region,1625,313.833,5/30/2020
Central San Diego,563.99,269.631,5/30/2020
Chula Vista,614.29,499.031,5/30/2020
City of Carlsbad,77.29,67.427,5/30/2020
City of Chula Vista,1119.94,418.664,5/30/2020
City of Coronado,20,92.238,5/30/2020
City of Del Mar,5.64,130.567,5/30/2020
City of El Cajon,406.98,385.551,5/30/2020
City of Encinitas,47.4,75.052,5/30/2020
City of Escondido,225.98,149.186,5/30/2020
City of Imperial Beach,94,333.771,5/30/2020
City of La Mesa,118.13,192.824,5/30/2020
City of Lemon Grove,72,268.316,5/30/2020
City of National City,373.32,599.64,5/30/2020
City of Oceanside,165.2,93.142,5/30/2020
City of Poway,36.92,73.537,5/30/2020
City of San Diego,3438.22,242.155,5/30/2020
City of San Marcos,94.34,98.504,5/30/2020
City of Santee,62.64,109.903,5/30/2020
City of Solana Beach,10.21,73.243,5/30/2020
City of Vista,111.08,107.447,5/30/2020
Coastal,81.91,95.313,5/30/2020
Coronado,20,92.238,5/30/2020
Del Mar-Mira Mesa,172.64,101.036,5/30/2020
East Region,1212,249.636,5/30/2020
El Cajon,484.41,368.598,5/30/2020
Elliott-Navajo,107.19,113.323,5/30/2020
Escondido,251.08,144.908,5/30/2020
Fallbrook,33.38,68.7,5/30/2020
Harbison Crest,43.83,289.357,5/30/2020
Harbison Crest-El Cajon,528.24,360.409,5/30/2020
Jamul,59.37,303.054,5/30/2020
Kearny Mesa,251.78,147.446,5/30/2020
La Mesa,121.08,191.171,5/30/2020
Laguna-Pine Valley,,,5/30/2020
Lakeside,113.67,190.787,5/30/2020
Lemon Grove,88.86,288.548,5/30/2020
Mid-City,450.63,263.356,5/30/2020
Miramar,9.39,136.585,5/30/2020
Mountain Empire,14.6,177.643,5/30/2020
National City,372.38,603.184,5/30/2020
North Central Region,742,111.516,5/30/2020
North Coastal Region,467,83.056,5/30/2020
North County,1128,96.421,5/30/2020
North Inland Region,661,108.788,5/30/2020
North San Diego,129.76,107.307,5/30/2020
Oceanside,163.71,96.641,5/30/2020
Palomar-Julian,,,5/30/2020
Pauma,6.3,77.347,5/30/2020
Pendleton,,,5/30/2020
Peninsula,95.24,136.187,5/30/2020
Poway,64.28,71.224,5/30/2020
Ramona,38.77,110.23,5/30/2020
San Diego County,7481,224.153,5/30/2020
San Dieguito,81.39,80.093,5/30/2020
San Marcos,104.15,103.156,5/30/2020
Santee,62.69,115.471,5/30/2020
South Bay,1066.56,792.691,5/30/2020
South Region,2651,531.36,5/30/2020
Southeastern San Diego,637.4,437.847,5/30/2020
Spring Valley,236.88,281.881,5/30/2020
Supervisorial District 1,3178.84,506.225,5/30/2020
Supervisorial District 2,1410.39,215.474,5/30/2020
Supervisorial District 3,706.12,105.47,5/30/2020
Supervisorial District 4,1484.76,209.031,5/30/2020
Supervisorial District 5,577.88,85.594,5/30/2020
Sweetwater,529.29,353.167,5/30/2020
Unincorporated,878.73,171.251,5/30/2020
University,40.57,55.954,5/30/2020
Valley Center,21.87,96.062,5/30/2020
Vista,116.85,108.118,5/30/2020
