Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,116.7,722.8,10/6/2020
Anza-Borrego Springs,18.8,359.3,10/6/2020
Carlsbad,878.0,694.2,10/6/2020
Central Region,10844.0,2105.1,10/6/2020
Central San Diego,3571.8,1693.6,10/6/2020
Chula Vista,3340.6,2692.7,10/6/2020
City of Carlsbad,752.8,653.2,10/6/2020
City of Chula Vista,6290.0,2317.2,10/6/2020
City of Coronado,191.0,789.3,10/6/2020
City of Del Mar,26.3,594.1,10/6/2020
City of El Cajon,1945.0,1839.0,10/6/2020
City of Encinitas,407.9,643.7,10/6/2020
City of Escondido,2147.3,1405.8,10/6/2020
City of Imperial Beach,621.0,2262.5,10/6/2020
City of La Mesa,702.5,1155.6,10/6/2020
City of Lemon Grove,494.0,1815.6,10/6/2020
City of National City,1685.0,2708.0,10/6/2020
City of Oceanside,1993.0,1119.8,10/6/2020
City of Poway,329.2,654.3,10/6/2020
City of San Diego,21287.2,1498.6,10/6/2020
City of San Marcos,1100.0,1120.2,10/6/2020
City of Santee,529.0,906.1,10/6/2020
City of Solana Beach,60.7,435.7,10/6/2020
City of Vista,1220.3,1196.8,10/6/2020
Coastal,985.3,1132.8,10/6/2020
Coronado,191.0,789.3,10/6/2020
Del Mar-Mira Mesa,1082.9,633.3,10/6/2020
East Region,7300.0,1493.6,10/6/2020
El Cajon,2382.0,1800.0,10/6/2020
Elliott-Navajo,745.2,778.1,10/6/2020
Escondido,2380.2,1357.9,10/6/2020
Fallbrook,567.0,1143.7,10/6/2020
Harbison Crest,237.2,1565.7,10/6/2020
Harbison Crest-El Cajon,2619.2,1776.0,10/6/2020
Jamul,346.3,1827.0,10/6/2020
Kearny Mesa,1693.8,990.5,10/6/2020
La Mesa,727.7,1156.4,10/6/2020
Laguna-Pine Valley,22.4,390.7,10/6/2020
Lakeside,695.0,1154.9,10/6/2020
Lemon Grove,587.6,1896.3,10/6/2020
Mid-City,3753.5,2224.8,10/6/2020
Miramar,57.4,781.6,10/6/2020
Mountain Empire,117.6,1428.9,10/6/2020
National City,1678.7,2719.7,10/6/2020
North Central Region,5463.0,816.6,10/6/2020
North Coastal Region,4943.0,881.7,10/6/2020
North County,11124.0,945.6,10/6/2020
North Inland Region,6181.0,1003.8,10/6/2020
North San Diego,676.4,554.7,10/6/2020
Oceanside,1941.1,1145.3,10/6/2020
Palomar-Julian,47.4,605.3,10/6/2020
Pauma,141.7,1679.0,10/6/2020
Pendleton,96.0,232.5,10/6/2020
Peninsula,606.7,855.5,10/6/2020
Poway,565.0,623.9,10/6/2020
Ramona,369.1,1029.7,10/6/2020
San Diego County,49175.0,1467.1,10/6/2020
San Dieguito,629.7,619.4,10/6/2020
San Marcos,1201.1,1162.2,10/6/2020
Santee,510.5,919.9,10/6/2020
South Bay,4991.1,3781.7,10/6/2020
South Region,13499.0,2686.2,10/6/2020
Southeastern San Diego,3695.6,2577.1,10/6/2020
Spring Valley,1631.0,1927.3,10/6/2020
Supervisorial District 1,16659.8,2650.5,10/6/2020
Supervisorial District 2,9195.0,1397.2,10/6/2020
Supervisorial District 3,5311.3,787.9,10/6/2020
Supervisorial District 4,10355.9,1452.4,10/6/2020
Supervisorial District 5,6708.1,989.3,10/6/2020
Sweetwater,3071.8,2006.4,10/6/2020
Unincorporated,6447.7,1250.4,10/6/2020
University,316.7,436.5,10/6/2020
Valley Center,243.2,1048.1,10/6/2020
Vista,1319.5,1230.1,10/6/2020
