Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/16/2020
Anza-Borrego Springs,,,4/16/2020
Carlsbad,52.8,42.099,4/16/2020
Central Region,490,94.633,4/16/2020
Central San Diego,214.08,102.348,4/16/2020
Chula Vista,110.53,89.789,4/16/2020
City of Carlsbad,50.86,44.37,4/16/2020
City of Chula Vista,234.26,87.573,4/16/2020
City of Coronado,6,27.671,4/16/2020
City of Del Mar,5.02,116.06,4/16/2020
City of El Cajon,114.11,108.101,4/16/2020
City of Encinitas,31.6,50.034,4/16/2020
City of Escondido,65.5,43.24,4/16/2020
City of Imperial Beach,14,49.711,4/16/2020
City of La Mesa,42.83,69.921,4/16/2020
City of Lemon Grove,18,67.079,4/16/2020
City of National City,59.63,95.782,4/16/2020
City of Oceanside,50.05,28.22,4/16/2020
City of Poway,19.96,39.75,4/16/2020
City of San Diego,1051.94,74.089,4/16/2020
City of San Marcos,29.18,30.471,4/16/2020
City of Santee,22.19,38.929,4/16/2020
City of Solana Beach,6.08,43.598,4/16/2020
City of Vista,33.09,32.005,4/16/2020
Coastal,54.72,63.675,4/16/2020
Coronado,6,27.671,4/16/2020
Del Mar-Mira Mesa,87.23,51.049,4/16/2020
East Region,361,74.355,4/16/2020
El Cajon,140.91,107.22,4/16/2020
Elliott-Navajo,54.4,57.517,4/16/2020
Escondido,76.36,44.071,4/16/2020
Fallbrook,9.32,19.179,4/16/2020
Harbison Crest,14.03,92.611,4/16/2020
Harbison Crest-El Cajon,154.94,105.71,4/16/2020
Jamul,15.36,78.419,4/16/2020
Kearny Mesa,101.18,59.252,4/16/2020
La Mesa,43.8,69.154,4/16/2020
Laguna-Pine Valley,,,4/16/2020
Lakeside,33.01,55.405,4/16/2020
Lemon Grove,22.12,71.843,4/16/2020
Mid-City,137.52,80.371,4/16/2020
Miramar,,,4/16/2020
Mountain Empire,,,4/16/2020
National City,59.09,95.721,4/16/2020
North Central Region,355,53.353,4/16/2020
North Coastal Region,208,36.993,4/16/2020
North County,448,38.295,4/16/2020
North Inland Region,240,39.499,4/16/2020
North San Diego,69.39,57.381,4/16/2020
Oceanside,47.91,28.279,4/16/2020
Palomar-Julian,,,4/16/2020
Pauma,,,4/16/2020
Pendleton,,,4/16/2020
Peninsula,37.23,53.238,4/16/2020
Poway,36.8,40.781,4/16/2020
Ramona,10.94,31.098,4/16/2020
San Diego County,2158,64.66,4/16/2020
San Dieguito,55.24,54.357,4/16/2020
San Marcos,28.89,28.619,4/16/2020
Santee,21.61,39.809,4/16/2020
South Bay,145.6,108.216,4/16/2020
South Region,463,92.803,4/16/2020
Southeastern San Diego,148.45,101.978,4/16/2020
Spring Valley,68.98,82.088,4/16/2020
Supervisorial District 1,576.08,91.739,4/16/2020
Supervisorial District 2,440.23,67.257,4/16/2020
Supervisorial District 3,322.72,48.203,4/16/2020
Supervisorial District 4,566.44,79.747,4/16/2020
Supervisorial District 5,211.53,31.331,4/16/2020
Sweetwater,129.89,86.67,4/16/2020
Unincorporated,262.71,51.198,4/16/2020
University,30.44,41.984,4/16/2020
Valley Center,5.64,24.759,4/16/2020
Vista,34.11,31.558,4/16/2020
