Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,10.2,63.428,5/31/2020
Anza-Borrego Springs,5.21,101.764,5/31/2020
Carlsbad,85.99,68.558,5/31/2020
Central Region,1640,316.73,5/31/2020
Central San Diego,568.83,271.943,5/31/2020
Chula Vista,620.96,504.455,5/31/2020
City of Carlsbad,78.29,68.299,5/31/2020
City of Chula Vista,1130.88,422.752,5/31/2020
City of Coronado,20,92.238,5/31/2020
City of Del Mar,5.64,130.567,5/31/2020
City of El Cajon,410.03,388.442,5/31/2020
City of Encinitas,47.4,75.052,5/31/2020
City of Escondido,227.8,150.387,5/31/2020
City of Imperial Beach,95,337.322,5/31/2020
City of La Mesa,118.13,192.824,5/31/2020
City of Lemon Grove,74,275.77,5/31/2020
City of National City,378.14,607.378,5/31/2020
City of Oceanside,165.2,93.145,5/31/2020
City of Poway,37.92,75.524,5/31/2020
City of San Diego,3479.16,245.038,5/31/2020
City of San Marcos,93.37,97.491,5/31/2020
City of Santee,62.65,109.917,5/31/2020
City of Solana Beach,10.21,73.243,5/31/2020
City of Vista,112.71,109.027,5/31/2020
Coastal,82.91,96.47,5/31/2020
Coronado,20,92.238,5/31/2020
Del Mar-Mira Mesa,175.48,102.694,5/31/2020
East Region,1225,252.314,5/31/2020
El Cajon,488.5,371.71,5/31/2020
Elliott-Navajo,110.19,116.495,5/31/2020
Escondido,253.06,146.049,5/31/2020
Fallbrook,34.3,70.607,5/31/2020
Harbison Crest,44.47,293.581,5/31/2020
Harbison Crest-El Cajon,532.97,363.635,5/31/2020
Jamul,60.15,307.024,5/31/2020
Kearny Mesa,256.79,150.378,5/31/2020
La Mesa,121.08,191.171,5/31/2020
Laguna-Pine Valley,,,5/31/2020
Lakeside,115.22,193.377,5/31/2020
Lemon Grove,90.98,295.431,5/31/2020
Mid-City,454.7,265.73,5/31/2020
Miramar,9.55,138.911,5/31/2020
Mountain Empire,14.6,177.644,5/31/2020
National City,377.2,610.999,5/31/2020
North Central Region,755,113.47,5/31/2020
North Coastal Region,470,83.59,5/31/2020
North County,1134,96.934,5/31/2020
North Inland Region,664,109.281,5/31/2020
North San Diego,129.83,107.365,5/31/2020
Oceanside,163.9,96.752,5/31/2020
Palomar-Julian,,,5/31/2020
Pauma,6.35,78.028,5/31/2020
Pendleton,,,5/31/2020
Peninsula,96.24,137.618,5/31/2020
Poway,65.21,72.263,5/31/2020
Ramona,38.78,110.267,5/31/2020
San Diego County,7554,226.34,5/31/2020
San Dieguito,81.39,80.093,5/31/2020
San Marcos,103.21,102.224,5/31/2020
Santee,62.75,115.58,5/31/2020
South Bay,1081.15,803.533,5/31/2020
South Region,2682,537.574,5/31/2020
Southeastern San Diego,643.76,442.219,5/31/2020
Spring Valley,240.08,285.688,5/31/2020
Supervisorial District 1,3215.33,512.036,5/31/2020
Supervisorial District 2,1426.18,217.885,5/31/2020
Supervisorial District 3,713.09,106.511,5/31/2020
Supervisorial District 4,1500.5,211.247,5/31/2020
Supervisorial District 5,580.9,86.041,5/31/2020
Sweetwater,533.55,356.014,5/31/2020
Unincorporated,889.49,173.348,5/31/2020
University,40.57,55.954,5/31/2020
Valley Center,21.87,96.071,5/31/2020
Vista,118.63,109.765,5/31/2020
