Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,12.92,80.348,6/10/2020
Anza-Borrego Springs,9.21,179.935,6/10/2020
Carlsbad,100.52,80.147,6/10/2020
Central Region,1965.00,379.497,6/10/2020
Central San Diego,676.23,323.289,6/10/2020
Chula Vista,741.55,602.414,6/10/2020
City of Carlsbad,87.83,76.625,6/10/2020
City of Chula Vista,1331.04,497.579,6/10/2020
City of Coronado,25.00,115.298,6/10/2020
City of Del Mar,6.90,159.582,6/10/2020
City of El Cajon,468.06,443.416,6/10/2020
City of Encinitas,69.88,110.646,6/10/2020
City of Escondido,296.82,195.949,6/10/2020
City of Imperial Beach,130.00,461.599,6/10/2020
City of La Mesa,138.20,225.593,6/10/2020
City of Lemon Grove,86.00,320.489,6/10/2020
City of National City,441.84,709.700,6/10/2020
City of Oceanside,218.25,123.054,6/10/2020
City of Poway,46.90,93.412,6/10/2020
City of San Diego,4101.40,288.862,6/10/2020
City of San Marcos,111.44,116.368,6/10/2020
City of Santee,70.74,124.121,6/10/2020
City of Solana Beach,12.48,89.519,6/10/2020
City of Vista,139.25,134.693,6/10/2020
Coastal,99.21,115.443,6/10/2020
Coronado,25.00,115.298,6/10/2020
Del Mar-Mira Mesa,190.74,111.627,6/10/2020
East Region,1447.00,298.039,6/10/2020
El Cajon,558.16,424.717,6/10/2020
Elliott-Navajo,130.64,138.119,6/10/2020
Escondido,325.25,187.712,6/10/2020
Fallbrook,40.83,84.042,6/10/2020
Harbison Crest,51.11,337.426,6/10/2020
Harbison Crest-El Cajon,609.27,415.696,6/10/2020
Jamul,67.60,345.040,6/10/2020
Kearny Mesa,297.94,174.476,6/10/2020
La Mesa,142.25,224.589,6/10/2020
Laguna-Pine Valley,,,6/10/2020
Lakeside,134.27,225.357,6/10/2020
Lemon Grove,107.01,347.485,6/10/2020
Mid-City,546.15,319.178,6/10/2020
Miramar,10.11,147.050,6/10/2020
Mountain Empire,21.60,262.827,6/10/2020
National City,440.73,713.898,6/10/2020
North Central Region,872.00,131.054,6/10/2020
North Coastal Region,593.00,105.466,6/10/2020
North County,1402.00,119.842,6/10/2020
North Inland Region,809.00,133.145,6/10/2020
North San Diego,141.33,116.871,6/10/2020
Oceanside,214.19,126.437,6/10/2020
Palomar-Julian,,,6/10/2020
Pauma,7.08,86.998,6/10/2020
Pendleton,,,6/10/2020
Peninsula,110.47,157.961,6/10/2020
Poway,80.25,88.930,6/10/2020
Ramona,48.72,138.510,6/10/2020
San Diego County,8998.00,269.607,6/10/2020
San Dieguito,108.54,106.804,6/10/2020
San Marcos,127.33,126.116,6/10/2020
Santee,71.06,130.879,6/10/2020
South Bay,1289.57,958.436,6/10/2020
South Region,3171.00,635.588,6/10/2020
Southeastern San Diego,775.54,532.745,6/10/2020
Spring Valley,305.24,363.224,6/10/2020
Supervisorial District 1,3812.77,607.177,6/10/2020
Supervisorial District 2,1694.59,258.893,6/10/2020
Supervisorial District 3,857.64,128.101,6/10/2020
Supervisorial District 4,1778.36,250.366,6/10/2020
Supervisorial District 5,713.64,105.702,6/10/2020
Sweetwater,617.51,412.033,6/10/2020
Unincorporated,1074.98,209.498,6/10/2020
University,49.22,67.885,6/10/2020
Valley Center,26.46,116.210,6/10/2020
Vista,145.97,135.058,6/10/2020
