Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,5/6/2020
Anza-Borrego Springs,,,5/6/2020
Carlsbad,63.54,50.66,5/6/2020
Central Region,918,177.292,5/6/2020
Central San Diego,342.78,163.876,5/6/2020
Chula Vista,327.11,265.737,5/6/2020
City of Carlsbad,58.86,51.349,5/6/2020
City of Chula Vista,629.5,235.326,5/6/2020
City of Coronado,11,50.731,5/6/2020
City of Del Mar,5.02,116.06,5/6/2020
City of El Cajon,216.22,204.839,5/6/2020
City of Encinitas,30.6,48.451,5/6/2020
City of Escondido,137.1,90.511,5/6/2020
City of Imperial Beach,37,131.378,5/6/2020
City of La Mesa,77.13,125.907,5/6/2020
City of Lemon Grove,46,171.424,5/6/2020
City of National City,189.67,304.656,5/6/2020
City of Oceanside,104.09,58.689,5/6/2020
City of Poway,32.93,65.587,5/6/2020
City of San Diego,2097.25,147.71,5/6/2020
City of San Marcos,40.4,42.187,5/6/2020
City of Santee,39.38,69.1,5/6/2020
City of Solana Beach,7.08,50.767,5/6/2020
City of Vista,63.27,61.2,5/6/2020
Coastal,61.9,72.026,5/6/2020
Coronado,11,50.731,5/6/2020
Del Mar-Mira Mesa,132.2,77.367,5/6/2020
East Region,697,143.561,5/6/2020
El Cajon,263.22,200.293,5/6/2020
Elliott-Navajo,74.62,78.89,5/6/2020
Escondido,152.02,87.736,5/6/2020
Fallbrook,14.97,30.815,5/6/2020
Harbison Crest,26.73,176.459,5/6/2020
Harbison Crest-El Cajon,289.95,197.83,5/6/2020
Jamul,31.73,161.956,5/6/2020
Kearny Mesa,161.25,94.431,5/6/2020
La Mesa,78.52,123.966,5/6/2020
Laguna-Pine Valley,,,5/6/2020
Lakeside,67.1,112.619,5/6/2020
Lemon Grove,54.88,178.21,5/6/2020
Mid-City,256.31,149.79,5/6/2020
Miramar,6.99,101.702,5/6/2020
Mountain Empire,6,73.017,5/6/2020
National City,188.8,305.818,5/6/2020
North Central Region,528,79.354,5/6/2020
North Coastal Region,306,54.422,5/6/2020
North County,721,61.631,5/6/2020
North Inland Region,415,68.301,5/6/2020
North San Diego,104.03,86.027,5/6/2020
Oceanside,101.85,60.123,5/6/2020
Palomar-Julian,,,5/6/2020
Pauma,,,5/6/2020
Pendleton,,,5/6/2020
Peninsula,72.01,102.972,5/6/2020
Poway,55.64,61.651,5/6/2020
Ramona,19.02,54.088,5/6/2020
San Diego County,4429,132.706,5/6/2020
San Dieguito,55.58,54.695,5/6/2020
San Marcos,46.68,46.239,5/6/2020
Santee,38.76,71.389,5/6/2020
South Bay,598.71,444.974,5/6/2020
South Region,1476,295.846,5/6/2020
Southeastern San Diego,338.4,232.457,5/6/2020
Spring Valley,137.72,163.883,5/6/2020
Supervisorial District 1,1742.45,277.483,5/6/2020
Supervisorial District 2,823.38,125.793,5/6/2020
Supervisorial District 3,503.37,75.185,5/6/2020
Supervisorial District 4,928.99,130.787,5/6/2020
Supervisorial District 5,341.81,50.628,5/6/2020
Sweetwater,319.99,213.513,5/6/2020
Unincorporated,517.49,100.851,5/6/2020
University,34.22,47.196,5/6/2020
Valley Center,11.38,49.998,5/6/2020
Vista,65.94,61.009,5/6/2020
