Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,103.2,639.2,9/20/2020
Anza-Borrego Springs,18.2,348.4,9/20/2020
Carlsbad,800.4,632.8,9/20/2020
Central Region,9968.0,1935.0,9/20/2020
Central San Diego,3250.3,1541.2,9/20/2020
Chula Vista,3015.2,2430.4,9/20/2020
City of Carlsbad,688.5,597.4,9/20/2020
City of Chula Vista,5659.4,2084.9,9/20/2020
City of Coronado,176.0,727.3,9/20/2020
City of Del Mar,24.4,551.7,9/20/2020
City of El Cajon,1824.7,1725.3,9/20/2020
City of Encinitas,358.5,565.7,9/20/2020
City of Escondido,1978.0,1294.9,9/20/2020
City of Imperial Beach,563.0,2051.2,9/20/2020
City of La Mesa,650.8,1070.5,9/20/2020
City of Lemon Grove,456.0,1676.0,9/20/2020
City of National City,1586.1,2549.1,9/20/2020
City of Oceanside,1798.8,1010.7,9/20/2020
City of Poway,288.3,573.0,9/20/2020
City of San Diego,19393.4,1365.3,9/20/2020
City of San Marcos,1015.5,1034.2,9/20/2020
City of Santee,439.8,753.3,9/20/2020
City of Solana Beach,58.3,418.4,9/20/2020
City of Vista,1112.7,1091.3,9/20/2020
Coastal,819.8,942.6,9/20/2020
Coronado,176.0,727.3,9/20/2020
Del Mar-Mira Mesa,997.8,583.6,9/20/2020
East Region,6737.0,1378.4,9/20/2020
El Cajon,2233.4,1687.8,9/20/2020
Elliott-Navajo,683.0,713.2,9/20/2020
Escondido,2192.8,1251.0,9/20/2020
Fallbrook,523.3,1055.5,9/20/2020
Harbison Crest,221.1,1459.0,9/20/2020
Harbison Crest-El Cajon,2454.4,1664.3,9/20/2020
Jamul,318.2,1678.6,9/20/2020
Kearny Mesa,1521.7,889.9,9/20/2020
La Mesa,674.3,1071.5,9/20/2020
Laguna-Pine Valley,21.3,373.2,9/20/2020
Lakeside,634.6,1054.5,9/20/2020
Lemon Grove,542.7,1751.5,9/20/2020
Mid-City,3444.4,2041.5,9/20/2020
Miramar,53.7,731.6,9/20/2020
Mountain Empire,106.4,1293.0,9/20/2020
National City,1580.8,2561.0,9/20/2020
North Central Region,4870.0,728.0,9/20/2020
North Coastal Region,4490.0,800.9,9/20/2020
North County,10143.0,862.2,9/20/2020
North Inland Region,5653.0,918.1,9/20/2020
North San Diego,622.3,510.4,9/20/2020
Oceanside,1753.9,1034.9,9/20/2020
Palomar-Julian,38.2,487.9,9/20/2020
Pauma,135.6,1606.8,9/20/2020
Pendleton,99.0,239.8,9/20/2020
Peninsula,538.1,758.8,9/20/2020
Poway,507.0,559.9,9/20/2020
Ramona,318.0,887.1,9/20/2020
San Diego County,44925.0,1340.3,9/20/2020
San Dieguito,563.2,554.0,9/20/2020
San Marcos,1107.9,1072.1,9/20/2020
Santee,427.3,769.8,9/20/2020
South Bay,4563.0,3457.3,9/20/2020
South Region,12291.0,2445.8,9/20/2020
Southeastern San Diego,3430.2,2392.0,9/20/2020
Spring Valley,1518.5,1794.3,9/20/2020
Supervisorial District 1,15237.4,2424.2,9/20/2020
Supervisorial District 2,8428.3,1280.7,9/20/2020
Supervisorial District 3,4877.0,723.5,9/20/2020
Supervisorial District 4,9329.1,1308.4,9/20/2020
Supervisorial District 5,6137.2,905.1,9/20/2020
Sweetwater,2757.0,1800.8,9/20/2020
Unincorporated,5936.7,1151.3,9/20/2020
University,275.9,380.3,9/20/2020
Valley Center,219.5,946.0,9/20/2020
Vista,1201.8,1120.4,9/20/2020
